gene_short_name,V515-06187-A1,TNT-296,17-00122-1_S1_cufflinks,TNT-293,TNT-115,TNT-208,17-00108-5_S18Aligned_cufflinks,TNT-278,17-00097-1_S9_cufflinks,TNT-1,TNT-133
ABCA8,1.07397,12.0717,15.2547,8.951360000000001,1.17188,16.3134,1.8851099999999998,6.094869999999999,2.1075,47.3435,75.7969
ADRA2A,0.196819,0.51861,1.06565,0.0,0.172526,0.492345,0.266755,0.0,0.13051500000000002,0.120636,0.598187
AKAP12,3.7524300000000004,3.8555,3.36502,2.2178400000000003,2.9281200000000003,22.9325,0.90279,4.77909,1.87044,4.00906,6.895230000000001
ALDH3B2,34.613,2.50943,19.7483,16.92,7.47531,7.122139999999999,8.51023,1.8783400000000001,8.43554,8.46557,15.4526
APOD,101.54799999999999,16.3223,39.0799,9.12083,39.9082,55.8797,6.72613,86.3132,0.669381,6.4374,152.924
ART3,19.2103,4.89082,0.0,0.088062,121.99700000000001,0.39968000000000004,25.969,0.0,4.5019599999999995,0.194101,16.1857
ASPN,31.1651,13.9013,22.2786,10.0876,9.31432,21.4995,8.63035,11.8417,10.6442,38.4711,99.3177
AZGP1,64.9749,0.852334,21.2686,42.7428,239.31900000000002,170.612,7.377619999999999,134.856,33.7457,13.4994,81.6664
BLVRB,6.57613,0.378983,2.08356,3.3330699999999998,3.141,2.03717,1.19013,0.0,3.99175,23.8841,3.9630300000000003
C7,0.29143,12.4669,16.0706,6.76911,1.27179,35.7726,4.13771,19.5287,2.0205599999999997,0.277686,10.3059
CCL5,1.03708,2.0144,0.0,3.0321700000000003,11.9906,3.7465599999999997,9.512189999999999,8.68593,0.0,5.85725,11.4843
CD36,36.5005,18.1203,6.4267199999999995,929.357,12.2627,21.7614,6.66782,36.6558,29.5541,12.6625,123.501
CD52,5.15236,23.3851,12.6459,12.8056,76.2585,78.3063,22.789,147.046,10.8883,28.6878,56.1498
CDC20,19.1111,21.6756,28.4023,9.34047,14.9562,5.1962,11.8678,1.44794,35.847,10.419,9.27248
CHI3L1,52.4824,10.3386,3.2886599999999997,7.55722,32.3937,22.6745,5.20908,0.1863,14.2367,5.10433,0.874603
COL2A1,124.822,0.27657800000000005,5.51192,0.109884,0.0,0.281686,1.39677,0.0171505,0.21441,0.0,0.0
COL5A1,145.37,16.8683,105.51700000000001,32.5814,23.0038,161.51,27.9288,27.0808,99.7165,136.494,68.0468
COL5A2,202.313,13.0316,45.6436,33.3523,62.6035,119.762,21.5128,52.0394,49.6067,181.264,83.052
CRAT,3.09639,1.49166,3.73345,2.8111599999999997,2.79293,5.62084,4.16699,0.810681,8.16269,8.602030000000001,2.03308
CROT,17.2031,21.9133,34.0231,6.16501,9.149460000000001,21.1445,1.35921,24.511999999999997,4.92995,8.033710000000001,6.0225
CXCL10,2.29941,12.8441,12.7818,140.839,324.884,21.9312,15.9386,105.664,14.6049,18.7691,6.53556
CXCL11,0.642556,2.58412,1.42336,34.2832,47.492,2.78925,3.99119,8.25464,2.5685700000000002,4.29667,0.0
CXCL13,0.0413495,12.7154,12.3406,11.5668,92.5893,13.4793,7.95022,50.2738,3.01473,16.4184,4.97297
CYP4F8,0.048019099999999995,0.800571,0.0,73.73899999999999,0.980398,11.5078,0.24557600000000002,3.90855,0.234377,0.0,0.0
DBI,412.371,92.3906,19.3784,89.8314,264.715,363.298,107.854,90.4076,170.882,88.0907,172.40099999999998
DEFB1,3.16262,0.186356,1.33079,1.13114,4.61075,1.37071,0.328307,0.0,0.0,0.0,0.41695600000000005
DHCR24,38.1374,7.1537,65.7614,25.4588,12.9893,112.684,13.0362,7.5602,44.06100000000001,85.4416,64.1324
DUSP5,2.6614299999999997,7.56295,3.4757800000000003,14.419,5.81537,13.306,3.8480300000000005,1.86001,3.6152800000000003,4.9567,0.0
FABP7,2.25652,41.4076,0.0,0.0,0.359381,0.301185,10.5533,0.47545699999999996,0.060764,0.0,0.0
FASN,124.609,8.639389999999999,97.7484,27.7993,5.79216,9.89772,47.9147,1.5303,57.3003,71.0935,36.0783
FGFR4,2.32432,0.749579,3.56694,7.47289,0.486908,0.446859,0.38490599999999997,0.381338,2.04738,2.2993900000000003,0.416916
FGL2,2.48121,3.5620300000000005,3.0994599999999997,5.11273,9.94236,6.86792,4.67698,6.265630000000001,2.54605,4.36658,10.1991
FOXA1,1.38574,30.7378,23.318,141.468,1.13544,139.02,0.291452,70.669,0.09799169999999999,61.0078,101.26700000000001
FOXC1,9.10755,15.1327,52.0178,1.44127,14.4227,2.76586,41.1188,0.656008,65.4708,0.48579700000000003,0.0
GABRP,8.66089,85.2671,191.482,0.8925059999999999,284.178,2.12072,72.6743,17.6287,7.864789999999999,0.056124400000000005,0.0
GALNT7,12.4003,17.9387,29.3886,27.0483,19.2697,67.8158,7.659210000000001,177.51,7.85755,42.6968,89.2718
GBP1,41.394,50.2438,82.2882,105.46700000000001,455.04699999999997,105.891,36.9994,53.7536,84.0119,324.355,79.0541
GCHFR,0.42253100000000005,0.0,1.22014,0.0,0.49881499999999995,0.30635500000000004,0.32195999999999997,0.0,0.42294,0.707112,0.8878870000000001
GPR87,0.9514879999999999,3.5566400000000002,3.38113,0.345952,0.799525,0.183902,0.289317,0.0,0.0,7.8752,0.0
GZMB,1.4986,8.284930000000001,2.81597,1.97432,7.92905,12.2091,3.03103,8.82977,1.86027,15.83,0.114792
HGD,4.21735,6.163130000000001,6.37271,9.78665,1.7478900000000002,2.81248,1.29588,2.51632,0.17512,15.9397,0.0
HTRA1,91.2943,15.8886,27.5882,17.1681,27.1148,73.8624,10.4438,26.2691,44.1674,36.8865,57.5539
IDO1,0.29142399999999996,32.1341,8.7964,5.33777,35.7412,9.37852,2.49456,3.05783,4.31044,6.85727,0.0
IGFBP4,13.3498,0.6275189999999999,18.099,0.42808599999999997,0.5079020000000001,1.30095,11.6234,0.34994000000000003,7.9226399999999995,16.5499,10.6492
