gene_short_name,V515-06187-A1,17-00159-1_S1Aligned_cufflinks,TNT-2,TNT-322,TNT-238,TNT-293,TNT-328,TNT-73,TNT-92,TNT-281,TNT-158
ABCA8,1.07397,1.78272,11.3424,2.96949,3.0725,8.951360000000001,9.23817,7.7854600000000005,32.1067,39.0365,8.55308
ADRA2A,0.196819,0.424612,0.725975,0.47120200000000007,1.4667,0.0,0.0,0.224004,0.187864,0.0,0.0
AKAP12,3.7524300000000004,1.9295900000000001,4.33016,10.0738,3.91094,2.2178400000000003,9.39584,6.59172,5.51587,10.6971,1.99925
ALDH3B2,34.613,6.39422,59.8633,2.3968599999999998,3.84186,16.92,14.562000000000001,8.950569999999999,8.09628,4.0044699999999995,0.0
APOD,101.54799999999999,18.7033,61.0149,43.1584,8.408,9.12083,32.4682,2468.97,227.12400000000002,0.10930699999999999,46.1631
ART3,19.2103,4.7039800000000005,1.16911,30.7849,3.04012,0.088062,13.5651,37.2875,1.03436,34.497,7.3933800000000005
ASPN,31.1651,19.8562,8.070269999999999,71.8074,7.42943,10.0876,15.9623,20.8746,108.54700000000001,7.35584,132.45600000000002
AZGP1,64.9749,48.381,166.081,78.8806,15.3658,42.7428,39.4368,4.87138,23.496,48.4283,26.0583
BLVRB,6.57613,2.25105,3.12197,1.60934,0.465605,3.3330699999999998,1.26662,0.22738899999999998,2.3271,0.0,8.05673
C7,0.29143,1.47221,2.34158,6.31146,22.8424,6.76911,0.0,3.75633,5.15895,18.9547,5.04266
CCL5,1.03708,6.76955,69.8738,1.6988599999999998,17.8954,3.0321700000000003,1.60917,5.166919999999999,5.3861,6.88903,14.6772
CD36,36.5005,5.67052,39.5145,28.7743,17.0593,929.357,18.5983,29.3908,13.668,17.1781,24.866
CD52,5.15236,14.8266,205.11599999999999,13.838,394.82099999999997,12.8056,0.0,22.8146,51.077,13.2159,56.19
CDC20,19.1111,11.107999999999999,7.6301,6.0292,3.99635,9.34047,10.2348,6.30304,2.62069,44.7677,21.2697
CHI3L1,52.4824,50.8293,84.8944,35.8325,0.843568,7.55722,30.5357,17.4637,93.8031,10.2393,37.3911
COL2A1,124.822,0.035312300000000005,0.062383,53.7069,0.0,0.109884,147.203,0.257811,0.14571900000000002,6.1441099999999995,69.285
COL5A1,145.37,52.708999999999996,43.5105,112.95200000000001,5.3667300000000004,32.5814,38.532,28.7026,32.6411,57.647,62.7231
COL5A2,202.313,119.37100000000001,58.4864,161.19899999999998,8.552589999999999,33.3523,25.6229,55.1583,57.8362,29.8201,103.473
CRAT,3.09639,18.9193,3.44216,4.34071,5.162000000000001,2.8111599999999997,3.56428,7.99856,5.01356,0.0595784,2.67745
CROT,17.2031,9.75512,10.2353,12.2274,8.11357,6.16501,8.11488,8.95417,13.2484,6.07646,8.122910000000001
CXCL10,2.29941,25.0864,100.163,18.7623,53.2897,140.839,8.52238,79.1191,60.784,63.3418,63.0364
CXCL11,0.642556,19.2674,8.15934,4.628769999999999,9.54068,34.2832,0.0,17.9889,3.28281,0.8563930000000001,9.6686
CXCL13,0.0413495,8.60834,48.4832,3.45115,66.4045,11.5668,0.0,25.8386,10.8363,61.5422,7.40388
CYP4F8,0.048019099999999995,0.0,0.73018,0.319508,0.0,73.73899999999999,0.0,0.11675799999999999,0.0470314,1.1115700000000002,0.19008599999999998
DBI,412.371,107.402,140.363,322.902,37.3285,89.8314,61.6366,191.018,62.0434,104.124,694.721
DEFB1,3.16262,3.3835800000000003,21.423000000000002,0.0,6.17349,1.13114,3.2168400000000004,82.74600000000001,6.211,0.755909,0.0
DHCR24,38.1374,27.97,56.9426,13.3313,14.4175,25.4588,9.57038,24.2594,18.6696,11.9895,17.0556
DUSP5,2.6614299999999997,2.6006400000000003,13.1152,3.6230800000000003,7.092739999999999,14.419,3.33009,2.62585,7.785639999999999,1.57865,3.3713900000000003
FABP7,2.25652,3.4121699999999997,0.0,9.84249,0.459537,0.0,7.262560000000001,0.24545100000000003,15.3098,59.3406,0.591094
FASN,124.609,88.7778,30.5933,4.11901,2.5632599999999996,27.7993,4.8363,2.2914,3.44193,21.6485,15.7474
FGFR4,2.32432,0.47645200000000004,7.583880000000001,1.26775,2.2803,7.47289,0.0,0.103253,0.5438390000000001,10.5211,0.248822
FGL2,2.48121,6.804760000000001,13.7442,4.80815,17.1009,5.11273,13.4369,5.2011400000000005,13.8813,6.78257,3.65538
FOXA1,1.38574,1.33065,55.8235,3.72445,1.53088,141.468,3.16782,0.840333,4.61343,1.55029,0.319701
FOXC1,9.10755,35.2897,2.45497,53.1081,8.49762,1.44127,11.1992,39.4518,15.6674,8.70012,24.0372
GABRP,8.66089,225.11,0.9442809999999999,9.75716,481.995,0.8925059999999999,13.0795,788.549,1884.93,175.713,174.048
GALNT7,12.4003,24.6473,57.6309,8.96135,14.2293,27.0483,0.875309,32.0451,28.7253,8.255519999999999,11.58
GBP1,41.394,275.592,297.692,72.4958,170.47299999999998,105.46700000000001,22.651999999999997,162.27200000000002,144.004,535.638,230.77599999999998
GCHFR,0.42253100000000005,0.160495,0.886545,0.0,0.44478500000000004,0.0,0.0,0.0,0.154028,0.0,0.0
GPR87,0.9514879999999999,0.10430199999999999,0.0,0.811492,2.2105,0.345952,0.0,5.26291,1.65936,0.519255,2.7559099999999996
GZMB,1.4986,4.56122,29.9223,2.85827,12.1068,1.97432,0.0,3.86003,12.6172,6.77791,10.3752
HGD,4.21735,0.833944,6.07336,0.723087,2.0074400000000003,9.78665,9.049489999999999,0.0,2.84976,8.127139999999999,0.951151
HTRA1,91.2943,47.9099,34.4731,89.2861,6.35896,17.1681,22.5486,18.7356,40.4089,9.95982,46.2655
IDO1,0.29142399999999996,19.2801,30.9316,2.73532,34.2077,5.33777,4.34852,9.27438,3.5528699999999995,24.7108,4.99432
IGFBP4,13.3498,7.13662,3.4229199999999995,1.5095299999999998,0.341642,0.42808599999999997,1.2525899999999999,1.43517,2.38984,0.5106609999999999,1.16772
IGHM,55.218999999999994,0.0,1396.31,22.8218,199.737,78.512,18.2147,92.9612,68.2459,213.67,21.4105
IGJ,20.0186,77.3318,761.952,90.7233,234.55900000000003,192.232,28.6686,384.288,224.46200000000002,378.825,77.067
IGKC,182.34599999999998,14095.2,30004.8,4574.11,1223.26,728.295,73.3224,2785.71,1125.71,2270.71,5458.16
IL23A,0.049007300000000004,0.0,1.4892,0.175262,0.734684,0.37344299999999997,0.0,0.40242,0.239774,0.147824,0.0
IL33,0.8833290000000001,0.859708,1.94905,1.3740299999999999,13.7201,0.348064,0.0,4.19605,3.0914,1.07443,2.00852
INPP4B,37.1722,11.3144,40.8309,11.0585,43.5411,10.0589,2.22397,9.91178,22.7429,3.00811,19.4816
ITM2A,5.13433,8.41499,68.16,8.41023,50.0355,7.607880000000001,2.31869,7.0714,23.8877,68.0098,7.52579
JAM2,11.2143,2.70201,7.89353,14.3878,6.92667,1.93265,0.0612626,7.17962,7.05302,5.9953,5.915369999999999
KCNK5,7.320460000000001,3.4465,0.187149,1.8551400000000002,1.7426099999999998,0.533724,4.4551099999999995,0.0679313,0.133175,1.91526,1.91029
KIAA1324,6.46799,0.7918149999999999,55.1968,44.5245,8.14788,37.4749,14.6388,3.7088400000000004,6.342630000000001,4.29164,3.68074
KMO,1.44589,4.766380000000001,15.1833,7.929060000000001,20.1133,11.3961,1.46333,8.273719999999999,2.7613,24.4904,4.77716
KRT14,118.37100000000001,10.2547,0.0,26.5788,4.36773,0.118683,230.732,13.3212,15.2829,276.062,36.2754
KRT16,91.0343,27.660999999999998,0.579715,89.57,33.8557,0.45031099999999996,56.5354,6.70262,74.7677,349.52099999999996,7.42116
KRT17,105.34700000000001,192.048,21.4388,75.4316,28.5257,0.10699000000000002,3.7010099999999997,48.2962,130.131,219.024,136.091
KRT6A,54.2242,30.5498,5.09093,9.45253,70.3375,1.64438,54.6293,77.6605,2.8535,622.6469999999999,12.5419
KRT6B,86.6584,245.352,0.33282399999999995,11.8312,46.361999999999995,0.044044,3.74309,63.2006,9.26859,180.32,5.4740400000000005
KYNU,14.7879,9.28449,20.1823,5.0327,17.213,31.2463,2.66025,9.55879,12.4711,2.55798,4.4076900000000006
LBP,0.573258,0.196241,0.37056999999999995,0.742749,0.965151,4.93654,0.20719,0.0,0.143624,0.29639099999999996,0.0
LHFP,2.0952,0.8941040000000001,1.1423,0.848601,2.15408,0.48818199999999995,0.23956799999999998,0.260677,0.553532,0.0228533,1.16419
MFAP4,1.60954,0.8235870000000001,4.55944,0.9165989999999999,5.6763,0.652204,2.3709,2.133,4.86294,0.11254700000000001,0.0
MIA,21.0747,0.942924,0.45022299999999993,37.434,3.15825,0.51859,32.4655,3.3616900000000003,21.7525,10.8148,4.20826
MID1,36.2366,10.7215,14.940999999999999,25.2335,15.5065,21.0676,3.49747,24.2977,22.1864,14.8445,24.2952
MYBL1,4.603619999999999,10.0835,4.27869,49.1399,13.2892,23.7944,11.888,8.25261,59.4487,4.13731,82.296
NEK2,17.1321,16.537,7.57769,19.8866,13.6131,25.7407,4.76664,54.6188,6.27886,30.6035,63.4262
NTN3,0.023557599999999998,0.0553104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,0.708249,6.09545,23.0471,10.1206,19.9502,26.9071,28.6293,38.5116,36.5507,27.0655
PI3,0.0,1.8632900000000001,0.0,0.17783,45.6396,0.630875,0.0,15.2543,4.07739,15.133,4.7016
PLEKHB1,14.583,3.64876,1.03345,0.544358,0.23344499999999999,0.13943,0.613881,0.340161,1.19539,0.380533,9.21203
PMAIP1,1.6239299999999999,2.72951,0.335407,5.091019999999999,4.7049900000000004,0.839744,0.0,2.3414599999999997,0.914623,10.6012,0.0
PSMB9,0.0,0.0,30.6622,4.20788,36.7315,8.91372,0.301134,5.68435,15.3154,40.9199,8.527289999999999
PTGDS,1.49063,1.8519700000000001,33.7755,0.515843,15.4675,0.31455900000000003,2.12735,3.77751,1.74508,1.7738599999999998,0.41365100000000005
RARRES3,10.7933,16.1216,58.6398,4.93264,25.5765,43.7136,2.52434,10.8694,21.3796,40.4701,12.6827
RTP4,0.772275,4.29513,2.85869,3.03186,3.27616,2.4733,0.0,4.22076,3.1673,4.15161,1.4921200000000001
S100A1,196.638,3.22839,0.0,36.3341,1.30119,0.361616,17.5934,0.156149,8.06103,0.109232,24.8818
S100A7,6.579160000000001,21.2915,0.0,0.0,1.9110599999999998,6.687069999999999,0.0,9.12628,9.78629,58.7633,0.0
S100A8,3.4999599999999997,3.9841900000000003,8.04674,0.869452,64.4657,2.92903,3.32571,5.5385599999999995,17.065,14.3193,0.47805200000000003
SCRG1,23.221999999999998,0.152753,1.34104,24.5745,0.6098020000000001,1.0085,40.7982,2.2307,0.673348,0.372302,10.0471
SEMA3C,89.189,5.02335,20.5534,24.3407,5.10211,25.0484,9.95055,15.7635,67.1468,32.1716,60.6751
SERHL2,5.02658,1.77492,0.26018800000000003,6.08545,2.9445099999999997,71.7846,0.6588109999999999,1.2349,1.4759200000000001,0.112596,0.80852
SFRP1,35.3095,5.7912,0.346055,26.554000000000002,3.2549900000000003,0.0869003,24.6403,0.100459,20.5385,4.82991,22.7723
SIDT1,0.9090090000000001,3.4989800000000004,29.3222,1.7792599999999998,32.8407,19.8668,1.07031,3.01369,3.7080900000000003,5.19909,0.340445
SOX10,3.84721,6.330019999999999,0.0,2.17461,0.8245290000000001,0.0,0.8844200000000001,0.00900422,0.205921,0.0,3.99361
SPDEF,0.141878,0.23276,4.22867,0.516921,0.268316,5.742999999999999,0.061257900000000004,0.0,0.113258,0.0,0.803342
SPRR1B,0.09447810000000001,2.6653700000000002,0.0,0.0,0.47053999999999996,0.0,0.0,0.0,0.0,0.0904638,12.3582
SPTLC2,28.7351,39.8789,51.4217,35.8602,46.953,165.09400000000002,10.6137,13.6311,34.9804,43.3611,48.0065
SRPX,12.4869,1.9009200000000002,2.93003,3.19103,1.62707,1.01191,11.3068,1.04663,6.28365,0.0,3.1099900000000003
TCF7L1,11.751,7.081860000000001,2.31134,12.017000000000001,5.7333300000000005,2.2856099999999997,8.466569999999999,28.8742,11.4878,4.3718699999999995,23.0176
TFAP2B,1.18026,0.0,1.6630099999999999,5.6748400000000006,0.0,93.3454,0.8045359999999999,0.89359,1.46155,0.00802045,0.6508619999999999
THBS4,8.67223,1.5831600000000001,9.77135,39.4894,5.518759999999999,5.02284,6.2626,4.65828,20.4333,2.93782,4.14394
TNFAIP8,5.97248,14.9388,42.9762,14.2634,103.53299999999999,9.34912,5.01769,17.1811,27.0821,22.9848,20.5731
TNFSF10,24.8142,22.6113,17.5029,11.1771,60.8272,83.9819,4.20929,172.615,52.0291,43.6615,8.43641
TRIM68,7.67148,2.6750599999999998,5.19011,2.0345,2.7255,2.4563200000000003,0.21750500000000003,1.0162200000000001,2.9636,13.5519,3.30925
TSC22D3,7.24202,6.06061,39.5943,21.122,9.88904,10.5057,6.003909999999999,8.0713,13.8093,6.87321,1.1964700000000001
UBD,0.0,0.0,68.3213,1.2589,63.7004,3.7799999999999995e-11,0.0,73.4598,81.9667,137.485,3.13763
UGT2B28,0.0,0.0552717,1.13481,0.696688,0.0371477,0.08143539999999999,0.0,0.0132192,0.0313859,5.3234,1.31145
XBP1,26.3139,111.005,142.80700000000002,39.6349,27.5281,139.92,16.6502,62.3238,44.0054,35.2366,31.5778
ZCCHC24,0.75321,0.399621,1.45581,0.5140100000000001,0.0,0.298602,0.0197941,0.534347,0.674429,0.0,0.0
