gene_short_name,V515-06187-A1,17-00100-2_S17Aligned_cufflinks,17-00212-8_S3Aligned_cufflinks,TNT-281,TNT-100,17-00163-6_S7Aligned_cufflinks,TNT-297,TNT-325,17-00110-9_S15Aligned_cufflinks,TNT-321,TNT-225
ABCA8,1.07397,2.66909,10.9008,39.0365,10.2128,0.7701479999999999,17.0174,1.18126,0.943892,1.1144,19.7157
ADRA2A,0.196819,0.798061,0.804,0.0,0.218344,0.0657186,0.223559,0.271846,0.184313,0.0,0.313514
AKAP12,3.7524300000000004,2.76503,6.45585,10.6971,6.21779,1.2357,31.1722,2.1819599999999997,0.618114,4.92338,11.700999999999999
ALDH3B2,34.613,8.7501,54.5406,4.0044699999999995,3.95048,2.97506,0.0910294,34.041,21.1902,0.0,0.0
APOD,101.54799999999999,62.3337,1024.91,0.10930699999999999,169.25099999999998,57.5143,190.081,61.196999999999996,0.8471620000000001,23.309,86.1188
ART3,19.2103,1.8053599999999999,0.0878982,34.497,165.481,80.791,22.3735,0.0,1.7045400000000002,13.6808,44.2138
ASPN,31.1651,28.774,191.273,7.35584,26.1134,20.2771,14.1299,42.7013,8.79653,16.2505,112.76799999999999
AZGP1,64.9749,6.16124,257.36400000000003,48.4283,6.8005,59.9678,130.727,1.1505,71.6802,0.95899,68.2212
BLVRB,6.57613,1.9429400000000001,80.8059,0.0,1.16798,8.241610000000001,2.3692900000000003,1.8893099999999998,3.21779,0.204078,0.9385680000000001
C7,0.29143,1.22548,4.5721099999999995,18.9547,3.11435,1.01661,12.4278,0.823103,0.145938,0.683814,7.47819
CCL5,1.03708,10.7786,5.79704,6.88903,19.74,0.0,2.5106599999999997,47.0465,0.0,11.290999999999999,2.44293
CD36,36.5005,9.62158,59.1195,17.1781,37.6889,19.9552,12.2558,13.2001,4.6544,20.8781,47.8398
CD52,5.15236,8.39226,31.8435,13.2159,134.336,4.53303,9.062439999999999,320.42400000000004,4.91219,130.963,54.5642
CDC20,19.1111,16.0755,3.74191,44.7677,8.904589999999999,33.2568,42.1959,10.4861,36.4559,21.4337,16.8549
CHI3L1,52.4824,6.07407,3.5127800000000002,10.2393,24.0775,183.889,75.8848,9.58912,0.8237700000000001,1.82655,13.4776
