gene_short_name,V515-06187-A1,17-00103-7_S3Aligned_cufflinks,TNT-297,TNT-18,TNT-26,TNT-81,TNT-6,TNT-310,17-00114-7_S13_cufflinks,TNT-225,TNT-4
ABCA8,1.07397,17.5334,17.0174,10.5629,4.23117,1.02282,9.6574,1.50603,4.78456,19.7157,37.7185
ADRA2A,0.196819,1.10499,0.223559,0.337047,0.999606,0.0734277,1.3579299999999999,0.0916352,1.9036,0.313514,4.021059999999999
AKAP12,3.7524300000000004,7.264939999999999,31.1722,10.1055,16.1452,3.7395099999999997,11.312000000000001,5.4899,7.9425,11.700999999999999,17.7207
ALDH3B2,34.613,4.13598,0.0910294,1.5908799999999998,2.6644200000000002,3.9866300000000003,433.61300000000006,18.7299,10.6038,0.0,42.5699
APOD,101.54799999999999,23.9471,190.081,126.366,23.2556,14.2743,13601.3,9.0727,15.2827,86.1188,2583.61
ART3,19.2103,8.81953,22.3735,3.08163,11.4363,495.44800000000004,0.0,0.270129,8.701039999999999,44.2138,0.0
ASPN,31.1651,75.8475,14.1299,127.87700000000001,99.8197,10.681,106.78,70.5823,206.11,112.76799999999999,315.638
AZGP1,64.9749,2.74417,130.727,0.397821,8.42855,482.125,1632.76,4.2314300000000005,3.75124,68.2212,298.58
BLVRB,6.57613,4.59856,2.3692900000000003,0.272242,1.8821400000000001,1.83979,17.4411,1.0593700000000001,7.713710000000001,0.9385680000000001,7.36637
C7,0.29143,3.04093,12.4278,11.972999999999999,1.5576299999999998,0.195679,3.8300199999999998,2.8178799999999997,3.6981800000000002,7.47819,8.536660000000001
CCL5,1.03708,0.0,2.5106599999999997,84.2759,0.328596,8.62397,5.02728,16.908,0.0,2.44293,13.302999999999999
CD36,36.5005,25.8122,12.2558,68.0838,27.8522,13.4593,52.468,12.1829,15.9088,47.8398,100.477
CD52,5.15236,22.1463,9.062439999999999,238.27900000000002,2.72588,16.5691,20.3981,40.1669,39.7689,54.5642,48.9762
CDC20,19.1111,10.9556,42.1959,11.1176,14.2065,22.4607,6.40956,24.5544,7.443230000000001,16.8549,2.9675599999999998
CHI3L1,52.4824,49.4244,75.8848,18.0344,20.8098,147.222,0.854684,23.7297,25.4046,13.4776,5.7134
COL2A1,124.822,0.114516,8.031789999999999,0.0,105.473,0.299693,0.407516,0.467588,37.2636,2.20486,0.149369
COL5A1,145.37,134.716,58.3068,103.64200000000001,269.70099999999996,24.3791,210.775,116.302,106.22399999999999,113.037,225.483
COL5A2,202.313,139.918,67.2474,167.425,409.89,58.7019,301.151,217.037,160.553,173.274,308.353
CRAT,3.09639,7.029260000000001,5.6469,4.5315900000000005,3.7270300000000005,2.0533799999999998,270.69,4.10859,8.310360000000001,1.33989,14.7289
CROT,17.2031,9.5261,7.720680000000001,3.8836800000000005,5.29179,4.48754,71.4203,3.20186,6.30745,8.52486,47.6286
CXCL10,2.29941,34.2045,13.1438,196.435,4.175669999999999,121.374,6.60035,111.71700000000001,12.5891,8.15851,39.4233
CXCL11,0.642556,3.2623,3.98929,15.9079,0.0,8.79376,0.934983,9.69977,2.87613,0.637592,8.87846
CXCL13,0.0413495,18.8237,8.68471,26.3849,1.4694,9.30649,1.54946,12.3011,9.07559,6.32163,46.0943
CYP4F8,0.048019099999999995,0.0,0.37554099999999996,0.0623461,0.0,0.0,30.0292,0.0,0.0,0.16966900000000001,27.8697
DBI,412.371,71.6972,174.365,120.508,99.8671,212.48,646.11,156.67,148.145,130.439,273.298
DEFB1,3.16262,0.0,0.35243800000000003,0.0,0.0,0.684066,0.0,1.00589,0.373373,0.09093530000000001,1.9527599999999998
DHCR24,38.1374,43.1474,29.6213,13.6373,15.2315,34.6919,231.222,31.9861,14.1302,9.11603,25.3035
DUSP5,2.6614299999999997,3.9232099999999996,5.9017800000000005,3.3018699999999996,4.38127,2.93328,20.7856,13.7116,2.26818,4.35424,9.615960000000001
FABP7,2.25652,0.0,5.60352,14.5807,1.1090200000000001,0.310352,461.68699999999995,1.2193399999999999,0.439255,54.5626,1.97922
FASN,124.609,48.321000000000005,8.586780000000001,13.9948,5.82045,33.2144,619.2719999999999,3.16328,21.2144,1.28864,69.4728
FGFR4,2.32432,1.37858,0.8219799999999999,0.0,0.560783,2.7362900000000003,23.8482,0.08141480000000001,0.0,0.044059,1.93565
FGL2,2.48121,12.1423,3.83394,9.61383,1.5139799999999999,4.93832,2.74346,4.93389,9.25424,7.08488,18.1586
FOXA1,1.38574,4.26885,0.9985,0.0,0.36304200000000003,0.618512,193.55200000000002,1.50615,0.345068,1.9514099999999999,44.0487
FOXC1,9.10755,16.9357,61.5935,7.67033,62.2426,40.556999999999995,3.31141,11.1416,44.4172,23.0437,6.6412
GABRP,8.66089,589.325,116.867,218.567,138.871,181.197,0.739897,187.597,24.0438,369.529,3.7613199999999996
GALNT7,12.4003,18.8425,16.3671,10.3138,19.6479,41.0609,166.072,19.2626,18.0233,29.7218,29.7102
GBP1,41.394,204.12400000000002,144.925,228.894,54.4518,169.347,72.8056,338.00300000000004,93.6811,106.125,117.684
GCHFR,0.42253100000000005,0.28362,0.145981,0.0,0.1355,0.216991,0.5545329999999999,0.17893900000000001,0.90489,0.166209,0.344589
GPR87,0.9514879999999999,0.08576389999999999,1.51442,0.8862110000000001,0.8265629999999999,0.404947,0.480814,3.6051699999999998,0.0,5.90917,0.0
GZMB,1.4986,6.384930000000001,1.0732,12.0025,0.11918800000000002,8.98988,0.835723,30.9291,1.6308,1.69408,1.33328
HGD,4.21735,1.21189,7.776619999999999,0.25535599999999997,0.244245,5.39687,22.4211,1.62972,4.698119999999999,3.4355800000000003,6.88391
HTRA1,91.2943,113.456,50.6764,77.4917,169.942,20.6326,151.88,34.0357,218.9,176.986,291.691
IDO1,0.29142399999999996,8.94561,2.3577,23.029,0.879626,7.928389999999999,3.83281,38.4846,7.6962,3.65246,1.58873
IGFBP4,13.3498,19.3841,2.95592,3.41105,1.3705399999999999,0.6105,6.3947,0.379314,21.2358,0.5581729999999999,7.64763
IGHM,55.218999999999994,362.51599999999996,8.56503,607.3240000000001,3.04095,61.1895,37.4842,16.8415,0.0,6.72957,43.9422
IGJ,20.0186,336.337,5.5107,234.80900000000003,21.932,177.291,13.2475,50.8293,235.514,36.8565,218.31
IGKC,182.34599999999998,5557.59,22.8967,1594.26,127.93,1570.97,532.116,198.732,8047.69,343.62300000000005,980.865
IL23A,0.049007300000000004,0.0,0.39657,0.0,0.083901,0.305157,0.130425,0.378659,0.144022,0.0341362,0.0
IL33,0.8833290000000001,3.6510000000000002,3.82804,6.744910000000001,1.17252,0.33563200000000004,1.10622,1.29778,2.26153,1.94563,5.825130000000001
INPP4B,37.1722,15.0117,22.1376,19.7162,13.2894,11.2516,45.7751,16.2271,14.0964,14.5634,26.069000000000003
ITM2A,5.13433,12.7233,74.1134,45.3222,6.31847,6.43805,25.4941,6.27794,12.9495,33.9687,15.3956
JAM2,11.2143,8.33709,8.94908,11.1208,10.5988,1.8402,8.80717,5.41631,7.29828,14.1057,17.8065
KCNK5,7.320460000000001,0.8063140000000001,0.779464,0.0901098,8.64592,1.13588,0.0,1.14972,3.01694,0.9614219999999999,0.166799
KIAA1324,6.46799,0.733045,31.6459,8.63215,31.4718,19.5404,151.768,3.7069300000000003,21.7289,2.77433,15.1323
KMO,1.44589,7.711989999999999,5.40338,13.1194,0.646642,3.92246,82.0963,8.79561,6.08016,7.30783,7.90998
KRT14,118.37100000000001,0.0353425,119.134,94.5936,491.849,2.13292,0.27055100000000004,12.8933,342.61699999999996,125.86,3.8259
KRT16,91.0343,0.109901,22.9168,18.4317,147.095,20.101,2.0402400000000003,383.517,148.238,16.3566,9.11002
KRT17,105.34700000000001,888.039,238.324,40.1927,165.31099999999998,46.0299,0.836907,521.369,14.9846,84.9056,15.2766
KRT6A,54.2242,14.0728,138.19799999999998,41.4118,1080.32,0.884666,1.06124,634.612,10.3649,39.4656,43.7876
KRT6B,86.6584,25.4113,52.0512,18.6307,476.639,5.002669999999999,1.186,361.065,15.9633,137.366,10.2424
KYNU,14.7879,14.0936,11.5655,6.18662,4.17852,5.33408,243.128,19.1746,16.3914,19.8934,69.6869
LBP,0.573258,18.0162,0.152604,4.28908,0.12506099999999998,0.150571,5.880669999999999,1.3441100000000001,0.0,0.033786500000000004,183.90200000000002
LHFP,2.0952,1.44218,1.35016,0.921726,3.19932,0.672579,4.06241,1.09806,1.9279700000000002,0.92133,2.3965
MFAP4,1.60954,11.969000000000001,1.71721,1.8374,6.91442,1.4602,7.16868,1.66199,13.999,2.7118700000000002,20.6016
MIA,21.0747,0.0,16.0349,14.3171,40.5309,0.780207,0.0,16.102999999999998,22.0073,3.69805,0.0
MID1,36.2366,16.711,65.2174,8.872539999999999,18.2572,14.4472,8.789439999999999,14.1269,15.6825,31.1013,24.7647
MYBL1,4.603619999999999,2.44602,61.0025,13.5046,5.37248,99.5216,1.94773,30.6222,14.8261,11.1978,3.4451699999999996
NEK2,17.1321,16.632,34.9499,7.857410000000001,6.4980400000000005,58.8953,5.08988,33.0367,2.65817,16.6841,3.7872
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.127498,0.0,0.0,0.0,0.0
OGN,1.27872,33.1891,11.4075,42.3317,41.2163,6.716810000000001,16.9313,9.56982,24.1344,18.6864,82.4171
PI3,0.0,56.2403,0.6360180000000001,0.105544,3.94404,0.210946,0.0,21.9419,5.54214,0.351765,2.09959
PLEKHB1,14.583,7.593939999999999,8.1823,3.08625,1.0292700000000001,1.09671,0.0,0.5283220000000001,5.00022,0.585629,0.0
PMAIP1,1.6239299999999999,1.49607,2.39667,2.0914,5.10806,4.08651,0.52918,17.9833,0.19425,4.02694,0.09488339999999999
PSMB9,0.0,0.0,13.9884,12.9038,3.9728199999999996,20.2986,7.200660000000001,17.6594,17.1742,6.16222,6.91171
PTGDS,1.49063,1.97478,11.6725,1.8083599999999997,0.7358520000000001,3.21588,0.382259,0.832665,2.11065,1.7367599999999999,2.49494
RARRES3,10.7933,16.534000000000002,19.2644,22.4368,3.30263,17.2398,11.9073,19.9078,13.1396,10.7116,36.1807
RTP4,0.772275,0.8455010000000001,1.57226,0.788525,0.268113,4.62512,0.166381,5.4329,0.9233870000000001,1.9361599999999999,0.0
S100A1,196.638,0.319159,14.5831,2.43927,4.30791,7.54413,0.18227100000000002,1.8748,184.77,16.3815,0.0
S100A7,6.579160000000001,0.0,0.26295799999999997,0.0,4.4318800000000005,2.0460599999999998,7.0736,493.525,0.0,0.36267,138.622
S100A8,3.4999599999999997,7.16315,3.7241199999999997,2.46168,4.205,3.0133799999999997,0.6591670000000001,160.404,1.42492,1.96069,105.69200000000001
SCRG1,23.221999999999998,0.0,15.7144,3.5533,28.1591,48.1519,0.367952,0.0,0.9965639999999999,19.2951,0.917041
SEMA3C,89.189,30.594,11.818,31.6493,41.0773,6.0655,22.884,20.3951,33.7191,29.3055,122.228
SERHL2,5.02658,2.41013,3.6819800000000003,0.0,3.6196599999999997,2.5315,894.96,2.09642,18.7642,1.0714700000000001,96.2706
SFRP1,35.3095,2.36344,40.8617,3.7535,4.2071,12.993,3.34294,1.07838,15.6747,11.2392,2.25192
SIDT1,0.9090090000000001,3.21991,2.16657,4.20869,1.23219,4.2779300000000005,29.5009,3.3972300000000004,7.32397,2.56792,13.2347
SOX10,3.84721,0.0,2.94014,0.339244,2.23205,3.87501,0.120566,0.328327,4.06913,1.3665100000000001,0.0
SPDEF,0.141878,0.08195319999999999,0.387559,0.0,0.592224,0.0297448,21.656999999999996,0.0370245,1.04377,0.060040699999999995,3.17591
SPRR1B,0.09447810000000001,0.38435199999999997,0.0,0.19237200000000002,0.0,0.0,1.3745,0.118248,0.799141,0.0,0.0
SPTLC2,28.7351,36.1338,36.4933,16.2373,38.188,32.8837,95.8327,30.5086,36.838,50.3319,29.6352
SRPX,12.4869,6.0477,2.91066,2.9196299999999997,10.7936,2.22247,3.8595,3.37921,6.34974,5.6770000000000005,6.64019
TCF7L1,11.751,4.27525,11.6125,13.6733,4.2474099999999995,9.41361,4.03833,5.79892,8.07737,4.43431,7.7230300000000005
TFAP2B,1.18026,0.374233,0.54202,0.026442700000000003,0.5612689999999999,0.25997,147.877,0.42090500000000003,0.327111,0.551706,7.528460000000001
THBS4,8.67223,5.72026,11.2152,24.2912,10.4444,1.31731,37.4631,3.69999,4.39824,57.9839,4.58691
TNFAIP8,5.97248,16.8954,20.7664,30.5044,5.72812,19.5884,11.5332,21.7827,19.3631,17.7713,26.519000000000002
TNFSF10,24.8142,77.0824,18.3052,65.3121,11.9174,29.7736,40.0102,30.3236,13.6293,15.0652,23.4715
TRIM68,7.67148,1.7915,4.2845,3.00034,2.6518200000000003,0.859196,13.4917,3.6598900000000003,2.5373900000000003,2.18322,0.779116
TSC22D3,7.24202,28.9859,24.3684,3.9134800000000003,11.3808,13.9806,41.1453,11.0228,16.6763,21.8741,19.5717
UBD,0.0,0.0,1.14499,30.6124,1.8393,51.0129,4.799999999999999e-35,94.0798,0.0,3.05274,6.7378
UGT2B28,0.0,0.0,2.27661,3.1528400000000003,0.0,0.0,513.99,0.318409,0.0,1.0251,70.8305
XBP1,26.3139,71.1081,30.2841,30.2895,30.2075,57.2937,199.648,28.2853,73.4973,46.1754,57.555
ZCCHC24,0.75321,1.05722,1.4512399999999999,0.12075899999999999,1.37962,0.298537,2.6067,0.14841,0.843194,0.562095,1.65927
