gene_short_name,V515-06187-A1,TNT-270,TNT-4,17-00104-2_S7Aligned_cufflinks,TNT-281,17-00112-1_S7_cufflinks,TNT-58,TNT-139,TNT-54,TNT-98,TNT-289
ABCA8,1.07397,7.25541,37.7185,7.99826,39.0365,0.0,0.0,4.2190199999999995,58.0877,46.1161,7.5326
ADRA2A,0.196819,0.416253,4.021059999999999,0.145057,0.0,0.40375500000000003,0.0,0.358636,0.409427,0.44963000000000003,0.0190859
AKAP12,3.7524300000000004,6.02093,17.7207,0.6447689999999999,10.6971,1.65867,6.38661,4.57451,14.9386,5.98117,16.4518
ALDH3B2,34.613,97.5075,42.5699,28.0666,4.0044699999999995,5.14396,3.93287,4.68061,9.506730000000001,8.66927,0.340181
APOD,101.54799999999999,7752.41,2583.61,6.770160000000001,0.10930699999999999,1.08372,100.74600000000001,1392.61,745.2,165.22799999999998,86.5343
ART3,19.2103,0.27854,0.0,6.09762,34.497,24.2354,0.0,83.5008,3.22085,0.23561300000000002,11.7816
ASPN,31.1651,10.0964,315.638,3.6449199999999995,7.35584,10.7154,46.5225,37.7036,17.7205,28.8722,99.79700000000001
AZGP1,64.9749,693.581,298.58,56.5053,48.4283,4.528980000000001,3.7303599999999997,111.613,84.4769,5.12935,22.8969
BLVRB,6.57613,2.58756,7.36637,1.03463,0.0,5.08205,0.152304,1.9139400000000002,1.03403,6.782489999999999,1.2233100000000001
C7,0.29143,8.16232,8.536660000000001,0.923272,18.9547,0.24694699999999997,0.0578067,5.49728,70.8319,25.5063,2.7102
CCL5,1.03708,1.34774,13.302999999999999,0.26264,6.88903,5.41056,0.08316989999999999,4.08448,27.218000000000004,25.8249,1.12449
CD36,36.5005,26.5814,100.477,96.9286,17.1781,4.14895,8.52927,19.0127,53.4162,44.3127,18.9896
CD52,5.15236,16.3111,48.9762,0.315542,13.2159,9.67866,0.0,12.3884,206.158,94.6313,1.74964
CDC20,19.1111,4.4109300000000005,2.9675599999999998,15.73,44.7677,28.2348,10.7521,39.6781,3.85495,1.1533799999999998,40.1167
CHI3L1,52.4824,1.0985,5.7134,3.18682,10.2393,38.8357,0.872301,11.9292,7.7664,4.2127300000000005,14.14
COL2A1,124.822,0.101651,0.149369,0.0598273,6.1441099999999995,6.8563600000000005,2.1362,14.4149,0.348718,0.0772557,47.6574
COL5A1,145.37,51.6893,225.483,12.4204,57.647,33.8627,9.41421,75.3596,20.0147,42.4369,387.034
