gene_short_name,V515-06187-A1,TNT-134,17-00165-0_S10Aligned_cufflinks,TNT-293,TNT-322,TNT-283,TNT-4,TNT-300,17-00110-9_S15Aligned_cufflinks,TNT-214,TNT-133
ABCA8,1.07397,17.1376,16.9844,8.951360000000001,2.96949,5.2258,37.7185,2.02342,0.943892,6.30619,75.7969
ADRA2A,0.196819,0.053118399999999996,0.861454,0.0,0.47120200000000007,0.0,4.021059999999999,0.019426099999999998,0.184313,0.5343899999999999,0.598187
AKAP12,3.7524300000000004,10.3489,6.211130000000001,2.2178400000000003,10.0738,3.43169,17.7207,1.30359,0.618114,6.27307,6.895230000000001
ALDH3B2,34.613,3.8153599999999996,1.1644700000000001,16.92,2.3968599999999998,2.4243200000000003,42.5699,11.2568,21.1902,5.43093,15.4526
APOD,101.54799999999999,108.917,126.973,9.12083,43.1584,134.119,2583.61,4.160830000000001,0.8471620000000001,78.8272,152.924
ART3,19.2103,35.8609,44.8952,0.088062,30.7849,1.3833,0.0,547.518,1.7045400000000002,92.4518,16.1857
ASPN,31.1651,54.5702,13.6802,10.0876,71.8074,148.766,315.638,11.5862,8.79653,5.46924,99.3177
AZGP1,64.9749,113.833,200.774,42.7428,78.8806,6.21353,298.58,175.447,71.6802,603.7869999999999,81.6664
BLVRB,6.57613,0.356298,4.50545,3.3330699999999998,1.60934,3.29221,7.36637,0.0,3.21779,2.09444,3.9630300000000003
C7,0.29143,0.40929,14.7516,6.76911,6.31146,1.21194,8.536660000000001,0.34566199999999997,0.145938,19.8767,10.3059
CCL5,1.03708,5.13551,12.1232,3.0321700000000003,1.6988599999999998,13.0437,13.302999999999999,3.9392199999999997,0.0,9.4678,11.4843
CD36,36.5005,14.3846,83.1513,929.357,28.7743,37.5269,100.477,11.0441,4.6544,20.8269,123.501
CD52,5.15236,13.0453,40.0504,12.8056,13.838,9.26877,48.9762,21.7633,4.91219,80.1085,56.1498
CDC20,19.1111,15.5522,9.73773,9.34047,6.0292,9.884360000000001,2.9675599999999998,26.3353,36.4559,33.0613,9.27248
CHI3L1,52.4824,37.3706,37.6528,7.55722,35.8325,1.1316899999999999,5.7134,65.2282,0.8237700000000001,1.5293,0.874603
COL2A1,124.822,74.0814,1.3761700000000001,0.109884,53.7069,1.11024,0.149369,0.035179699999999994,20.099,0.0,0.0
COL5A1,145.37,94.0041,43.5904,32.5814,112.95200000000001,30.5437,225.483,35.0878,58.6796,23.8546,68.0468
COL5A2,202.313,148.505,65.8261,33.3523,161.19899999999998,90.4159,308.353,51.2796,36.052,19.3943,83.052
CRAT,3.09639,13.9288,5.4019,2.8111599999999997,4.34071,1.0920100000000001,14.7289,1.56885,7.7762199999999995,0.567394,2.03308
CROT,17.2031,20.8546,8.936739999999999,6.16501,12.2274,7.69125,47.6286,8.746210000000001,4.61565,12.2198,6.0225
CXCL10,2.29941,28.1758,19.6909,140.839,18.7623,57.2712,39.4233,153.815,4.36531,45.9677,6.53556
CXCL11,0.642556,4.69776,7.802810000000001,34.2832,4.628769999999999,9.65099,8.87846,16.6523,0.758763,17.160999999999998,0.0
CXCL13,0.0413495,5.0147699999999995,17.615,11.5668,3.45115,30.5927,46.0943,23.0488,0.6656380000000001,24.9894,4.97297
CYP4F8,0.048019099999999995,0.0,0.362664,73.73899999999999,0.319508,0.368212,27.8697,0.119626,0.0,0.0,0.0
DBI,412.371,162.915,113.507,89.8314,322.902,168.356,273.298,118.947,126.947,624.36,172.40099999999998
DEFB1,3.16262,0.0,0.49630100000000005,1.13114,0.0,0.8576389999999999,1.9527599999999998,17.0221,0.0,0.0,0.41695600000000005
DHCR24,38.1374,25.671,28.1741,25.4588,13.3313,46.4939,25.3035,98.1209,56.8192,7.07305,64.1324
DUSP5,2.6614299999999997,3.62035,3.21569,14.419,3.6230800000000003,2.6326099999999997,9.615960000000001,4.9109,1.6976,0.619154,0.0
FABP7,2.25652,18.6299,1.89392,0.0,9.84249,0.521183,1.97922,0.577967,0.0770102,2.13492,0.0
FASN,124.609,21.6596,103.23200000000001,27.7993,4.11901,22.4823,69.4728,30.4868,174.738,1.35786,36.0783
FGFR4,2.32432,1.26755,2.18025,7.47289,1.26775,0.42262,1.93565,2.06335,3.48613,0.29037199999999996,0.416916
FGL2,2.48121,5.45068,11.3333,5.11273,4.80815,4.1031699999999995,18.1586,5.92215,1.53472,7.35359,10.1991
FOXA1,1.38574,1.2293,2.3287299999999997,141.468,3.72445,135.889,44.0487,3.2480700000000002,94.6264,5.57404,101.26700000000001
FOXC1,9.10755,35.6002,49.3215,1.44127,53.1081,3.01998,6.6412,25.3759,158.749,48.272,0.0
GABRP,8.66089,1009.38,213.666,0.8925059999999999,9.75716,1.8258599999999998,3.7613199999999996,1312.73,4.8082199999999995,124.557,0.0
GALNT7,12.4003,12.1341,30.3282,27.0483,8.96135,80.39,29.7102,28.9779,60.2869,8.64044,89.2718
GBP1,41.394,193.236,174.017,105.46700000000001,72.4958,95.4322,117.684,381.344,51.5421,174.83599999999998,79.0541
GCHFR,0.42253100000000005,0.0,0.13203900000000002,0.0,0.0,0.0,0.344589,0.0,0.7533340000000001,0.096755,0.8878870000000001
GPR87,0.9514879999999999,1.02462,0.09515549999999999,0.345952,0.811492,1.1195700000000002,0.0,1.8344,0.0,1.90972,0.0
GZMB,1.4986,5.879519999999999,23.5314,1.97432,2.85827,0.77617,1.33328,2.3361099999999997,2.38321,3.38941,0.114792
HGD,4.21735,0.0,1.4383299999999999,9.78665,0.723087,6.59139,6.88391,2.68364,3.19875,0.0,0.0
HTRA1,91.2943,62.1455,52.5467,17.1681,89.2861,30.5015,291.691,15.2161,9.9117,15.8426,57.5539
IDO1,0.29142399999999996,0.0,16.5229,5.33777,2.73532,3.09202,1.58873,58.7348,3.8729,40.6568,0.0
IGFBP4,13.3498,5.52265,20.4877,0.42808599999999997,1.5095299999999998,0.49661000000000005,7.64763,0.976242,21.2055,0.927897,10.6492
IGHM,55.218999999999994,20.2621,0.0,78.512,22.8218,5.19747,43.9422,81.722,70.363,111.369,144.781
IGJ,20.0186,53.8699,254.797,192.232,90.7233,27.8626,218.31,477.129,33.6758,159.628,651.057
IGKC,182.34599999999998,1214.16,9760.16,728.295,4574.11,801.068,980.865,3901.31,1866.18,2153.64,3728.87
IL23A,0.049007300000000004,0.0,0.15506,0.37344299999999997,0.175262,0.0,0.0,0.0811747,0.15148,0.0,0.243693
IL33,0.8833290000000001,2.26428,5.68884,0.348064,1.3740299999999999,0.5539649999999999,5.825130000000001,0.46980500000000003,0.338005,2.23115,3.54569
INPP4B,37.1722,7.97554,32.4208,10.0589,11.0585,12.8883,26.069000000000003,13.55,11.4627,11.1627,9.4802
ITM2A,5.13433,4.3337900000000005,23.9956,7.607880000000001,8.41023,9.52588,15.3956,11.405999999999999,2.72788,11.7579,5.674119999999999
