gene_short_name,V515-06187-A1,TNT-192,TNT-214,TNT-67,17-00113-4_S11_cufflinks,TNT-158,TNT-269,TNT-240,TNT-53,TNT-267,TNT-71
ABCA8,1.07397,119.155,6.30619,38.3062,15.3024,8.55308,9.26357,4.2240400000000005,12.7482,14.0161,12.9025
ADRA2A,0.196819,0.8013359999999999,0.5343899999999999,0.801187,1.17333,0.0,0.0965076,0.0,0.09945930000000001,0.0,0.12659700000000002
AKAP12,3.7524300000000004,35.9662,6.27307,27.6458,3.4871199999999996,1.99925,11.6325,4.96255,2.72579,34.7771,3.09258
ALDH3B2,34.613,68.1928,5.43093,33.9557,0.0,0.0,1.61673,0.0,0.586071,0.0,24.6302
APOD,101.54799999999999,11869.7,78.8272,850.293,364.67199999999997,46.1631,17.7364,0.97078,108.63600000000001,0.187089,769.0139999999999
ART3,19.2103,0.0,92.4518,0.535039,34.7165,7.3933800000000005,33.2699,267.907,384.85,26.3716,47.9684
ASPN,31.1651,142.614,5.46924,175.454,24.2658,132.45600000000002,31.201,11.6138,30.5316,36.7956,21.4233
AZGP1,64.9749,771.028,603.7869999999999,391.01300000000003,1.9705,26.0583,58.5012,1.1711799999999999,239.112,5.04708,39.1429
BLVRB,6.57613,5.36615,2.09444,3.14037,1.3641299999999998,8.05673,0.8968360000000001,1.01991,2.26478,0.0,2.8226
C7,0.29143,4.10235,19.8767,52.2921,1.0167,5.04266,6.178380000000001,0.303186,2.08852,0.880913,0.8062819999999999
CCL5,1.03708,18.4049,9.4678,15.48,18.6956,14.6772,3.93235,56.2359,29.3619,31.6815,7.98503
CD36,36.5005,134.586,20.8269,175.37400000000002,17.7305,24.866,33.2638,0.331216,35.2486,11.7456,18.241
CD52,5.15236,123.244,80.1085,39.5948,10.3919,56.19,24.7288,225.58700000000002,13.2733,198.71400000000003,27.5781
CDC20,19.1111,4.20426,33.0613,0.48260699999999995,13.2209,21.2697,10.3008,1.93134,16.9774,4.05045,7.511880000000001
CHI3L1,52.4824,0.0,1.5293,4.42293,14.252,37.3911,22.9312,12.467,47.8151,0.374262,304.561
COL2A1,124.822,0.0,0.0,0.0,40.7805,69.285,3.86954,12.0136,31.4125,0.0,0.165655
COL5A1,145.37,49.6839,23.8546,143.662,68.1556,62.7231,91.8004,6.52259,57.393,17.0328,30.2796
COL5A2,202.313,216.858,19.3943,330.43,101.402,103.473,109.73200000000001,13.8008,62.0196,1.08796,70.6025
CRAT,3.09639,12.229000000000001,0.567394,8.76498,2.69333,2.67745,4.34124,4.80961,4.58664,5.195790000000001,6.561939999999999
CROT,17.2031,70.1636,12.2198,12.809000000000001,5.8188,8.122910000000001,6.66257,0.07272569999999999,3.7599699999999996,6.6875100000000005,5.04884
CXCL10,2.29941,10.1642,45.9677,8.316880000000001,26.4345,63.0364,41.6064,630.34,1027.76,14.0868,219.018
CXCL11,0.642556,25.8333,17.160999999999998,1.3431600000000001,5.58739,9.6686,5.55652,44.9543,117.484,0.0,11.3213
CXCL13,0.0413495,10.7731,24.9894,2.82177,7.414060000000001,7.40388,13.0681,91.6347,13.8145,39.7643,29.1612
CYP4F8,0.048019099999999995,0.0,0.0,0.0558274,0.0,0.19008599999999998,0.585101,0.04148230000000001,0.446875,0.0418865,0.0
DBI,412.371,542.624,624.36,146.65200000000002,79.2129,694.721,128.767,118.743,341.228,8.62491,162.036
