gene_short_name,V515-06187-A1,TNT-105,17-00160-1_S2Aligned_cufflinks,TNT-44,TNT-296,TNT-67,TNT-201,TNT-14,TNT-80,17-00212-8_S3Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks
ABCA8,1.07397,31.9528,0.7198220000000001,57.5774,12.0717,38.3062,6.476459999999999,1.6867900000000002,22.0769,10.9008,19.1922
ADRA2A,0.196819,0.0701431,0.203424,0.6270140000000001,0.51861,0.801187,0.195692,0.10451700000000001,0.013179399999999999,0.804,0.730596
AKAP12,3.7524300000000004,9.491489999999999,1.14141,29.6051,3.8555,27.6458,12.689,2.1604400000000004,2.49283,6.45585,8.16971
ALDH3B2,34.613,0.0,5.40626,0.0,2.50943,33.9557,8.55663,5.56607,58.4224,54.5406,0.523783
APOD,101.54799999999999,114.32,10.1478,551.695,16.3223,850.293,127.635,10.9277,819.493,1024.91,26.8377
ART3,19.2103,17.1801,5.258319999999999,17.6012,4.89082,0.535039,64.8882,31.6725,0.0,0.0878982,28.6469
ASPN,31.1651,168.207,21.9529,37.2942,13.9013,175.454,46.2732,9.50099,14.3354,191.273,11.0376
AZGP1,64.9749,9.073,45.7678,63.9359,0.852334,391.01300000000003,651.6469999999999,31.8473,29.0099,257.36400000000003,51.8361
BLVRB,6.57613,0.431008,3.17095,2.47625,0.378983,3.14037,2.21732,7.24225,4.11966,80.8059,1.62151
C7,0.29143,5.95524,0.7452850000000001,15.2903,12.4669,52.2921,4.18576,0.419171,0.597286,4.5721099999999995,17.412
CCL5,1.03708,6.4528300000000005,0.0,6.20512,2.0144,15.48,3.4542599999999997,6.555389999999999,17.3256,5.79704,4.40667
CD36,36.5005,49.5897,5.95287,161.29,18.1203,175.37400000000002,37.1595,19.3488,29.4388,59.1195,19.8167
CD52,5.15236,19.3671,12.1882,76.5111,23.3851,39.5948,17.2804,20.7734,157.474,31.8435,23.7771
CDC20,19.1111,3.94257,12.6869,6.29946,21.6756,0.48260699999999995,15.1737,23.4345,10.062999999999999,3.74191,7.086989999999999
CHI3L1,52.4824,5.77056,40.6979,19.8265,10.3386,4.42293,27.7612,14.9398,2.5819799999999997,3.5127800000000002,4.73689
COL2A1,124.822,4.955830000000001,0.0209768,0.369471,0.27657800000000005,0.0,0.10346400000000001,0.8622049999999999,0.0,0.029408999999999998,0.0
COL5A1,145.37,51.5344,51.4022,75.9328,16.8683,143.662,60.1661,30.3356,21.4176,109.637,58.7164
COL5A2,202.313,93.8971,114.544,135.933,13.0316,330.43,118.01899999999999,32.3981,28.2956,225.09400000000002,38.1792
CRAT,3.09639,3.66532,20.0761,7.360689999999999,1.49166,8.76498,6.1247300000000005,12.9929,1.06871,37.2093,14.2827
CROT,17.2031,11.0311,6.76398,5.748069999999999,21.9133,12.809000000000001,3.2792,3.9923599999999997,29.4058,55.8078,12.7956
CXCL10,2.29941,20.2306,31.7238,56.0996,12.8441,8.316880000000001,34.8583,29.3048,89.9105,10.818,7.528910000000001
CXCL11,0.642556,4.0881099999999995,17.1679,1.58942,2.58412,1.3431600000000001,7.684660000000001,6.51251,17.3448,2.1760200000000003,1.4162299999999999
CXCL13,0.0413495,5.1081900000000005,5.12899,4.795640000000001,12.7154,2.82177,6.53752,7.50828,22.875,16.0517,0.0
CYP4F8,0.048019099999999995,1.98386,0.0,3.5069199999999996,0.800571,0.0558274,0.0988321,0.0,8.743139999999999,93.9124,0.0
DBI,412.371,33.3223,180.298,108.177,92.3906,146.65200000000002,624.9159999999999,145.792,260.025,180.87,21.4471
DEFB1,3.16262,1.66839,1.3347200000000001,0.977303,0.186356,0.5832109999999999,2.52093,2.8024400000000003,0.0,0.8506879999999999,0.0
DHCR24,38.1374,4.70632,40.4215,7.285489999999999,7.1537,58.5741,19.4007,86.3851,50.5079,41.4729,3.58161
DUSP5,2.6614299999999997,2.66086,0.8976430000000001,6.42948,7.56295,10.2672,3.4079599999999997,6.16071,12.2729,2.6576400000000002,6.5948199999999995
FABP7,2.25652,5.16667,0.256128,1.8110099999999998,41.4076,0.504147,0.46985200000000005,1.2532,0.0,159.575,0.0
FASN,124.609,0.486821,52.2629,6.2038400000000005,8.639389999999999,33.9861,22.2212,69.7638,30.1502,309.301,77.9135
FGFR4,2.32432,0.5812229999999999,0.592591,0.634329,0.749579,2.0723599999999998,0.47448199999999996,0.547024,13.3853,7.30337,0.0
FGL2,2.48121,3.3641199999999998,7.74095,7.86297,3.5620300000000005,8.229280000000001,2.43645,3.2164200000000003,12.4533,6.500380000000001,9.62687
FOXA1,1.38574,6.09365,1.38504,4.48069,30.7378,41.2711,3.7643400000000002,0.205656,145.191,46.262,0.181899
FOXC1,9.10755,61.004,48.0158,20.1979,15.1327,9.42451,38.1223,32.1182,1.18777,2.49251,1.6466900000000002
GABRP,8.66089,176.33599999999998,347.089,162.789,85.2671,101.90700000000001,223.33,841.158,58.7474,1.9642700000000002,269.497
GALNT7,12.4003,29.8458,24.7308,8.8823,17.9387,43.7686,8.396339999999999,7.97859,54.0238,92.9805,5.790690000000001
GBP1,41.394,96.5449,183.03400000000002,181.968,50.2438,116.33,125.751,144.463,176.493,60.6462,90.1077
GCHFR,0.42253100000000005,0.0,0.0872098,0.0,0.0,0.176906,0.23903600000000003,0.0,0.0906165,1.17435,0.0
GPR87,0.9514879999999999,4.51039,0.0774054,3.86145,3.5566400000000002,0.16933,8.07324,0.9581959999999999,2.53209,0.16636800000000002,0.0
GZMB,1.4986,10.8126,3.3163400000000003,1.57691,8.284930000000001,1.42534,2.32191,2.58473,18.5237,2.31003,1.12176
HGD,4.21735,17.1976,0.248937,2.59817,6.163130000000001,22.0706,9.236989999999999,0.5958399999999999,59.0274,26.6912,7.50475
HTRA1,91.2943,22.7408,38.5339,135.477,15.8886,211.365,69.6793,16.6235,11.7082,212.05599999999998,49.397
IDO1,0.29142399999999996,21.6275,9.38429,11.717,32.1341,1.9392099999999999,6.721989999999999,5.88304,10.3645,2.55753,29.3957
IGFBP4,13.3498,2.6949799999999997,3.68364,6.0380400000000005,0.6275189999999999,4.4985599999999994,3.59441,2.86242,0.690163,19.16,45.4229
IGHM,55.218999999999994,7.7482,261.798,50.9729,34.2648,336.39300000000003,111.221,144.626,86.5714,103.525,152.941
IGJ,20.0186,30.9685,93.7332,252.016,37.8897,2010.26,71.1984,39.4167,74.4326,50.9066,159.86
IGKC,182.34599999999998,125.6,3271.85,928.331,1035.63,9916.74,2074.26,9184.18,668.7330000000001,3990.24,2589.9
IL23A,0.049007300000000004,0.0,0.0419799,0.0,4.28803,0.110175,0.0,0.0,0.0,0.649216,0.0
IL33,0.8833290000000001,4.22781,0.23683600000000002,10.2893,1.301,13.0023,2.09151,0.45888599999999996,1.69859,1.8899599999999999,20.4372
INPP4B,37.1722,15.5322,7.95597,35.38,4.70777,53.3911,7.499910000000001,12.2175,50.2206,32.4049,31.2191
ITM2A,5.13433,6.29941,8.61838,43.8775,7.457319999999999,35.0003,9.830110000000001,4.7240400000000005,24.3508,13.1332,37.63
JAM2,11.2143,8.829460000000001,3.97655,28.1835,5.70155,22.9359,5.2201699999999995,2.3709700000000002,5.703130000000001,12.1372,11.1531
KCNK5,7.320460000000001,0.482227,4.97692,1.2931700000000002,0.29501700000000003,0.48194899999999996,1.1265100000000001,1.8995,0.0,0.226162,1.6740400000000002
KIAA1324,6.46799,7.3353399999999995,0.90376,12.3385,6.120430000000001,77.9209,17.717,0.938493,94.6725,22.5651,11.4137
KMO,1.44589,8.78243,3.05037,3.68019,10.6676,40.0984,5.45015,10.7046,33.757,51.953,8.759889999999999
KRT14,118.37100000000001,49.623000000000005,0.9092540000000001,92.8815,0.113856,9.53856,150.591,2.10125,5.44961,13.2923,11.6942
KRT16,91.0343,14.972999999999999,36.6867,149.575,1.6940099999999998,3.93344,70.8838,24.2042,6.32739,5.29504,48.806000000000004
KRT17,105.34700000000001,73.9639,137.314,173.196,0.0,17.9637,169.791,48.217,10.6754,25.5607,91.1917
KRT6A,54.2242,49.8643,10.3745,57.7713,23.9963,12.1585,13.4392,10.655999999999999,0.308611,18.327,334.97
KRT6B,86.6584,8.31075,105.963,33.1355,0.169457,10.6312,14.2342,4.38034,1.8245099999999999,7.05858,105.53299999999999
KYNU,14.7879,17.2198,6.34854,9.041360000000001,9.53512,42.0408,2.62625,2.87511,21.3514,97.4717,2.0966099999999996
LBP,0.573258,0.669962,0.24971,0.73285,1.49229,109.041,0.99451,9.36242,1.27204,18.7281,0.49631400000000003
LHFP,2.0952,0.9068860000000001,0.46170900000000004,5.4203,0.252562,2.90409,0.828257,0.44400600000000007,1.01609,2.08498,1.68337
MFAP4,1.60954,0.276358,1.0224799999999998,8.7876,0.49813999999999997,40.0267,5.27245,0.611251,3.7110300000000005,6.34898,4.522069999999999
MIA,21.0747,4.42199,0.5800109999999999,13.4092,0.0,0.31262199999999996,9.45003,13.5693,0.0,2.07213,2.9892
MID1,36.2366,17.305999999999997,11.5278,18.9785,20.5392,19.5429,69.4015,27.3804,17.8698,11.1729,20.1044
MYBL1,4.603619999999999,29.0446,10.6239,42.4586,10.5008,3.11246,42.8867,161.042,9.316239999999999,4.7565,29.0565
NEK2,17.1321,21.2469,26.3562,15.4104,35.7655,0.0331213,21.1913,22.8411,33.0849,4.376930000000001,9.19087
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.184201,0.0,0.016492700000000002,0.0
OGN,1.27872,24.8683,1.35366,26.9847,29.086,133.8,8.84056,6.075080000000001,24.4999,17.1544,1.29925
PI3,0.0,3.8761300000000003,1.8968599999999998,0.0,0.0,3.1659900000000003,0.0,0.327406,0.0,2.95712,0.0
PLEKHB1,14.583,0.41018599999999994,5.0627699999999995,4.90876,2.8242599999999998,2.2614400000000003,4.582730000000001,5.895,2.1926900000000002,0.291418,2.66644
PMAIP1,1.6239299999999999,4.45515,2.45811,1.00094,1.76168,1.3434700000000002,5.0563199999999995,3.0045,0.0,0.701642,0.0
