gene_short_name,V515-06187-A1,17-00118-2_S5Aligned_cufflinks,TNT-85,TNT-73,17-00243-6_S9Aligned_cufflinks,TNT-265,17-00114-7_S13_cufflinks,17-00269-8_S12Aligned_cufflinks,17-00103-7_S3Aligned_cufflinks,17-00140-2_S2_cufflinks,TNT-278
ABCA8,1.07397,24.4092,13.9148,7.7854600000000005,39.5772,2.63255,4.78456,10.5754,17.5334,4.1809,6.094869999999999
ADRA2A,0.196819,3.19406,0.126968,0.224004,2.18221,0.8604940000000001,1.9036,0.23155900000000001,1.10499,0.9741280000000001,0.0
AKAP12,3.7524300000000004,14.0568,9.65515,6.59172,18.6305,4.09434,7.9425,3.77041,7.264939999999999,1.05279,4.77909
ALDH3B2,34.613,3.2972599999999996,3.0914200000000003,8.950569999999999,6.116709999999999,7.944780000000001,10.6038,3.69538,4.13598,25.7805,1.8783400000000001
APOD,101.54799999999999,185.233,880.669,2468.97,222.14700000000002,3.24389,15.2827,55.1521,23.9471,4.29317,86.3132
ART3,19.2103,0.0,23.9716,37.2875,0.6155229999999999,29.0535,8.701039999999999,42.777,8.81953,9.720880000000001,0.0
ASPN,31.1651,16.7672,34.7116,20.8746,114.85700000000001,6.48189,206.11,28.712,75.8475,10.1457,11.8417
AZGP1,64.9749,72.8132,35.7304,4.87138,63.7556,109.885,3.75124,109.38799999999999,2.74417,60.7934,134.856
BLVRB,6.57613,1.8396400000000002,1.67536,0.22738899999999998,4.7669999999999995,2.82875,7.713710000000001,3.27189,4.59856,3.62414,0.0
C7,0.29143,24.8705,2.5042,3.75633,24.3373,16.1298,3.6981800000000002,9.23125,3.04093,0.0,19.5287
CCL5,1.03708,3.56215,8.38996,5.166919999999999,11.5664,6.73407,0.0,16.1353,0.0,0.0,8.68593
CD36,36.5005,119.60700000000001,17.1364,29.3908,228.418,69.7685,15.9088,88.0077,25.8122,44.8475,36.6558
CD52,5.15236,2.24641,20.4057,22.8146,53.8862,370.82300000000004,39.7689,16.4224,22.1463,6.33001,147.046
CDC20,19.1111,0.0,9.41933,6.30304,0.705943,22.7002,7.443230000000001,24.4458,10.9556,9.59021,1.44794
CHI3L1,52.4824,12.7697,13.6008,17.4637,20.1565,22.1167,25.4046,49.4362,49.4244,31.4808,0.1863
COL2A1,124.822,0.0,98.027,0.257811,0.413376,0.12088499999999999,37.2636,0.383356,0.114516,0.022249099999999997,0.0171505
COL5A1,145.37,52.95,45.6382,28.7026,204.403,6.09765,106.22399999999999,46.8246,134.716,87.0433,27.0808
COL5A2,202.313,24.6562,129.77,55.1583,352.65,8.16721,160.553,95.8911,139.918,50.7685,52.0394
CRAT,3.09639,10.0312,2.57163,7.99856,9.947460000000001,2.73679,8.310360000000001,5.729019999999999,7.029260000000001,6.3588,0.810681
CROT,17.2031,11.6213,12.7296,8.95417,15.6503,5.86815,6.30745,5.47545,9.5261,18.901,24.511999999999997
CXCL10,2.29941,3.6803,11.7658,79.1191,15.3334,56.437,12.5891,109.851,34.2045,63.1842,105.664
CXCL11,0.642556,0.0,2.7381599999999997,17.9889,8.71699,20.7628,2.87613,38.6206,3.2623,18.5376,8.25464
CXCL13,0.0413495,0.0,4.71574,25.8386,5.5519099999999995,79.1886,9.07559,10.1775,18.8237,16.208,50.2738
CYP4F8,0.048019099999999995,0.0,0.0,0.11675799999999999,4.40353,0.134844,0.0,0.0,0.0,0.467581,3.90855
DBI,412.371,19.5872,133.489,191.018,68.6185,206.40099999999998,148.145,139.231,71.6972,52.3533,90.4076
DEFB1,3.16262,0.0,0.38140999999999997,82.74600000000001,0.460946,5.6752,0.373373,1.1212799999999998,0.0,7.87098,0.0
DHCR24,38.1374,14.4419,4.28671,24.2594,27.6291,38.6224,14.1302,35.2547,43.1474,18.332,7.5602
DUSP5,2.6614299999999997,11.1119,2.37387,2.62585,12.0934,3.7219599999999997,2.26818,2.6019,3.9232099999999996,7.344860000000001,1.86001
FABP7,2.25652,0.428058,6.33376,0.24545100000000003,1.58738,0.0,0.439255,711.5219999999999,0.0,5.74169,0.47545699999999996
FASN,124.609,23.8917,4.8539699999999995,2.2914,68.9283,22.6256,21.2144,37.527,48.321000000000005,107.34299999999999,1.5303
FGFR4,2.32432,1.08178,0.210286,0.103253,0.41132799999999997,0.794633,0.0,0.468103,1.37858,0.622948,0.381338
FGL2,2.48121,3.5442400000000003,2.7094,5.2011400000000005,8.60775,6.590339999999999,9.25424,7.09258,12.1423,3.84026,6.265630000000001
FOXA1,1.38574,90.0389,0.0,0.840333,36.4209,3.09199,0.345068,5.58076,4.26885,0.725695,70.669
FOXC1,9.10755,15.4442,79.8081,39.4518,10.9936,34.8431,44.4172,15.7271,16.9357,17.2027,0.656008
GABRP,8.66089,123.86,1053.74,788.549,12.1721,447.85699999999997,24.0438,110.37299999999999,589.325,275.553,17.6287
GALNT7,12.4003,17.0883,38.9402,32.0451,25.96,11.2769,18.0233,33.2821,18.8425,14.8314,177.51
GBP1,41.394,50.1795,94.8531,162.27200000000002,243.862,268.497,93.6811,132.468,204.12400000000002,94.1626,53.7536
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.737737,0.19162,0.90489,0.294779,0.28362,0.55353,0.0
GPR87,0.9514879999999999,1.69062,0.274371,5.26291,0.46162299999999995,0.251076,0.0,0.632517,0.08576389999999999,4.25574,0.0
GZMB,1.4986,0.0,0.156752,3.86003,5.20754,7.258210000000001,1.6308,3.9503199999999996,6.384930000000001,5.9785,8.82977
HGD,4.21735,0.460552,0.344177,0.0,3.72477,0.775345,4.698119999999999,0.353446,1.21189,1.2829899999999999,2.51632
HTRA1,91.2943,47.1622,26.8807,18.7356,381.336,9.89311,218.9,40.5043,113.456,22.5779,26.2691
IDO1,0.29142399999999996,0.0,1.2597200000000002,9.27438,3.1867799999999997,21.2085,7.6962,30.934,8.94561,27.5373,3.05783
IGFBP4,13.3498,70.1925,1.20676,1.43517,42.5683,0.701976,21.2358,8.82504,19.3841,12.5501,0.34994000000000003
IGHM,55.218999999999994,86.3239,15.7823,92.9612,0.0,305.596,0.0,0.0,362.51599999999996,707.6,94.4486
IGJ,20.0186,279.78700000000003,28.9327,384.288,501.588,266.589,235.514,113.14200000000001,336.337,104.18299999999999,361.046
IGKC,182.34599999999998,1148.8,544.65,2785.71,8367.3,2069.78,8047.69,1150.07,5557.59,2567.62,1159.8
IL23A,0.049007300000000004,0.0,0.0,0.40242,0.17344400000000001,0.339316,0.144022,6.55169,0.0,0.17563800000000002,0.0
IL33,0.8833290000000001,13.1878,2.95705,4.19605,5.03543,8.029069999999999,2.26153,2.2137700000000002,3.6510000000000002,4.0518,1.50942
INPP4B,37.1722,50.4525,12.045,9.91178,31.7449,25.6114,14.0964,6.02461,15.0117,10.305,31.4489
ITM2A,5.13433,22.506,13.6575,7.0714,51.0475,28.377,12.9495,9.43338,12.7233,5.2159699999999996,18.3801
JAM2,11.2143,36.0985,16.8022,7.17962,29.0208,3.6322699999999997,7.29828,5.72804,8.33709,2.42791,14.3004
KCNK5,7.320460000000001,1.64673,1.42137,0.0679313,0.144255,0.324207,3.01694,0.511742,0.8063140000000001,1.7767700000000002,0.0171516
KIAA1324,6.46799,18.2397,26.8834,3.7088400000000004,20.3606,29.7423,21.7289,5.38614,0.733045,1.1698,46.4182
KMO,1.44589,3.6864800000000004,2.61179,8.273719999999999,4.74343,35.9784,6.08016,4.13572,7.711989999999999,11.3322,103.88600000000001
KRT14,118.37100000000001,394.19,10.4352,13.3212,242.393,0.928637,342.61699999999996,166.331,0.0353425,568.828,0.0
KRT16,91.0343,67.3251,18.7238,6.70262,22.3233,8.10305,148.238,73.708,0.109901,340.18199999999996,0.0
KRT17,105.34700000000001,1029.97,90.4727,48.2962,355.93,3.14951,14.9846,231.475,888.039,101.24,0.0
KRT6A,54.2242,42.1492,17.4194,77.6605,172.062,23.9984,10.3649,150.395,14.0728,1898.76,12.7373
KRT6B,86.6584,58.21,15.7364,63.2006,39.5844,1.93487,15.9633,137.776,25.4113,818.47,0.0
KYNU,14.7879,4.379630000000001,4.71817,9.55879,20.7412,14.4931,16.3914,142.601,14.0936,52.8919,42.7789
LBP,0.573258,0.6302840000000001,1.18249,0.0,6.9576199999999995,0.37161,0.0,2.92004,18.0162,0.483336,0.812294
LHFP,2.0952,6.1212800000000005,1.88011,0.260677,3.41442,0.7185600000000001,1.9279700000000002,1.19223,1.44218,0.958182,0.438417
MFAP4,1.60954,30.8398,1.10077,2.133,29.2715,3.21895,13.999,5.30635,11.969000000000001,5.13046,1.54269
MIA,21.0747,10.3012,20.3728,3.3616900000000003,3.57539,2.32658,22.0073,9.32885,0.0,10.8721,0.0
MID1,36.2366,13.2023,16.0742,24.2977,19.4964,7.789039999999999,15.6825,28.897,16.711,28.4416,7.24832
MYBL1,4.603619999999999,1.04872,48.2984,8.25261,2.26514,65.958,14.8261,8.092939999999999,2.44602,24.7996,5.53364
NEK2,17.1321,0.0,45.9645,54.6188,0.583537,24.9457,2.65817,20.5924,16.632,46.8643,6.9343
NTN3,0.023557599999999998,0.10363599999999999,0.0,0.0,0.028244799999999997,0.0,0.0,0.0,0.0,0.167211,0.0
OGN,1.27872,18.294,19.6786,28.6293,45.42100000000001,9.22293,24.1344,7.567989999999999,33.1891,1.7513,21.2801
PI3,0.0,12.3687,12.9848,15.2543,0.47588500000000006,0.138156,5.54214,20.4042,56.2403,13.2193,0.0
PLEKHB1,14.583,2.82605,1.19545,0.340161,1.3299,1.9091599999999997,5.00022,4.024380000000001,7.593939999999999,1.4862799999999998,0.284093
PMAIP1,1.6239299999999999,1.26956,0.0,2.3414599999999997,0.588906,3.11746,0.19425,12.7009,1.49607,8.42044,0.808025
PSMB9,0.0,7.70055,1.28821,5.68435,0.0,35.3842,17.1742,20.1497,0.0,0.0,4.4101
PTGDS,1.49063,15.6347,1.5046899999999999,3.77751,30.8632,15.2188,2.11065,2.2471799999999997,1.97478,16.1707,1.8187200000000001
RARRES3,10.7933,1.02773,5.74631,10.8694,35.4719,46.8306,13.1396,24.9939,16.534000000000002,4.27915,13.9324
RTP4,0.772275,0.0,0.0949046,4.22076,1.58515,11.5963,0.9233870000000001,2.2332,0.8455010000000001,13.7556,0.08686039999999999
S100A1,196.638,3.69956,12.5233,0.156149,3.7795699999999997,4.29134,184.77,4.69899,0.319159,15.8769,0.915583
S100A7,6.579160000000001,37.0075,1.3312,9.12628,8.425880000000001,22.3707,0.0,0.41959399999999997,0.0,301.482,2.87785
S100A8,3.4999599999999997,37.781,2.91237,5.5385599999999995,10.0399,1.86021,1.42492,10.9431,7.16315,151.92,3.13544
SCRG1,23.221999999999998,0.0,44.7074,2.2307,0.0701932,0.43998699999999996,0.9965639999999999,0.20717199999999997,0.0,0.17457,4.0824300000000004
SEMA3C,89.189,46.8309,41.3754,15.7635,61.3215,22.3716,33.7191,30.6454,30.594,72.0489,21.9546
SERHL2,5.02658,9.31367,0.700095,1.2349,19.9281,2.6417900000000003,18.7642,1.56572,2.41013,8.464369999999999,23.6951
SFRP1,35.3095,13.2394,7.5595,0.100459,6.72849,0.18926800000000002,15.6747,2.3822,2.36344,2.53916,0.24418499999999999
SIDT1,0.9090090000000001,21.2172,0.9001629999999999,3.01369,9.63895,23.2043,7.32397,1.9539900000000001,3.21991,3.1283,19.3007
SOX10,3.84721,6.1676,0.780131,0.00900422,1.24586,1.01938,4.06913,0.878964,0.0,5.45062,0.0
SPDEF,0.141878,1.19861,0.268385,0.0,2.54524,0.07995880000000001,1.04377,0.10571300000000002,0.08195319999999999,0.141015,1.6802599999999999
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.10835,0.0,0.799141,0.0,0.38435199999999997,137.28799999999998,0.0
SPTLC2,28.7351,10.1009,27.1889,13.6311,28.4852,39.5264,36.838,24.273000000000003,36.1338,33.5879,47.7442
SRPX,12.4869,7.353160000000001,2.9674099999999997,1.04663,14.706,0.232665,6.34974,4.76311,6.0477,3.0198400000000003,1.06881
TCF7L1,11.751,15.4859,10.6981,28.8742,10.1506,5.04884,8.07737,13.2797,4.27525,11.4746,0.853785
TFAP2B,1.18026,10.5496,0.306106,0.89359,6.80933,0.0699716,0.327111,21.965999999999998,0.374233,0.613329,82.1722
THBS4,8.67223,0.844511,13.8041,4.65828,12.7354,1.1335600000000001,4.39824,6.7119,5.72026,1.39697,6.88127
TNFAIP8,5.97248,12.507,22.5981,17.1811,14.1535,93.1282,19.3631,8.86002,16.8954,22.7301,31.3622
TNFSF10,24.8142,13.4055,15.7083,172.615,35.1596,48.2169,13.6293,42.7859,77.0824,44.791000000000004,57.7496
TRIM68,7.67148,0.51408,2.11095,1.0162200000000001,2.74792,1.8199400000000001,2.5373900000000003,2.03574,1.7915,2.501,0.47893100000000005
TSC22D3,7.24202,41.9399,2.68451,8.0713,25.3356,13.4299,16.6763,21.2128,28.9859,2.3329299999999997,20.531999999999996
UBD,0.0,0.0,5.77332,73.4598,15.4556,25.0035,0.0,0.0,0.0,0.0,6.17614
UGT2B28,0.0,0.0,0.0,0.0132192,0.44190799999999997,0.0886665,0.0,0.447108,0.0,0.0,23.4067
XBP1,26.3139,82.6609,41.7376,62.3238,91.5877,42.5204,73.4973,25.9862,71.1081,48.3852,130.299
ZCCHC24,0.75321,1.23345,0.259422,0.534347,2.24439,0.39827399999999996,0.843194,0.0829296,1.05722,0.389981,0.07908939999999999
