gene_short_name,V515-06187-A1,TNT-57,TNT-227,17-00123-8_S16Aligned_cufflinks,TNT-121,TNT-73,TNT-265,17-00110-9_S15Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-111,17-00114-7_S13_cufflinks
ABCA8,1.07397,6.46901,0.8764959999999999,6.17733,3.9618800000000003,7.7854600000000005,2.63255,0.943892,54.7654,14.8562,4.78456
ADRA2A,0.196819,0.408656,0.949996,0.984298,0.0,0.224004,0.8604940000000001,0.184313,2.2659,1.0391700000000001,1.9036
AKAP12,3.7524300000000004,6.26016,4.588480000000001,6.51828,11.4793,6.59172,4.09434,0.618114,17.232,15.7074,7.9425
ALDH3B2,34.613,0.10081699999999999,0.0,8.4669,2.11688,8.950569999999999,7.944780000000001,21.1902,1.86159,575.453,10.6038
APOD,101.54799999999999,51.8919,13.7345,38.787,39.2727,2468.97,3.24389,0.8471620000000001,39.7176,10225.5,15.2827
ART3,19.2103,29.1496,53.495,1.05535,10.847999999999999,37.2875,29.0535,1.7045400000000002,0.0,0.17538499999999999,8.701039999999999
ASPN,31.1651,78.5235,14.4329,60.2143,56.5755,20.8746,6.48189,8.79653,238.97400000000002,130.499,206.11
AZGP1,64.9749,118.51799999999999,9.19289,11.2503,13.4647,4.87138,109.885,71.6802,22.0611,1218.82,3.75124
BLVRB,6.57613,4.3314699999999995,3.1071,2.48037,1.03409,0.22738899999999998,2.82875,3.21779,3.8647,7.4401,7.713710000000001
C7,0.29143,2.87842,4.99071,11.3646,0.278673,3.75633,16.1298,0.145938,2.4199599999999997,2.59044,3.6981800000000002
CCL5,1.03708,3.70974,26.5416,10.7819,6.49841,5.166919999999999,6.73407,0.0,0.0,1.97053,0.0
CD36,36.5005,21.4543,17.3573,14.5033,39.211999999999996,29.3908,69.7685,4.6544,34.8926,94.8575,15.9088
CD52,5.15236,16.7951,480.968,18.0695,0.0,22.8146,370.82300000000004,4.91219,30.9282,24.4018,39.7689
CDC20,19.1111,26.4927,10.3227,27.82,15.5014,6.30304,22.7002,36.4559,5.44464,3.7378199999999997,7.443230000000001
CHI3L1,52.4824,15.99,7.42916,3.6709,13.9052,17.4637,22.1167,0.8237700000000001,9.49815,7.57694,25.4046
COL2A1,124.822,0.548056,0.609106,0.522,20.653000000000002,0.257811,0.12088499999999999,20.099,0.12629100000000001,0.0,37.2636
COL5A1,145.37,87.4963,27.5166,137.917,112.066,28.7026,6.09765,58.6796,413.834,219.15400000000002,106.22399999999999
COL5A2,202.313,121.088,44.3055,174.571,133.695,55.1583,8.16721,36.052,461.219,458.394,160.553
CRAT,3.09639,8.625630000000001,2.44925,4.87752,5.6090800000000005,7.99856,2.73679,7.7762199999999995,25.2676,70.4712,8.310360000000001
CROT,17.2031,4.78488,7.9890300000000005,18.6583,9.7,8.95417,5.86815,4.61565,6.63046,61.6759,6.30745
CXCL10,2.29941,4.72286,195.173,30.3093,25.2886,79.1191,56.437,4.36531,2.41063,3.96971,12.5891
CXCL11,0.642556,0.9768040000000001,17.6549,15.3951,0.0,17.9889,20.7628,0.758763,0.0,0.353852,2.87613
CXCL13,0.0413495,2.6762200000000003,31.79,14.290999999999999,0.0,25.8386,79.1886,0.6656380000000001,10.4913,23.2391,9.07559
CYP4F8,0.048019099999999995,0.859841,0.276966,0.09912339999999999,0.464837,0.11675799999999999,0.134844,0.0,0.0,10.0194,0.0
DBI,412.371,123.693,147.596,64.7748,121.927,191.018,206.40099999999998,126.947,99.9534,701.686,148.145
DEFB1,3.16262,0.23947399999999996,1.68765,0.544689,0.0,82.74600000000001,5.6752,0.0,0.0,0.0,0.373373
DHCR24,38.1374,26.688000000000002,3.4435300000000004,53.6317,7.18474,24.2594,38.6224,56.8192,10.5088,109.75200000000001,14.1302
DUSP5,2.6614299999999997,2.64648,3.49885,8.27994,0.0,2.62585,3.7219599999999997,1.6976,14.5782,9.23302,2.26818
FABP7,2.25652,33.7576,0.19135,0.668057,6.4989,0.24545100000000003,0.0,0.0770102,0.0,289.357,0.439255
FASN,124.609,20.7734,0.597191,147.439,4.28607,2.2914,22.6256,174.738,45.8677,122.384,21.2144
FGFR4,2.32432,0.19916,0.0,7.51737,0.156723,0.103253,0.794633,3.48613,1.6992900000000002,8.91163,0.0
FGL2,2.48121,3.20866,9.167639999999999,8.57437,4.5936699999999995,5.2011400000000005,6.590339999999999,1.53472,12.1398,2.79398,9.25424
FOXA1,1.38574,1.82645,0.8824569999999999,4.29772,0.0,0.840333,3.09199,94.6264,22.1995,201.456,0.345068
FOXC1,9.10755,53.8272,35.2188,131.829,31.2379,39.4518,34.8431,158.749,9.456539999999999,3.5824599999999998,44.4172
GABRP,8.66089,573.122,136.776,277.334,14.2934,788.549,447.85699999999997,4.8082199999999995,16.6435,9.12478,24.0438
GALNT7,12.4003,11.9499,19.0978,26.1286,5.890619999999999,32.0451,11.2769,60.2869,30.8292,49.7457,18.0233
GBP1,41.394,99.51100000000001,154.722,185.822,175.52900000000002,162.27200000000002,268.497,51.5421,81.1056,45.8172,93.6811
GCHFR,0.42253100000000005,0.167516,0.39659099999999997,0.7959890000000001,0.0,0.0,0.19162,0.7533340000000001,0.0,1.0427799999999998,0.90489
GPR87,0.9514879999999999,1.00728,1.74954,0.40366199999999997,2.2259,5.26291,0.251076,0.0,0.0,0.30186199999999996,0.0
GZMB,1.4986,1.4836799999999999,47.2509,8.73698,0.0918933,3.86003,7.258210000000001,2.38321,1.17603,2.45732,1.6308
HGD,4.21735,13.2817,0.211731,0.826148,2.93827,0.0,0.775345,3.19875,0.0,24.7993,4.698119999999999
HTRA1,91.2943,72.1096,23.2036,151.22299999999998,51.2061,18.7356,9.89311,9.9117,226.924,201.75099999999998,218.9
IDO1,0.29142399999999996,1.98322,9.18626,13.8538,1.0248899999999999,9.27438,21.2085,3.8729,0.0,1.66038,7.6962
IGFBP4,13.3498,4.93166,0.125222,18.2695,13.2206,1.43517,0.701976,21.2055,63.5614,3.9110400000000003,21.2358
IGHM,55.218999999999994,31.8551,108.37,0.0,5.04659,92.9612,305.596,70.363,119.759,595.725,0.0
IGJ,20.0186,40.1732,237.062,136.656,0.10924600000000001,384.288,266.589,33.6758,35.7426,212.21599999999998,235.514
