gene_short_name,V515-06187-A1,TNT-82,17-00157-0_S11Aligned_cufflinks,17-00139-2_S9Aligned_cufflinks,17-00113-4_S11_cufflinks,TNT-83,TNT-98,TNT-281,17-00212-8_S3Aligned_cufflinks,TNT-121,TNT-33
ABCA8,1.07397,7.264660000000001,14.9899,3.6460000000000004,15.3024,5.2367099999999995,46.1161,39.0365,10.9008,3.9618800000000003,42.1504
ADRA2A,0.196819,0.27721599999999996,0.9286280000000001,0.21834,1.17333,0.048419699999999996,0.44963000000000003,0.0,0.804,0.0,0.7035100000000001
AKAP12,3.7524300000000004,3.91678,11.8446,2.68102,3.4871199999999996,10.1537,5.98117,10.6971,6.45585,11.4793,6.5784
ALDH3B2,34.613,15.0004,2.39375,27.7129,0.0,11.9552,8.66927,4.0044699999999995,54.5406,2.11688,19.4297
APOD,101.54799999999999,15.1454,50.4508,8.01472,364.67199999999997,45.576,165.22799999999998,0.10930699999999999,1024.91,39.2727,462.319
ART3,19.2103,0.454395,0.291602,1.5872,34.7165,1.52685,0.23561300000000002,34.497,0.0878982,10.847999999999999,29.9479
ASPN,31.1651,23.1488,27.6337,9.948369999999999,24.2658,19.273,28.8722,7.35584,191.273,56.5755,23.2841
AZGP1,64.9749,2.0150799999999998,3.87216,1.50857,1.9705,89.7751,5.12935,48.4283,257.36400000000003,13.4647,146.048
BLVRB,6.57613,1.51625,4.4324900000000005,1.37106,1.3641299999999998,6.63001,6.782489999999999,0.0,80.8059,1.03409,3.32387
C7,0.29143,1.10798,5.99394,0.645289,1.0167,1.0988,25.5063,18.9547,4.5721099999999995,0.278673,16.7384
CCL5,1.03708,1.19407,0.0,2.11983,18.6956,8.35195,25.8249,6.88903,5.79704,6.49841,55.5323
CD36,36.5005,5.65798,149.636,14.3767,17.7305,764.051,44.3127,17.1781,59.1195,39.211999999999996,32.6821
CD52,5.15236,7.702039999999999,2.70915,2.72221,10.3919,28.8448,94.6313,13.2159,31.8435,0.0,360.04699999999997
CDC20,19.1111,20.8091,14.3517,34.2285,13.2209,6.66027,1.1533799999999998,44.7677,3.74191,15.5014,5.45902
CHI3L1,52.4824,100.53299999999999,45.5875,127.334,14.252,3.39355,4.2127300000000005,10.2393,3.5127800000000002,13.9052,5.50906
COL2A1,124.822,0.035867,114.78299999999999,0.569296,40.7805,0.13314700000000002,0.0772557,6.1441099999999995,0.029408999999999998,20.653000000000002,0.0
COL5A1,145.37,54.0508,174.977,28.6234,68.1556,51.9884,42.4369,57.647,109.637,112.066,32.1906
COL5A2,202.313,91.1359,163.721,24.2914,101.402,109.75200000000001,46.0351,29.8201,225.09400000000002,133.695,45.924
CRAT,3.09639,4.67668,4.3305,1.5318200000000002,2.69333,9.24005,25.9658,0.0595784,37.2093,5.6090800000000005,3.40098
CROT,17.2031,21.2497,4.56994,2.58029,5.8188,16.4538,8.24655,6.07646,55.8078,9.7,8.39303
CXCL10,2.29941,8.161810000000001,2.0649,20.0542,26.4345,54.7547,197.953,63.3418,10.818,25.2886,101.54799999999999
CXCL11,0.642556,0.708749,0.506209,6.05504,5.58739,29.7078,53.6756,0.8563930000000001,2.1760200000000003,0.0,19.4311
CXCL13,0.0413495,1.32724,4.07947,0.924701,7.414060000000001,20.3493,12.9855,61.5422,16.0517,0.0,85.5384
CYP4F8,0.048019099999999995,0.006201699999999999,0.0,0.0,0.0,9.35929,21.6456,1.1115700000000002,93.9124,0.464837,0.00161719
DBI,412.371,108.571,133.718,77.3433,79.2129,121.336,74.6477,104.124,180.87,121.927,238.327
DEFB1,3.16262,38.2433,1.31565,0.254765,0.0,0.0,24.0657,0.755909,0.8506879999999999,0.0,1.17739
DHCR24,38.1374,63.6668,36.7396,41.1448,4.51013,75.9645,50.351000000000006,11.9895,41.4729,7.18474,3.82499
DUSP5,2.6614299999999997,0.992791,7.80812,3.5133400000000004,2.2951200000000003,14.2512,4.34839,1.57865,2.6576400000000002,0.0,5.034
FABP7,2.25652,9.31424,19.8938,0.100483,7.1750300000000005,0.405342,0.713272,59.3406,159.575,6.4989,0.341104
FASN,124.609,28.679000000000002,77.9457,96.6952,36.0866,155.987,9.731589999999999,21.6485,309.301,4.28607,8.31724
FGFR4,2.32432,0.21109699999999998,0.9193459999999999,0.655992,0.484282,16.3501,0.0,10.5211,7.30337,0.156723,1.9194
FGL2,2.48121,4.99871,4.94528,1.62525,3.70126,5.12706,15.2264,6.78257,6.500380000000001,4.5936699999999995,16.6367
FOXA1,1.38574,0.525582,2.59678,0.595121,1.0287899999999999,121.24600000000001,40.2709,1.55029,46.262,0.0,36.9889
FOXC1,9.10755,40.707,22.169,26.9418,44.431000000000004,0.746015,12.4904,8.70012,2.49251,31.2379,21.2141
GABRP,8.66089,1075.05,12.7787,383.281,461.20599999999996,1.4016,391.156,175.713,1.9642700000000002,14.2934,8.236239999999999
GALNT7,12.4003,21.5606,16.9598,25.8265,17.6967,25.489,26.8092,8.255519999999999,92.9805,5.890619999999999,18.1979
GBP1,41.394,45.6671,33.4805,102.725,75.7986,140.442,319.245,535.638,60.6462,175.52900000000002,179.69400000000002
GCHFR,0.42253100000000005,0.0,0.333965,0.312517,0.0,0.275027,0.279883,0.0,1.17435,0.0,0.130833
GPR87,0.9514879999999999,0.755197,0.58282,0.0,1.6453799999999998,0.16356099999999998,1.56249,0.519255,0.16636800000000002,2.2259,0.702407
GZMB,1.4986,0.117183,4.43361,2.88385,2.88027,1.84185,10.0195,6.77791,2.31003,0.0918933,15.5177
HGD,4.21735,1.9496799999999999,5.07111,0.178331,1.52329,1.96698,15.2235,8.127139999999999,26.6912,2.93827,0.0
HTRA1,91.2943,63.3716,120.1,12.2357,48.8061,89.2542,37.2753,9.95982,212.05599999999998,51.2061,42.0242
IDO1,0.29142399999999996,1.13221,0.7165699999999999,5.62665,3.82295,13.1393,41.407,24.7108,2.55753,1.0248899999999999,27.4319
IGFBP4,13.3498,2.6802200000000003,25.3081,4.64699,12.6485,1.48589,3.38196,0.5106609999999999,19.16,13.2206,3.58334
IGHM,55.218999999999994,3.46944,37.0321,0.0,0.0,842.693,227.045,213.67,103.525,5.04659,640.558
IGJ,20.0186,17.1841,39.9957,13.1953,33.6241,829.929,353.98,378.825,50.9066,0.10924600000000001,692.748
IGKC,182.34599999999998,21.7669,412.756,146.428,606.637,11160.5,8207.61,2270.71,3990.24,29.2,12164.7
IL23A,0.049007300000000004,0.0,0.059104899999999995,0.0988448,0.619544,0.265761,0.100267,0.147824,0.649216,0.0,0.0
IL33,0.8833290000000001,0.64512,3.79564,0.441675,2.7284900000000003,0.47543199999999997,6.8830100000000005,1.07443,1.8899599999999999,0.120374,5.796880000000001
INPP4B,37.1722,11.6467,15.8445,2.05355,8.61467,16.3814,53.2174,3.00811,32.4049,2.65465,26.1551
ITM2A,5.13433,6.76956,12.4601,6.84793,6.46899,15.1301,25.0447,68.0098,13.1332,6.715789999999999,68.1398
JAM2,11.2143,4.3044,11.2515,1.87263,6.6517100000000005,4.95407,5.26081,5.9953,12.1372,8.22005,19.6988
KCNK5,7.320460000000001,1.02101,3.94905,1.85105,0.70677,0.599162,0.592298,1.91526,0.226162,0.9709770000000001,0.629343
KIAA1324,6.46799,43.3188,4.44704,1.06691,10.0233,40.056999999999995,18.4207,4.29164,22.5651,48.6457,115.74700000000001
KMO,1.44589,2.22004,3.9550199999999998,1.54732,13.7969,4.60907,5.56081,24.4904,51.953,10.4129,10.2393
KRT14,118.37100000000001,4.04266,246.15,25.7243,161.559,3.08023,10.8085,276.062,13.2923,12.2244,5.64154
KRT16,91.0343,47.1869,473.333,102.08200000000001,25.2559,1.0609899999999999,53.1245,349.52099999999996,5.29504,8.0908,1.27116
KRT17,105.34700000000001,92.72399999999999,1234.96,178.695,332.38800000000003,5.62649,24.3857,219.024,25.5607,0.144039,11.2167
KRT6A,54.2242,80.6555,316.262,99.8324,16.0704,0.0177209,776.28,622.6469999999999,18.327,15.0652,0.20433099999999998
KRT6B,86.6584,47.1176,231.8,23.0478,38.2187,0.49202299999999993,46.1464,180.32,7.05858,7.645910000000001,5.81661
KYNU,14.7879,5.72783,21.980999999999998,3.3467599999999997,23.7754,11.6398,34.9034,2.55798,97.4717,1.53855,18.9737
LBP,0.573258,1.98815,2.2198900000000004,1.8779,0.52182,3.66205,6.07525,0.29639099999999996,18.7281,0.9388620000000001,0.0
LHFP,2.0952,0.48752700000000004,1.74013,0.5028779999999999,0.965126,2.28782,0.42182200000000003,0.0228533,2.08498,1.08578,0.545114
MFAP4,1.60954,2.20211,7.002680000000001,0.451396,8.52027,3.2746299999999997,1.8283599999999998,0.11254700000000001,6.34898,3.12375,9.67575
MIA,21.0747,100.141,91.9118,0.9413440000000001,5.36339,0.59864,0.0,10.8148,2.07213,10.0155,0.555214
MID1,36.2366,29.3436,38.3648,7.90995,19.5958,14.9831,26.0626,14.8445,11.1729,37.5389,34.3051
MYBL1,4.603619999999999,39.9538,14.6385,74.6586,34.5411,13.5443,4.37374,4.13731,4.7565,21.0121,12.7205
NEK2,17.1321,17.8017,9.50352,41.9777,35.7282,10.8591,6.4425300000000005,30.6035,4.376930000000001,23.5503,10.7269
NTN3,0.023557599999999998,0.0,0.0290064,0.0,0.0,0.0,0.0,0.0,0.016492700000000002,0.0,0.0
OGN,1.27872,16.5448,8.20645,2.70269,9.560789999999999,8.2237,30.8342,36.5507,17.1544,347.38199999999995,24.6987
PI3,0.0,11.2038,1.08444,1.9945599999999999,14.1712,0.271929,24.7948,15.133,2.95712,1.1001299999999998,0.252274
PLEKHB1,14.583,4.0029699999999995,5.81267,0.203369,1.27312,0.557688,0.0,0.380533,0.291418,2.79989,8.37067
PMAIP1,1.6239299999999999,8.2696,1.60111,12.390999999999998,13.1758,0.719421,0.0,10.6012,0.701642,1.1564299999999998,0.451036
PSMB9,0.0,8.1736,9.59711,0.0,0.0,21.4879,22.5962,40.9199,0.0,12.0092,22.3417
PTGDS,1.49063,0.36189299999999996,8.94655,1.11693,4.56134,0.75678,9.09855,1.7738599999999998,14.6355,2.60818,13.792
RARRES3,10.7933,11.6381,5.33786,6.2457,5.6112,169.065,32.007,40.4701,22.884,3.96567,33.844
RTP4,0.772275,0.418178,0.359175,1.01529,3.38501,5.00847,1.8151,4.15161,1.14486,2.66109,1.43055
