gene_short_name,V515-06187-A1,TNT-259,TNT-271,17-00132-8_S16Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-269,17-00157-0_S11Aligned_cufflinks,TNT-26,TNT-65,TNT-30,TNT-92
ABCA8,1.07397,7.3788,19.3019,19.4248,5.2732,9.26357,14.9899,4.23117,9.975389999999999,3.5160400000000003,32.1067
ADRA2A,0.196819,0.062241399999999995,0.10425,3.61611,0.0,0.0965076,0.9286280000000001,0.999606,0.0,0.202828,0.187864
AKAP12,3.7524300000000004,10.4078,9.75869,5.52166,1.2662,11.6325,11.8446,16.1452,3.85601,9.44357,5.51587
ALDH3B2,34.613,2.39888,0.048503899999999996,6.775060000000001,3.25937,1.61673,2.39375,2.6644200000000002,1.98891,10.5998,8.09628
APOD,101.54799999999999,16.1725,18.8019,40.374,81.4037,17.7364,50.4508,23.2556,88.1029,78.6344,227.12400000000002
ART3,19.2103,2.83927,8.40444,0.0,34.0727,33.2699,0.291602,11.4363,4.04652,2.3747,1.03436
ASPN,31.1651,59.7246,13.9833,33.8587,0.0,31.201,27.6337,99.8197,110.46799999999999,73.809,108.54700000000001
AZGP1,64.9749,0.0,22.8252,12.8789,195.738,58.5012,3.87216,8.42855,93.0043,43.5564,23.496
BLVRB,6.57613,1.7791299999999999,2.31812,10.2189,0.0,0.8968360000000001,4.4324900000000005,1.8821400000000001,5.949330000000001,4.9334,2.3271
C7,0.29143,1.07913,16.2719,12.4255,0.0,6.178380000000001,5.99394,1.5576299999999998,2.48137,0.511494,5.15895
CCL5,1.03708,24.4902,5.6622,0.0,0.0,3.93235,0.0,0.328596,4.2336800000000006,4.70011,5.3861
CD36,36.5005,36.2403,17.8922,32.1853,0.0,33.2638,149.636,27.8522,140.793,15.5684,13.668
CD52,5.15236,178.9,56.5306,20.3585,0.0,24.7288,2.70915,2.72588,17.9,11.0281,51.077
CDC20,19.1111,10.0606,15.4698,0.805591,19.4809,10.3008,14.3517,14.2065,10.3176,5.88238,2.62069
CHI3L1,52.4824,17.9288,2.46457,4.97049,3.8606199999999995,22.9312,45.5875,20.8098,0.527097,52.7601,93.8031
COL2A1,124.822,0.0,2.82534,0.0,9.34079,3.86954,114.78299999999999,105.473,0.146536,0.0929615,0.14571900000000002
COL5A1,145.37,40.4405,17.2159,187.40400000000002,74.985,91.8004,174.977,269.70099999999996,87.8912,179.37900000000002,32.6411
COL5A2,202.313,44.153999999999996,18.8124,187.753,26.139,109.73200000000001,163.721,409.89,111.348,246.265,57.8362
CRAT,3.09639,4.1209,3.4731,27.5127,0.737631,4.34124,4.3305,3.7270300000000005,0.619898,4.45403,5.01356
CROT,17.2031,13.6541,12.1045,9.844560000000001,21.1361,6.66257,4.56994,5.29179,9.344610000000001,9.49973,13.2484
CXCL10,2.29941,384.48400000000004,37.9725,5.4040300000000006,14.1618,41.6064,2.0649,4.175669999999999,35.4013,24.6676,60.784
CXCL11,0.642556,110.538,13.7021,0.0,0.0,5.55652,0.506209,0.0,3.02595,2.20598,3.28281
CXCL13,0.0413495,627.493,40.998000000000005,3.3446800000000003,0.0,13.0681,4.07947,1.4694,0.0,7.550910000000001,10.8363
CYP4F8,0.048019099999999995,0.18496500000000002,3.5366800000000005,16.5797,0.0,0.585101,0.0,0.0,0.00128774,0.0,0.0470314
DBI,412.371,102.259,128.253,22.3556,94.0731,128.767,133.718,99.8671,415.849,185.61,62.0434
DEFB1,3.16262,1.4857,3.92841,0.0,0.0,1.8986299999999998,1.31565,0.0,0.0,3.46823,6.211
DHCR24,38.1374,27.5106,7.864560000000001,1.5266,9.27006,26.682,36.7396,15.2315,52.2747,21.093000000000004,18.6696
DUSP5,2.6614299999999997,0.760338,3.62355,8.864889999999999,2.0363,9.342319999999999,7.80812,4.38127,2.33399,5.77455,7.785639999999999
FABP7,2.25652,9.448089999999999,5.5578199999999995,0.569974,4.2431,1.82876,19.8938,1.1090200000000001,2.0540000000000003,4.77493,15.3098
FASN,124.609,1.18795,6.34887,129.708,36.2518,3.1549400000000003,77.9457,5.82045,10.7493,33.5896,3.44193
FGFR4,2.32432,0.335385,2.49633,0.0,0.755862,0.270629,0.9193459999999999,0.560783,0.0,2.3529,0.5438390000000001
FGL2,2.48121,6.70472,6.751810000000001,3.5266599999999997,0.059887300000000004,7.5293600000000005,4.94528,1.5139799999999999,6.2819400000000005,3.95632,13.8813
FOXA1,1.38574,0.319283,4.95611,6.5881,5.49379,1.54293,2.59678,0.36304200000000003,37.9063,0.279061,4.61343
FOXC1,9.10755,3.57756,67.9424,4.69982,26.7646,19.7763,22.169,62.2426,1.83015,28.9814,15.6674
GABRP,8.66089,740.4110000000001,86.5647,12.2303,223.362,834.3860000000001,12.7787,138.871,0.0,193.312,1884.93
GALNT7,12.4003,9.15928,16.9407,14.665999999999999,27.8541,18.4089,16.9598,19.6479,28.8918,6.88271,28.7253
GBP1,41.394,218.737,131.35,191.46099999999998,162.607,201.665,33.4805,54.4518,22.5078,178.53099999999998,144.004
GCHFR,0.42253100000000005,0.0,0.113979,0.0,0.857477,0.0,0.333965,0.1355,0.0,0.153757,0.154028
GPR87,0.9514879999999999,7.69994,3.4406199999999996,0.0,3.83835,1.8530900000000001,0.58282,0.8265629999999999,1.341,0.514935,1.65936
GZMB,1.4986,32.7245,7.384860000000001,8.95933,0.0,3.4740900000000003,4.43361,0.11918800000000002,0.0,1.30313,12.6172
HGD,4.21735,5.68914,29.4843,2.49273,27.7859,2.32145,5.07111,0.244245,34.0338,0.539208,2.84976
HTRA1,91.2943,40.9797,12.6539,105.08,2.7259,76.2697,120.1,169.942,51.2842,72.8846,40.4089
IDO1,0.29142399999999996,56.6019,23.1689,5.1959,0.0,7.54905,0.7165699999999999,0.879626,4.34486,6.2950099999999996,3.5528699999999995
IGFBP4,13.3498,0.43888299999999997,0.158976,34.9053,8.38525,0.457959,25.3081,1.3705399999999999,1.04424,6.21226,2.38984
IGHM,55.218999999999994,136.843,56.023,0.0,117.986,44.5514,37.0321,3.04095,8.82801,25.1123,68.2459
IGJ,20.0186,120.395,155.781,113.281,38.8323,195.93099999999998,39.9957,21.932,44.1014,71.54,224.46200000000002
