gene_short_name,V515-06187-A1,TNT-218,17-00174-6_S15Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-24,TNT-195,17-00100-2_S17Aligned_cufflinks,17-00112-1_S7_cufflinks,TNT-272,TNT-83,TNT-211
ABCA8,1.07397,0.23111700000000002,1.7572400000000001,0.809124,4.7176,30.7235,2.66909,0.0,4.83654,5.2367099999999995,61.2901
ADRA2A,0.196819,1.2081600000000001,0.124234,0.07267710000000001,0.167515,0.22465,0.798061,0.40375500000000003,0.0985654,0.048419699999999996,0.395498
AKAP12,3.7524300000000004,2.32421,3.4236699999999995,0.951425,3.76727,21.7435,2.76503,1.65867,5.09248,10.1537,10.4024
ALDH3B2,34.613,16.6609,14.6796,19.1452,0.891775,1.14113,8.7501,5.14396,9.05696,11.9552,1.13534
APOD,101.54799999999999,3.9072,20.8128,10.9531,95.7435,604.388,62.3337,1.08372,49.2309,45.576,44.836000000000006
ART3,19.2103,42.4891,9.87219,0.422378,20.4122,9.550980000000001,1.8053599999999999,24.2354,2.09522,1.52685,8.18542
ASPN,31.1651,8.27807,4.02062,3.69349,29.0862,55.6316,28.774,10.7154,20.8546,19.273,6.6100699999999994
AZGP1,64.9749,17.1262,130.35299999999998,85.8713,54.919,268.497,6.16124,4.528980000000001,12.4713,89.7751,115.596
BLVRB,6.57613,1.33646,6.01812,3.8142199999999997,5.6340699999999995,4.4294,1.9429400000000001,5.08205,2.17826,6.63001,2.0169
C7,0.29143,14.321,4.77522,0.026338599999999997,3.5287800000000002,32.9843,1.22548,0.24694699999999997,4.18377,1.0988,68.3765
CCL5,1.03708,2.72617,3.0319599999999998,1.59721,34.721,35.4418,10.7786,5.41056,2.47439,8.35195,5.11297
CD36,36.5005,5.77646,93.6689,30.0312,13.4455,82.4024,9.62158,4.14895,32.304,764.051,9.93661
CD52,5.15236,124.915,12.6645,2.29825,55.9095,161.817,8.39226,9.67866,23.3953,28.8448,147.344
CDC20,19.1111,6.84373,11.3567,48.5456,27.8803,6.47849,16.0755,28.2348,9.27132,6.66027,1.34979
CHI3L1,52.4824,50.4066,205.727,0.326855,31.8305,23.4869,6.07407,38.8357,32.4326,3.39355,1.69353
COL2A1,124.822,0.31563800000000003,0.0402543,0.014987299999999999,111.17399999999999,2.00073,1.0013,6.8563600000000005,0.0828534,0.13314700000000002,0.726554
COL5A1,145.37,11.295,116.103,70.9135,80.0339,144.053,75.7083,33.8627,51.0628,51.9884,11.6013
COL5A2,202.313,6.21086,95.3652,19.6112,150.156,131.694,115.303,43.6341,69.0274,109.75200000000001,8.718119999999999
CRAT,3.09639,0.5931930000000001,5.54589,16.3546,8.24192,8.42276,1.6138700000000001,6.986669999999999,1.55397,9.24005,2.71205
CROT,17.2031,12.5985,18.127,21.1097,3.4378800000000003,21.0095,12.8803,2.18058,7.78673,16.4538,55.7176
CXCL10,2.29941,39.2311,3.53341,5.9346,216.143,96.1112,33.681,6.5941399999999994,24.671999999999997,54.7547,26.1821
CXCL11,0.642556,3.00026,0.9549559999999999,1.10673,61.4537,15.4312,13.7347,2.5440099999999997,3.9501199999999996,29.7078,0.0
CXCL13,0.0413495,63.1377,1.16539,4.2982,102.936,37.6107,12.9616,2.94027,5.80509,20.3493,8.82121
CYP4F8,0.048019099999999995,2.6428700000000003,1.4973,3.67657,0.444958,0.439154,0.0,0.0,0.0274281,9.35929,0.0
DBI,412.371,52.9657,69.2038,114.67399999999999,169.278,141.929,82.3534,126.042,138.503,121.336,90.8411
DEFB1,3.16262,0.263783,7.12312,12.7599,2.59478,2.00535,2.1062,0.655946,15.2837,0.0,0.0
DHCR24,38.1374,24.8616,82.1604,140.125,37.4488,15.8205,60.8572,17.7634,24.5306,75.9645,0.45603599999999994
DUSP5,2.6614299999999997,2.54009,2.09469,5.98185,10.3833,4.06994,2.8738,2.17358,3.1821200000000003,14.2512,2.08853
FABP7,2.25652,0.101355,0.0,0.0,0.489068,3.66641,10.515999999999998,1.26749,7.265910000000001,0.405342,0.0475985
FASN,124.609,3.9148099999999997,92.0659,264.185,41.3008,3.79399,77.1645,61.5871,8.138639999999999,155.987,7.09244
FGFR4,2.32432,1.14783,0.5663100000000001,37.3663,2.47027,1.3025,1.22252,0.9355020000000001,0.174625,16.3501,0.0
FGL2,2.48121,6.97558,2.7137700000000002,0.907804,8.67615,13.2934,8.12208,3.1489599999999998,3.3796800000000005,5.12706,29.2128
FOXA1,1.38574,0.06618439999999999,3.41172,143.36,1.60243,11.4149,0.46939899999999996,0.139388,1.46699,121.24600000000001,0.0259267
FOXC1,9.10755,33.0458,29.4622,3.12932,88.3583,27.8721,88.3177,90.645,33.4799,0.746015,42.6333
GABRP,8.66089,1786.59,1.23011,22.4545,896.727,255.80599999999998,227.37099999999998,22.9519,664.5930000000001,1.4016,174.106
GALNT7,12.4003,15.9673,11.8491,59.9791,24.1949,18.406,18.5846,7.13278,16.4421,25.489,26.8887
GBP1,41.394,121.512,135.247,23.1936,317.85,180.14700000000002,194.71900000000002,60.3429,155.75799999999998,140.442,61.8333
GCHFR,0.42253100000000005,0.0,1.3619,0.606169,0.28047300000000003,0.0,0.19724,0.129631,0.377754,0.275027,0.0
GPR87,0.9514879999999999,1.34816,4.33496,0.0,4.14233,0.499684,0.9885799999999999,0.195888,2.1381900000000003,0.16356099999999998,0.0
GZMB,1.4986,6.5088,1.8939700000000002,2.22425,18.8047,14.8104,8.62832,6.01382,2.63024,1.84185,2.34563
HGD,4.21735,0.947161,9.092410000000001,12.1696,3.29947,0.884692,0.449058,5.72912,0.707048,1.96698,0.0
HTRA1,91.2943,6.942660000000001,38.6136,10.2802,59.9396,145.91299999999998,55.8889,21.3345,34.512,89.2542,5.43417
IDO1,0.29142399999999996,7.720560000000001,21.1778,2.11836,44.933,28.6191,48.9137,1.5041,4.83116,13.1393,38.5196
IGFBP4,13.3498,0.257484,18.0548,2.56719,5.12951,7.54149,18.1202,6.50565,1.16592,1.48589,0.972145
IGHM,55.218999999999994,115.053,13.6533,19.4641,187.014,1091.9,0.0,0.0,17.8612,842.693,64.7857
IGJ,20.0186,103.21799999999999,20.4514,4.32342,472.398,373.709,238.87599999999998,250.085,87.5275,829.929,182.497
IGKC,182.34599999999998,1657.02,533.576,62.7069,11973.6,10105.0,6672.11,11629.5,1785.49,11160.5,664.077
IL23A,0.049007300000000004,0.9967530000000001,0.29478899999999997,0.0,0.229037,0.0,0.209331,0.0,0.22579000000000002,0.265761,0.0
IL33,0.8833290000000001,3.07428,2.28455,0.40103,1.20917,7.684819999999999,0.665625,0.0231033,3.8106,0.47543199999999997,3.07225
INPP4B,37.1722,6.77033,19.0709,21.6831,13.4709,45.4741,10.2353,7.44908,7.693789999999999,16.3814,29.2064
ITM2A,5.13433,21.6812,5.51003,2.56933,17.2039,29.3389,8.71832,5.6897400000000005,2.5224900000000003,15.1301,33.4304
JAM2,11.2143,1.74953,5.43396,0.444035,5.36198,18.4024,8.92198,1.4882600000000001,2.1981,4.95407,16.7301
KCNK5,7.320460000000001,0.897033,3.3860300000000003,0.149882,3.72339,0.025733199999999998,0.700376,5.90846,1.87473,0.599162,1.87083
KIAA1324,6.46799,23.9853,7.0919300000000005,89.5923,15.5619,8.69715,8.7735,45.812,5.59984,40.056999999999995,25.574
KMO,1.44589,13.1631,1.93187,33.754,5.29445,17.7686,6.65857,5.09386,6.06652,4.60907,0.175948
KRT14,118.37100000000001,3.41339,708.6610000000001,0.980966,11.775,11.6825,1582.72,148.933,4.912640000000001,3.08023,49.2563
KRT16,91.0343,24.6943,2146.49,9.40847,156.186,5.14653,577.869,106.581,126.281,1.0609899999999999,2.0638
KRT17,105.34700000000001,84.8878,1735.05,60.619,237.929,44.1026,905.3480000000001,1.45916,447.583,5.62649,11.2516
KRT6A,54.2242,136.69799999999998,3704.04,2.72352,12.9195,7.37833,1570.27,2.22255,215.078,0.0177209,5.8905
KRT6B,86.6584,47.0151,1377.33,1.0345600000000001,75.9562,22.689,239.09799999999998,6.2199,228.079,0.49202299999999993,0.268239
KYNU,14.7879,9.0285,23.7252,71.5981,11.8771,7.339639999999999,26.6823,2.99107,17.0448,11.6398,0.293491
LBP,0.573258,0.642543,17.4641,0.830781,0.11400199999999999,0.0,0.8672129999999999,0.15826099999999999,3.33742,3.66205,0.0236002
LHFP,2.0952,0.639737,1.14329,0.411592,1.22997,0.234188,1.0104,1.0540200000000002,0.78988,2.28782,0.43799399999999994
MFAP4,1.60954,2.82112,0.5912029999999999,0.410963,4.47361,10.6199,1.15642,0.217392,3.6858400000000002,3.2746299999999997,2.02946
MIA,21.0747,26.1396,4.79669,0.0,9.454410000000001,0.558431,2.57247,13.1502,16.5155,0.59864,10.3593
MID1,36.2366,13.0964,30.2772,24.8579,24.9344,16.7236,19.8566,33.329,35.9257,14.9831,1.7213900000000002
MYBL1,4.603619999999999,7.97081,7.91887,1.8149,50.6087,57.5484,7.9371100000000006,24.2743,8.01273,13.5443,8.68051
NEK2,17.1321,5.3237,6.29062,27.4882,7.708189999999999,22.1877,13.3532,15.7279,14.4268,10.8591,0.0248886
NTN3,0.023557599999999998,0.0487584,0.0,0.0585428,0.0,0.0,0.0,0.06245459999999999,0.0,0.0,0.0
OGN,1.27872,10.2367,0.432418,0.0757681,7.165780000000001,40.6724,1.71931,2.06137,4.638330000000001,8.2237,27.8165
PI3,0.0,25.1613,224.86,0.0,0.310929,0.19831500000000002,35.6836,0.38461599999999996,1.75987,0.271929,0.372091
PLEKHB1,14.583,2.25284,0.316141,0.903185,3.86976,0.389207,0.354532,1.02114,4.17103,0.557688,0.0457857
PMAIP1,1.6239299999999999,1.89773,4.270630000000001,0.161,2.36075,2.54785,5.2159,0.170902,6.874969999999999,0.719421,0.0
PSMB9,0.0,22.0108,0.0,0.0,49.1147,22.4078,0.0,10.1796,9.40904,21.4879,11.3307
PTGDS,1.49063,3.1605,11.0692,0.64403,2.5061,17.0388,1.79285,0.737796,0.752749,0.75678,13.5679
RARRES3,10.7933,48.2855,17.8571,49.0465,45.1789,39.2069,33.1648,12.5541,20.9999,169.065,15.4604
RTP4,0.772275,4.38933,1.8754099999999998,0.152572,8.94065,2.39704,1.6506900000000002,0.44722,0.749472,5.00847,0.0
S100A1,196.638,2.1712599999999997,33.4893,0.9346110000000001,88.1761,8.99812,9.94192,188.155,6.65775,4.87729,18.989
S100A7,6.579160000000001,6.70688,854.8889999999999,2.94811,4.37861,10.7501,171.572,0.0,239.183,0.174539,19.6219
S100A8,3.4999599999999997,5.3621300000000005,589.559,9.1996,6.0969,16.3063,37.7124,0.0,259.716,1.39343,1.99659
SCRG1,23.221999999999998,2.0477,0.046442000000000004,0.0,8.62836,5.83464,0.020760900000000002,0.7337100000000001,1.5624,0.28728899999999996,6.41476
SEMA3C,89.189,54.7683,30.0744,17.3161,11.163,37.1668,52.284,11.1491,33.857,15.3978,3.79178
SERHL2,5.02658,0.398353,16.4697,16.2918,1.56208,1.57418,1.62858,33.4034,2.1636900000000003,142.226,0.0659862
