gene_short_name,V515-06187-A1,17-00166-3_S11Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-85,17-00121-8_S12_cufflinks,TNT-14,TNT-94,TNT-65,TNT-300,TNT-269,TNT-71
ABCA8,1.07397,0.8668450000000001,2.1075,13.9148,43.7288,1.6867900000000002,2.8494900000000003,9.975389999999999,2.02342,9.26357,12.9025
ADRA2A,0.196819,0.32516300000000004,0.13051500000000002,0.126968,1.4831299999999998,0.10451700000000001,0.0,0.0,0.019426099999999998,0.0965076,0.12659700000000002
AKAP12,3.7524300000000004,3.7136400000000003,1.87044,9.65515,26.8543,2.1604400000000004,20.2867,3.85601,1.30359,11.6325,3.09258
ALDH3B2,34.613,3.38865,8.43554,3.0914200000000003,14.3473,5.56607,22.8759,1.98891,11.2568,1.61673,24.6302
APOD,101.54799999999999,35.2126,0.669381,880.669,574.763,10.9277,147.095,88.1029,4.160830000000001,17.7364,769.0139999999999
ART3,19.2103,98.6914,4.5019599999999995,23.9716,0.115521,31.6725,22.2765,4.04652,547.518,33.2699,47.9684
ASPN,31.1651,41.3579,10.6442,34.7116,30.3876,9.50099,57.3841,110.46799999999999,11.5862,31.201,21.4233
AZGP1,64.9749,376.11699999999996,33.7457,35.7304,177.34599999999998,31.8473,70.096,93.0043,175.447,58.5012,39.1429
BLVRB,6.57613,3.4410800000000004,3.99175,1.67536,5.304819999999999,7.24225,1.2002899999999999,5.949330000000001,0.0,0.8968360000000001,2.8226
C7,0.29143,0.843649,2.0205599999999997,2.5042,23.1979,0.419171,0.887843,2.48137,0.34566199999999997,6.178380000000001,0.8062819999999999
CCL5,1.03708,4.18384,0.0,8.38996,0.0,6.555389999999999,4.1359900000000005,4.2336800000000006,3.9392199999999997,3.93235,7.98503
CD36,36.5005,4.51973,29.5541,17.1364,104.969,19.3488,22.7489,140.793,11.0441,33.2638,18.241
CD52,5.15236,5.31024,10.8883,20.4057,9.90376,20.7734,0.0,17.9,21.7633,24.7288,27.5781
CDC20,19.1111,11.8555,35.847,9.41933,0.207432,23.4345,6.503340000000001,10.3176,26.3353,10.3008,7.511880000000001
CHI3L1,52.4824,6.08895,14.2367,13.6008,9.01373,14.9398,2.53769,0.527097,65.2282,22.9312,304.561
COL2A1,124.822,0.927259,0.21441,98.027,1.51601,0.8622049999999999,6.00303,0.146536,0.035179699999999994,3.86954,0.165655
COL5A1,145.37,124.721,99.7165,45.6382,34.9603,30.3356,28.5161,87.8912,35.0878,91.8004,30.2796
COL5A2,202.313,174.918,49.6067,129.77,40.3863,32.3981,26.9307,111.348,51.2796,109.73200000000001,70.6025
CRAT,3.09639,5.89456,8.16269,2.57163,4.42961,12.9929,8.31426,0.619898,1.56885,4.34124,6.561939999999999
CROT,17.2031,7.40678,4.92995,12.7296,20.8255,3.9923599999999997,7.724880000000001,9.344610000000001,8.746210000000001,6.66257,5.04884
CXCL10,2.29941,28.1471,14.6049,11.7658,6.51344,29.3048,20.6893,35.4013,153.815,41.6064,219.018
CXCL11,0.642556,12.1489,2.5685700000000002,2.7381599999999997,5.3034099999999995,6.51251,4.12924,3.02595,16.6523,5.55652,11.3213
CXCL13,0.0413495,3.38269,3.01473,4.71574,0.26274000000000003,7.50828,0.0,0.0,23.0488,13.0681,29.1612
CYP4F8,0.048019099999999995,0.0,0.234377,0.0,0.71787,0.0,0.0,0.00128774,0.119626,0.585101,0.0
DBI,412.371,46.0439,170.882,133.489,94.8186,145.792,186.812,415.849,118.947,128.767,162.036
DEFB1,3.16262,0.498385,0.0,0.38140999999999997,1.3957899999999999,2.8024400000000003,0.0,0.0,17.0221,1.8986299999999998,34.9808
DHCR24,38.1374,26.1331,44.06100000000001,4.28671,39.1465,86.3851,5.51588,52.2747,98.1209,26.682,41.8574
DUSP5,2.6614299999999997,2.81645,3.6152800000000003,2.37387,11.8711,6.16071,11.9441,2.33399,4.9109,9.342319999999999,3.61122
FABP7,2.25652,0.40384200000000003,0.060764,6.33376,2.92749,1.2532,234.22099999999998,2.0540000000000003,0.577967,1.82876,0.7407279999999999
FASN,124.609,45.6413,57.3003,4.8539699999999995,36.53,69.7638,12.7001,10.7493,30.4868,3.1549400000000003,7.28892
FGFR4,2.32432,1.8959099999999998,2.04738,0.210286,0.8715860000000001,0.547024,0.0,0.0,2.06335,0.270629,0.162787
FGL2,2.48121,5.5827599999999995,2.54605,2.7094,12.79,3.2164200000000003,4.0132900000000005,6.2819400000000005,5.92215,7.5293600000000005,4.60607
FOXA1,1.38574,3.05573,0.09799169999999999,0.0,58.3932,0.205656,52.9129,37.9063,3.2480700000000002,1.54293,5.15771
FOXC1,9.10755,70.048,65.4708,79.8081,19.229,32.1182,8.84632,1.83015,25.3759,19.7763,27.0297
GABRP,8.66089,457.05400000000003,7.864789999999999,1053.74,89.7943,841.158,392.793,0.0,1312.73,834.3860000000001,664.1030000000001
GALNT7,12.4003,38.6016,7.85755,38.9402,23.2172,7.97859,59.2443,28.8918,28.9779,18.4089,30.12
GBP1,41.394,191.847,84.0119,94.8531,148.097,144.463,17.1528,22.5078,381.344,201.665,69.4365
GCHFR,0.42253100000000005,0.525515,0.42294,0.0,0.19197,0.0,0.0,0.0,0.0,0.0,0.0
GPR87,0.9514879999999999,8.13279,0.0,0.274371,1.04821,0.9581959999999999,3.5010000000000003,1.341,1.8344,1.8530900000000001,1.21789
GZMB,1.4986,0.8774620000000001,1.86027,0.156752,0.501315,2.58473,0.0,0.0,2.3361099999999997,3.4740900000000003,4.58183
HGD,4.21735,2.14065,0.17512,0.344177,6.06733,0.5958399999999999,0.0,34.0338,2.68364,2.32145,4.08314
HTRA1,91.2943,76.5058,44.1674,26.8807,107.586,16.6235,4.2443800000000005,51.2842,15.2161,76.2697,21.8461
IDO1,0.29142399999999996,10.7333,4.31044,1.2597200000000002,1.6029,5.88304,0.0,4.34486,58.7348,7.54905,4.2683
IGFBP4,13.3498,9.77887,7.9226399999999995,1.20676,40.6251,2.86242,1.46345,1.04424,0.976242,0.457959,2.86954
IGHM,55.218999999999994,189.21,0.0,15.7823,0.0,144.626,5.60384,8.82801,81.722,44.5514,232.99900000000002
IGJ,20.0186,121.97,23.1658,28.9327,1857.11,39.4167,0.571862,44.1014,477.129,195.93099999999998,506.164
IGKC,182.34599999999998,2977.05,5865.29,544.65,5230.68,9184.18,84.4972,138.829,3901.31,5166.69,2492.68
IL23A,0.049007300000000004,0.123057,0.0,0.0,0.0,0.0,0.0,0.0,0.0811747,0.0,0.520363
IL33,0.8833290000000001,0.48503500000000005,0.470318,2.95705,15.1477,0.45888599999999996,0.0,0.0,0.46980500000000003,1.73481,3.52311
INPP4B,37.1722,10.4929,25.3966,12.045,42.4202,12.2175,29.8417,7.392710000000001,13.55,9.697569999999999,8.29696
ITM2A,5.13433,6.25922,5.86859,13.6575,109.881,4.7240400000000005,0.0,1.16608,11.405999999999999,9.52181,17.6113
JAM2,11.2143,2.39053,2.99247,16.8022,43.4717,2.3709700000000002,0.0,3.3337,1.8518599999999998,9.30236,6.04114
