gene_short_name,V515-06187-A1,17-00107-9_S10Aligned_cufflinks,TNT-56,17-00100-2_S17Aligned_cufflinks,TNT-26,TNT-50,TNT-214,TNT-30,17-00104-2_S7Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-270
ABCA8,1.07397,54.7654,53.5647,2.66909,4.23117,6.27059,6.30619,3.5160400000000003,7.99826,15.2433,7.25541
ADRA2A,0.196819,2.2659,0.818513,0.798061,0.999606,0.613286,0.5343899999999999,0.202828,0.145057,1.61281,0.416253
AKAP12,3.7524300000000004,17.232,7.0299,2.76503,16.1452,15.7193,6.27307,9.44357,0.6447689999999999,20.4997,6.02093
ALDH3B2,34.613,1.86159,2.74039,8.7501,2.6644200000000002,19.4221,5.43093,10.5998,28.0666,2.3132599999999996,97.5075
APOD,101.54799999999999,39.7176,3331.85,62.3337,23.2556,34.8661,78.8272,78.6344,6.770160000000001,82.3389,7752.41
ART3,19.2103,0.0,4.69583,1.8053599999999999,11.4363,0.6718649999999999,92.4518,2.3747,6.09762,0.37242600000000003,0.27854
ASPN,31.1651,238.97400000000002,27.5234,28.774,99.8197,72.6274,5.46924,73.809,3.6449199999999995,41.4929,10.0964
AZGP1,64.9749,22.0611,112.811,6.16124,8.42855,94.0011,603.7869999999999,43.5564,56.5053,5.05436,693.581
BLVRB,6.57613,3.8647,1.36521,1.9429400000000001,1.8821400000000001,4.2330000000000005,2.09444,4.9334,1.03463,2.24939,2.58756
C7,0.29143,2.4199599999999997,9.02806,1.22548,1.5576299999999998,5.63905,19.8767,0.511494,0.923272,18.676,8.16232
CCL5,1.03708,0.0,15.388,10.7786,0.328596,2.46692,9.4678,4.70011,0.26264,5.25453,1.34774
CD36,36.5005,34.8926,1102.89,9.62158,27.8522,17.4704,20.8269,15.5684,96.9286,26.3072,26.5814
CD52,5.15236,30.9282,120.281,8.39226,2.72588,26.2153,80.1085,11.0281,0.315542,2.1478599999999997,16.3111
CDC20,19.1111,5.44464,15.8234,16.0755,14.2065,6.633089999999999,33.0613,5.88238,15.73,2.38084,4.4109300000000005
CHI3L1,52.4824,9.49815,2.97668,6.07407,20.8098,23.1543,1.5293,52.7601,3.18682,4.30004,1.0985
COL2A1,124.822,0.12629100000000001,0.0649235,1.0013,105.473,0.7584,0.0,0.0929615,0.0598273,0.613052,0.101651
COL5A1,145.37,413.834,56.8638,75.7083,269.70099999999996,129.285,23.8546,179.37900000000002,12.4204,145.623,51.6893
COL5A2,202.313,461.219,67.1142,115.303,409.89,232.429,19.3943,246.265,14.4705,236.74099999999999,47.358999999999995
CRAT,3.09639,25.2676,1.48946,1.6138700000000001,3.7270300000000005,9.18802,0.567394,4.45403,12.0212,10.8298,11.3929
CROT,17.2031,6.63046,24.9742,12.8803,5.29179,5.88813,12.2198,9.49973,20.2671,13.6305,103.521
CXCL10,2.29941,2.41063,383.87300000000005,33.681,4.175669999999999,15.6837,45.9677,24.6676,0.414279,3.5350699999999997,2.65309
CXCL11,0.642556,0.0,91.8946,13.7347,0.0,1.4391100000000001,17.160999999999998,2.20598,0.07331030000000001,1.68925,1.01607
CXCL13,0.0413495,10.4913,24.9641,12.9616,1.4694,5.55664,24.9894,7.550910000000001,0.20138,1.16042,36.615
CYP4F8,0.048019099999999995,0.0,0.0,0.0,0.0,0.31056500000000004,0.0,0.0,0.0,0.0,3.49045
DBI,412.371,99.9534,601.0269999999999,82.3534,99.8671,139.829,624.36,185.61,51.5305,24.5286,770.5239999999999
DEFB1,3.16262,0.0,7.80312,2.1062,0.0,10.9841,0.0,3.46823,6.7465399999999995,0.0,2.29778
DHCR24,38.1374,10.5088,14.4239,60.8572,15.2315,61.7799,7.07305,21.093000000000004,67.6527,10.2971,58.1848
DUSP5,2.6614299999999997,14.5782,8.5035,2.8738,4.38127,4.47715,0.619154,5.77455,2.25617,7.9805600000000005,9.28277
FABP7,2.25652,0.0,0.131606,10.515999999999998,1.1090200000000001,0.0,2.13492,4.77493,16.3438,0.132922,61.6315
FASN,124.609,45.8677,1.08924,77.1645,5.82045,57.4616,1.35786,33.5896,49.9543,33.3583,24.5049
FGFR4,2.32432,1.6992900000000002,0.0,1.22252,0.560783,1.32382,0.29037199999999996,2.3529,0.516594,6.27721,0.399559
FGL2,2.48121,12.1398,10.4282,8.12208,1.5139799999999999,5.51389,7.35359,3.95632,0.393938,1.65977,3.01475
FOXA1,1.38574,22.1995,94.0994,0.46939899999999996,0.36304200000000003,1.90232,5.57404,0.279061,7.66108,2.09953,166.612
FOXC1,9.10755,9.456539999999999,3.08754,88.3177,62.2426,39.9886,48.272,28.9814,21.055999999999997,8.20116,1.0739
GABRP,8.66089,16.6435,24.0058,227.37099999999998,138.871,23.6083,124.557,193.312,26.6801,25.1786,1.19229
