gene_short_name,V515-06187-A1,TNT-194,TNT-8,TNT-33,17-00118-2_S5Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-183,TNT-26,17-00258-5_S5Aligned_cufflinks,17-00243-6_S9Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks
ABCA8,1.07397,13.5865,21.1353,42.1504,24.4092,0.7198220000000001,3.81267,4.23117,6.53624,39.5772,0.809124
ADRA2A,0.196819,0.308895,0.39815700000000004,0.7035100000000001,3.19406,0.203424,0.0692467,0.999606,0.656837,2.18221,0.07267710000000001
AKAP12,3.7524300000000004,10.3491,2.99765,6.5784,14.0568,1.14141,8.8469,16.1452,3.78971,18.6305,0.951425
ALDH3B2,34.613,2.39483,2.43056,19.4297,3.2972599999999996,5.40626,38.4582,2.6644200000000002,0.884181,6.116709999999999,19.1452
APOD,101.54799999999999,20.1919,223.767,462.319,185.233,10.1478,180.386,23.2556,70.1232,222.14700000000002,10.9531
ART3,19.2103,91.6903,117.309,29.9479,0.0,5.258319999999999,0.0,11.4363,93.7437,0.6155229999999999,0.422378
ASPN,31.1651,138.753,38.9421,23.2841,16.7672,21.9529,31.8742,99.8197,3.7960000000000003,114.85700000000001,3.69349
AZGP1,64.9749,56.8318,95.0087,146.048,72.8132,45.7678,358.98699999999997,8.42855,121.947,63.7556,85.8713
BLVRB,6.57613,2.5283599999999997,1.6915200000000001,3.32387,1.8396400000000002,3.17095,6.526619999999999,1.8821400000000001,2.68466,4.7669999999999995,3.8142199999999997
C7,0.29143,2.26536,0.131227,16.7384,24.8705,0.7452850000000001,4.1618900000000005,1.5576299999999998,10.2181,24.3373,0.026338599999999997
CCL5,1.03708,4.1447400000000005,55.7447,55.5323,3.56215,0.0,5.8518300000000005,0.328596,0.0,11.5664,1.59721
CD36,36.5005,52.8562,30.3092,32.6821,119.60700000000001,5.95287,18.5522,27.8522,28.5228,228.418,30.0312
CD52,5.15236,30.274,50.9935,360.04699999999997,2.24641,12.1882,27.578000000000003,2.72588,18.8695,53.8862,2.29825
CDC20,19.1111,12.6889,8.34843,5.45902,0.0,12.6869,14.1964,14.2065,23.2123,0.705943,48.5456
CHI3L1,52.4824,14.9525,265.642,5.50906,12.7697,40.6979,7.0212699999999995,20.8098,33.0192,20.1565,0.326855
COL2A1,124.822,11.6999,82.9299,0.0,0.0,0.0209768,0.157197,105.473,1.45759,0.413376,0.014987299999999999
COL5A1,145.37,142.66299999999998,39.1658,32.1906,52.95,51.4022,128.517,269.70099999999996,34.1131,204.403,70.9135
COL5A2,202.313,192.696,37.0824,45.924,24.6562,114.544,149.547,409.89,47.3189,352.65,19.6112
CRAT,3.09639,6.37593,6.769639999999999,3.40098,10.0312,20.0761,7.317130000000001,3.7270300000000005,7.21592,9.947460000000001,16.3546
CROT,17.2031,6.02665,4.73515,8.39303,11.6213,6.76398,25.6105,5.29179,10.1169,15.6503,21.1097
CXCL10,2.29941,67.1186,179.872,101.54799999999999,3.6803,31.7238,40.563,4.175669999999999,16.6569,15.3334,5.9346
CXCL11,0.642556,6.4196599999999995,6.863389999999999,19.4311,0.0,17.1679,9.919780000000001,0.0,7.99702,8.71699,1.10673
CXCL13,0.0413495,13.1159,9.364989999999999,85.5384,0.0,5.12899,8.31043,1.4694,2.88489,5.5519099999999995,4.2982
CYP4F8,0.048019099999999995,0.602536,1.05944,0.00161719,0.0,0.0,0.134864,0.0,0.0,4.40353,3.67657
DBI,412.371,534.099,205.30599999999998,238.327,19.5872,180.298,253.44400000000002,99.8671,166.079,68.6185,114.67399999999999
DEFB1,3.16262,0.0,0.372892,1.17739,0.0,1.3347200000000001,5.7662,0.0,1.93523,0.460946,12.7599
DHCR24,38.1374,14.7549,13.1796,3.82499,14.4419,40.4215,409.418,15.2315,27.1696,27.6291,140.125
DUSP5,2.6614299999999997,4.691269999999999,6.2158,5.034,11.1119,0.8976430000000001,10.1188,4.38127,2.8326,12.0934,5.98185
FABP7,2.25652,15.2167,10.3147,0.341104,0.428058,0.256128,4.46561,1.1090200000000001,2.60242,1.58738,0.0
FASN,124.609,8.69055,14.5119,8.31724,23.8917,52.2629,208.173,5.82045,68.8053,68.9283,264.185
FGFR4,2.32432,2.7408099999999997,2.5085599999999997,1.9194,1.08178,0.592591,1.83149,0.560783,0.316761,0.41132799999999997,37.3663
FGL2,2.48121,6.571739999999999,6.19449,16.6367,3.5442400000000003,7.74095,2.3698900000000003,1.5139799999999999,6.2340599999999995,8.60775,0.907804
FOXA1,1.38574,0.0,0.161866,36.9889,90.0389,1.38504,131.475,0.36304200000000003,5.23722,36.4209,143.36
FOXC1,9.10755,33.5466,26.6282,21.2141,15.4442,48.0158,1.07673,62.2426,38.8687,10.9936,3.12932
GABRP,8.66089,156.577,672.327,8.236239999999999,123.86,347.089,4.11811,138.871,475.426,12.1721,22.4545
GALNT7,12.4003,7.9195199999999994,18.8899,18.1979,17.0883,24.7308,37.4187,19.6479,23.3908,25.96,59.9791
GBP1,41.394,326.483,109.555,179.69400000000002,50.1795,183.03400000000002,292.732,54.4518,98.34700000000001,243.862,23.1936
GCHFR,0.42253100000000005,0.0,0.0,0.130833,0.0,0.0872098,0.376676,0.1355,0.326596,0.737737,0.606169
GPR87,0.9514879999999999,0.84336,0.0,0.702407,1.69062,0.0774054,3.20705,0.8265629999999999,0.07417230000000001,0.46162299999999995,0.0
GZMB,1.4986,6.66218,4.6982,15.5177,0.0,3.3163400000000003,3.32715,0.11918800000000002,9.66196,5.20754,2.22425
