gene_short_name,V515-06187-A1,TNT-1,TNT-271,TNT-322,TNT-194,TNT-296,17-00107-9_S10Aligned_cufflinks,TNT-239,TNT-94,TNT-50,TNT-24
ABCA8,1.07397,47.3435,19.3019,2.96949,13.5865,12.0717,54.7654,6.3693599999999995,2.8494900000000003,6.27059,4.7176
ADRA2A,0.196819,0.120636,0.10425,0.47120200000000007,0.308895,0.51861,2.2659,0.621933,0.0,0.613286,0.167515
AKAP12,3.7524300000000004,4.00906,9.75869,10.0738,10.3491,3.8555,17.232,7.243539999999999,20.2867,15.7193,3.76727
ALDH3B2,34.613,8.46557,0.048503899999999996,2.3968599999999998,2.39483,2.50943,1.86159,6.832489999999999,22.8759,19.4221,0.891775
APOD,101.54799999999999,6.4374,18.8019,43.1584,20.1919,16.3223,39.7176,13.232000000000001,147.095,34.8661,95.7435
ART3,19.2103,0.194101,8.40444,30.7849,91.6903,4.89082,0.0,0.155376,22.2765,0.6718649999999999,20.4122
ASPN,31.1651,38.4711,13.9833,71.8074,138.753,13.9013,238.97400000000002,7.229310000000001,57.3841,72.6274,29.0862
AZGP1,64.9749,13.4994,22.8252,78.8806,56.8318,0.852334,22.0611,20.3111,70.096,94.0011,54.919
BLVRB,6.57613,23.8841,2.31812,1.60934,2.5283599999999997,0.378983,3.8647,1.9114400000000002,1.2002899999999999,4.2330000000000005,5.6340699999999995
C7,0.29143,0.277686,16.2719,6.31146,2.26536,12.4669,2.4199599999999997,63.4141,0.887843,5.63905,3.5287800000000002
CCL5,1.03708,5.85725,5.6622,1.6988599999999998,4.1447400000000005,2.0144,0.0,6.15495,4.1359900000000005,2.46692,34.721
CD36,36.5005,12.6625,17.8922,28.7743,52.8562,18.1203,34.8926,25.2455,22.7489,17.4704,13.4455
CD52,5.15236,28.6878,56.5306,13.838,30.274,23.3851,30.9282,884.803,0.0,26.2153,55.9095
CDC20,19.1111,10.419,15.4698,6.0292,12.6889,21.6756,5.44464,8.33313,6.503340000000001,6.633089999999999,27.8803
CHI3L1,52.4824,5.10433,2.46457,35.8325,14.9525,10.3386,9.49815,5.80837,2.53769,23.1543,31.8305
COL2A1,124.822,0.0,2.82534,53.7069,11.6999,0.27657800000000005,0.12629100000000001,0.441904,6.00303,0.7584,111.17399999999999
COL5A1,145.37,136.494,17.2159,112.95200000000001,142.66299999999998,16.8683,413.834,4.27042,28.5161,129.285,80.0339
COL5A2,202.313,181.264,18.8124,161.19899999999998,192.696,13.0316,461.219,7.0651600000000006,26.9307,232.429,150.156
CRAT,3.09639,8.602030000000001,3.4731,4.34071,6.37593,1.49166,25.2676,1.24437,8.31426,9.18802,8.24192
CROT,17.2031,8.033710000000001,12.1045,12.2274,6.02665,21.9133,6.63046,13.1914,7.724880000000001,5.88813,3.4378800000000003
CXCL10,2.29941,18.7691,37.9725,18.7623,67.1186,12.8441,2.41063,30.7011,20.6893,15.6837,216.143
