gene_short_name,V515-06187-A1,TNT-300,TNT-35,17-00152-9_S4Aligned_cufflinks,TNT-45,TNT-293,TNT-54,17-00114-7_S13_cufflinks,TNT-310,TNT-281,17-00139-2_S9Aligned_cufflinks
ABCA8,1.07397,2.02342,16.6291,0.0,69.6238,8.951360000000001,58.0877,4.78456,1.50603,39.0365,3.6460000000000004
ADRA2A,0.196819,0.019426099999999998,0.9818889999999999,0.0,0.0861151,0.0,0.409427,1.9036,0.0916352,0.0,0.21834
AKAP12,3.7524300000000004,1.30359,12.7669,0.0,3.04989,2.2178400000000003,14.9386,7.9425,5.4899,10.6971,2.68102
ALDH3B2,34.613,11.2568,73.376,159.809,0.95725,16.92,9.506730000000001,10.6038,18.7299,4.0044699999999995,27.7129
APOD,101.54799999999999,4.160830000000001,4574.95,103.494,41.6221,9.12083,745.2,15.2827,9.0727,0.10930699999999999,8.01472
ART3,19.2103,547.518,0.887626,69.9625,13.519,0.088062,3.22085,8.701039999999999,0.270129,34.497,1.5872
ASPN,31.1651,11.5862,16.949,0.0,28.9929,10.0876,17.7205,206.11,70.5823,7.35584,9.948369999999999
AZGP1,64.9749,175.447,367.6,8.79505,34.8083,42.7428,84.4769,3.75124,4.2314300000000005,48.4283,1.50857
BLVRB,6.57613,0.0,4.5501,3.61882,0.760424,3.3330699999999998,1.03403,7.713710000000001,1.0593700000000001,0.0,1.37106
C7,0.29143,0.34566199999999997,24.8307,15.638,0.936934,6.76911,70.8319,3.6981800000000002,2.8178799999999997,18.9547,0.645289
CCL5,1.03708,3.9392199999999997,20.5653,0.0,1.6864,3.0321700000000003,27.218000000000004,0.0,16.908,6.88903,2.11983
CD36,36.5005,11.0441,17.7795,0.0,35.4874,929.357,53.4162,15.9088,12.1829,17.1781,14.3767
CD52,5.15236,21.7633,127.084,95.8765,10.8174,12.8056,206.158,39.7689,40.1669,13.2159,2.72221
CDC20,19.1111,26.3353,6.233619999999999,0.0,8.45575,9.34047,3.85495,7.443230000000001,24.5544,44.7677,34.2285
CHI3L1,52.4824,65.2282,8.07722,21.7065,22.6098,7.55722,7.7664,25.4046,23.7297,10.2393,127.334
COL2A1,124.822,0.035179699999999994,0.182251,0.0,42.1761,0.109884,0.348718,37.2636,0.467588,6.1441099999999995,0.569296
COL5A1,145.37,35.0878,63.0796,18.0897,30.6618,32.5814,20.0147,106.22399999999999,116.302,57.647,28.6234
COL5A2,202.313,51.2796,92.2053,0.0,58.7905,33.3523,24.5429,160.553,217.037,29.8201,24.2914
CRAT,3.09639,1.56885,21.7538,0.0,1.07721,2.8111599999999997,8.035219999999999,8.310360000000001,4.10859,0.0595784,1.5318200000000002
CROT,17.2031,8.746210000000001,11.1741,85.5425,5.64661,6.16501,7.78597,6.30745,3.20186,6.07646,2.58029
CXCL10,2.29941,153.815,75.8828,0.0,43.0563,140.839,37.7643,12.5891,111.71700000000001,63.3418,20.0542
CXCL11,0.642556,16.6523,14.3433,0.0,13.4844,34.2832,14.0366,2.87613,9.69977,0.8563930000000001,6.05504
CXCL13,0.0413495,23.0488,54.2101,0.0,1.8025200000000001,11.5668,33.4686,9.07559,12.3011,61.5422,0.924701
CYP4F8,0.048019099999999995,0.119626,21.2027,0.0,0.113976,73.73899999999999,0.990511,0.0,0.0,1.1115700000000002,0.0
DBI,412.371,118.947,176.50900000000001,0.0,61.8241,89.8314,101.01,148.145,156.67,104.124,77.3433
DEFB1,3.16262,17.0221,0.42481199999999997,0.0,0.17210999999999999,1.13114,0.0,0.373373,1.00589,0.755909,0.254765
DHCR24,38.1374,98.1209,166.30900000000003,18.8087,6.56267,25.4588,8.20185,14.1302,31.9861,11.9895,41.1448
DUSP5,2.6614299999999997,4.9109,12.0404,0.0,2.98412,14.419,6.61308,2.26818,13.7116,1.57865,3.5133400000000004
FABP7,2.25652,0.577967,18.504,0.0,19.2089,0.0,5.1336699999999995,0.439255,1.2193399999999999,59.3406,0.100483
FASN,124.609,30.4868,149.665,133.656,7.909510000000001,27.7993,14.5167,21.2144,3.16328,21.6485,96.6952
FGFR4,2.32432,2.06335,7.897930000000001,0.0,0.676813,7.47289,0.111696,0.0,0.08141480000000001,10.5211,0.655992
FGL2,2.48121,5.92215,12.85,0.0,2.29528,5.11273,14.4419,9.25424,4.93389,6.78257,1.62525
FOXA1,1.38574,3.2480700000000002,67.0924,20.6189,4.18446,141.468,14.8548,0.345068,1.50615,1.55029,0.595121
FOXC1,9.10755,25.3759,3.63065,3.16898,82.3449,1.44127,10.7698,44.4172,11.1416,8.70012,26.9418
GABRP,8.66089,1312.73,16.394000000000002,52.1578,429.95300000000003,0.8925059999999999,10.0879,24.0438,187.597,175.713,383.281
GALNT7,12.4003,28.9779,35.5447,12.9507,34.2443,27.0483,29.2673,18.0233,19.2626,8.255519999999999,25.8265
GBP1,41.394,381.344,150.278,0.0,124.809,105.46700000000001,112.329,93.6811,338.00300000000004,535.638,102.725
GCHFR,0.42253100000000005,0.0,0.266475,0.0,0.34274099999999996,0.0,0.0,0.90489,0.17893900000000001,0.0,0.312517
