gene_short_name,V515-06187-A1,TNT-211,TNT-194,17-00109-8_S14Aligned_cufflinks,TNT-328,TNT-202,17-00143-5_S2Aligned_cufflinks,TNT-166,TNT-105,17-00111-2_S4_cufflinks,TNT-67
ABCA8,1.07397,61.2901,13.5865,94.4592,9.23817,0.419579,0.809124,8.041939999999999,31.9528,3.13612,38.3062
ADRA2A,0.196819,0.395498,0.308895,1.63707,0.0,0.10423800000000001,0.07267710000000001,0.17244400000000001,0.0701431,1.38168,0.801187
AKAP12,3.7524300000000004,10.4024,10.3491,66.8964,9.39584,2.88543,0.951425,11.4176,9.491489999999999,6.91818,27.6458
ALDH3B2,34.613,1.13534,2.39483,1.05881,14.562000000000001,9.39125,19.1452,11.936,0.0,7.41563,33.9557
APOD,101.54799999999999,44.836000000000006,20.1919,86.1078,32.4682,11.7008,10.9531,59.2515,114.32,53.9198,850.293
ART3,19.2103,8.18542,91.6903,0.0,13.5651,33.6664,0.422378,20.1966,17.1801,0.0,0.535039
ASPN,31.1651,6.6100699999999994,138.753,162.196,15.9623,19.8095,3.69349,58.4273,168.207,172.13400000000001,175.454
AZGP1,64.9749,115.596,56.8318,24.7804,39.4368,174.74099999999999,85.8713,279.16200000000003,9.073,35.5573,391.01300000000003
BLVRB,6.57613,2.0169,2.5283599999999997,8.9017,1.26662,0.838176,3.8142199999999997,3.27208,0.431008,5.90259,3.14037
C7,0.29143,68.3765,2.26536,5.02005,0.0,0.491271,0.026338599999999997,1.81001,5.95524,2.30553,52.2921
CCL5,1.03708,5.11297,4.1447400000000005,22.5121,1.60917,2.81882,1.59721,2.824,6.4528300000000005,20.6348,15.48
CD36,36.5005,9.93661,52.8562,142.11700000000002,18.5983,18.456,30.0312,87.4212,49.5897,34.8274,175.37400000000002
CD52,5.15236,147.344,30.274,25.0099,0.0,22.4442,2.29825,16.3847,19.3671,43.6633,39.5948
CDC20,19.1111,1.34979,12.6889,0.0,10.2348,43.36600000000001,48.5456,15.1124,3.94257,1.21622,0.48260699999999995
CHI3L1,52.4824,1.69353,14.9525,0.551848,30.5357,23.2638,0.326855,33.8687,5.77056,13.5814,4.42293
COL2A1,124.822,0.726554,11.6999,0.0370783,147.203,0.0214933,0.014987299999999999,26.8688,4.955830000000001,0.361854,0.0
COL5A1,145.37,11.6013,142.66299999999998,246.791,38.532,31.7171,70.9135,226.456,51.5344,238.76,143.662
COL5A2,202.313,8.718119999999999,192.696,326.53,25.6229,55.4751,19.6112,340.56199999999995,93.8971,418.121,330.43
CRAT,3.09639,2.71205,6.37593,11.3141,3.56428,0.301212,16.3546,7.4177800000000005,3.66532,7.61619,8.76498
CROT,17.2031,55.7176,6.02665,48.7835,8.11488,4.69295,21.1097,5.9184,11.0311,9.11234,12.809000000000001
CXCL10,2.29941,26.1821,67.1186,1.17114,8.52238,80.0122,5.9346,11.8491,20.2306,26.4698,8.316880000000001
CXCL11,0.642556,0.0,6.4196599999999995,5.74158,0.0,5.16683,1.10673,4.78148,4.0881099999999995,9.11358,1.3431600000000001
CXCL13,0.0413495,8.82121,13.1159,0.0,0.0,16.756,4.2982,2.4597900000000004,5.1081900000000005,10.9874,2.82177
CYP4F8,0.048019099999999995,0.0,0.602536,8.00879,0.0,1.23981,3.67657,0.0,1.98386,0.0,0.0558274
DBI,412.371,90.8411,534.099,42.2468,61.6366,81.6514,114.67399999999999,270.719,33.3223,129.475,146.65200000000002
DEFB1,3.16262,0.0,0.0,0.0,3.2168400000000004,3.2412400000000003,12.7599,0.57757,1.66839,2.63568,0.5832109999999999
DHCR24,38.1374,0.45603599999999994,14.7549,2.16125,9.57038,22.1326,140.125,90.6298,4.70632,18.9708,58.5741
DUSP5,2.6614299999999997,2.08853,4.691269999999999,21.4802,3.33009,6.07051,5.98185,7.79961,2.66086,4.24291,10.2672
FABP7,2.25652,0.0475985,15.2167,2.38455,7.262560000000001,90.0951,0.0,4.6843,5.16667,0.111069,0.504147
FASN,124.609,7.09244,8.69055,7.55502,4.8363,6.0106,264.185,46.1734,0.486821,49.9008,33.9861
FGFR4,2.32432,0.0,2.7408099999999997,0.0,0.0,0.572056,37.3663,0.964925,0.5812229999999999,0.265341,2.0723599999999998
FGL2,2.48121,29.2128,6.571739999999999,7.85378,13.4369,3.41656,0.907804,5.57745,3.3641199999999998,9.96545,8.229280000000001
FOXA1,1.38574,0.0259267,0.0,12.0454,3.16782,0.420079,143.36,2.5463400000000003,6.09365,5.35827,41.2711
FOXC1,9.10755,42.6333,33.5466,4.88963,11.1992,61.0001,3.12932,26.0138,61.004,15.3442,9.42451
GABRP,8.66089,174.106,156.577,47.4048,13.0795,392.1,22.4545,599.52,176.33599999999998,0.995849,101.90700000000001
GALNT7,12.4003,26.8887,7.9195199999999994,7.85692,0.875309,29.0905,59.9791,11.9974,29.8458,22.0053,43.7686
GBP1,41.394,61.8333,326.483,226.628,22.651999999999997,350.463,23.1936,528.756,96.5449,191.718,116.33
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.699921,0.606169,0.134001,0.0,1.08635,0.176906
GPR87,0.9514879999999999,0.0,0.84336,0.0,0.0,0.157315,0.0,0.296476,4.51039,0.635927,0.16933
GZMB,1.4986,2.34563,6.66218,8.07085,0.0,4.89034,2.22425,0.587438,10.8126,11.3656,1.42534
HGD,4.21735,0.0,1.71567,0.0,9.049489999999999,6.727239999999999,12.1696,8.578439999999999,17.1976,2.98406,22.0706
HTRA1,91.2943,5.43417,63.7738,154.797,22.5486,12.8885,10.2802,135.49200000000002,22.7408,194.174,211.365
IDO1,0.29142399999999996,38.5196,5.87991,0.0,4.34852,7.40508,2.11836,6.50028,21.6275,9.7812,1.9392099999999999
IGFBP4,13.3498,0.972145,4.61299,20.7561,1.2525899999999999,0.876592,2.56719,8.68595,2.6949799999999997,48.2344,4.4985599999999994
IGHM,55.218999999999994,64.7857,32.755,0.0,18.2147,110.23,19.4641,34.2624,7.7482,511.35900000000004,336.39300000000003
IGJ,20.0186,182.497,30.8332,275.119,28.6686,146.929,4.32342,14.8734,30.9685,628.3290000000001,2010.26
IGKC,182.34599999999998,664.077,600.582,1201.25,73.3224,1651.13,62.7069,116.01799999999999,125.6,11731.0,9916.74
IL23A,0.049007300000000004,0.0,0.0,2.6804900000000003,0.0,0.0,0.0,0.351562,0.0,0.273034,0.110175
IL33,0.8833290000000001,3.07225,0.234677,2.62703,0.0,21.1157,0.40103,0.900668,4.22781,2.74182,13.0023
INPP4B,37.1722,29.2064,11.2239,23.4842,2.22397,4.15032,21.6831,18.4035,15.5322,24.0991,53.3911
