gene_short_name,V515-06187-A1,TNT-328,TNT-296,17-00212-8_S3Aligned_cufflinks,TNT-194,TNT-104,TNT-325,TNT-272,TNT-299,TNT-48,TNT-111
ABCA8,1.07397,9.23817,12.0717,10.9008,13.5865,45.0011,1.18126,4.83654,8.87917,251.734,14.8562
ADRA2A,0.196819,0.0,0.51861,0.804,0.308895,0.0269278,0.271846,0.0985654,0.321954,1.7314599999999998,1.0391700000000001
AKAP12,3.7524300000000004,9.39584,3.8555,6.45585,10.3491,14.8787,2.1819599999999997,5.09248,8.3169,12.1732,15.7074
ALDH3B2,34.613,14.562000000000001,2.50943,54.5406,2.39483,134.5,34.041,9.05696,2.22473,10.1174,575.453
APOD,101.54799999999999,32.4682,16.3223,1024.91,20.1919,16699.3,61.196999999999996,49.2309,26.3483,578.9540000000001,10225.5
ART3,19.2103,13.5651,4.89082,0.0878982,91.6903,0.0,0.0,2.09522,47.8547,31.8858,0.17538499999999999
ASPN,31.1651,15.9623,13.9013,191.273,138.753,93.4608,42.7013,20.8546,14.6382,90.9032,130.499
AZGP1,64.9749,39.4368,0.852334,257.36400000000003,56.8318,438.903,1.1505,12.4713,144.884,83.2889,1218.82
BLVRB,6.57613,1.26662,0.378983,80.8059,2.5283599999999997,5.2299,1.8893099999999998,2.17826,1.49672,2.19929,7.4401
C7,0.29143,0.0,12.4669,4.5721099999999995,2.26536,28.9865,0.823103,4.18377,4.52315,34.6236,2.59044
CCL5,1.03708,1.60917,2.0144,5.79704,4.1447400000000005,10.9451,47.0465,2.47439,6.02102,21.9388,1.97053
CD36,36.5005,18.5983,18.1203,59.1195,52.8562,126.93700000000001,13.2001,32.304,80.6752,251.09099999999998,94.8575
CD52,5.15236,0.0,23.3851,31.8435,30.274,29.5778,320.42400000000004,23.3953,14.2911,52.2935,24.4018
CDC20,19.1111,10.2348,21.6756,3.74191,12.6889,0.06501280000000001,10.4861,9.27132,4.88095,2.9954,3.7378199999999997
CHI3L1,52.4824,30.5357,10.3386,3.5127800000000002,14.9525,1.02785,9.58912,32.4326,21.8619,7.455139999999999,7.57694
COL2A1,124.822,147.203,0.27657800000000005,0.029408999999999998,11.6999,0.22212300000000001,0.0,0.0828534,8.712819999999999,9.20578,0.0
COL5A1,145.37,38.532,16.8683,109.637,142.66299999999998,47.013000000000005,32.1635,51.0628,36.7694,75.0766,219.15400000000002
COL5A2,202.313,25.6229,13.0316,225.09400000000002,192.696,87.7715,39.9525,69.0274,49.6448,77.8726,458.394
CRAT,3.09639,3.56428,1.49166,37.2093,6.37593,22.0853,9.221860000000001,1.55397,4.597519999999999,4.91709,70.4712
CROT,17.2031,8.11488,21.9133,55.8078,6.02665,53.6453,7.78834,7.78673,13.238,12.5076,61.6759
CXCL10,2.29941,8.52238,12.8441,10.818,67.1186,10.2874,85.8427,24.671999999999997,37.0993,14.2373,3.96971
CXCL11,0.642556,0.0,2.58412,2.1760200000000003,6.4196599999999995,3.13731,3.5587400000000002,3.9501199999999996,5.7525699999999995,0.0,0.353852
CXCL13,0.0413495,0.0,12.7154,16.0517,13.1159,1.0281799999999999,47.4504,5.80509,4.014880000000001,5.16943,23.2391
CYP4F8,0.048019099999999995,0.0,0.800571,93.9124,0.602536,1.2353399999999999,0.0,0.0274281,2.01316,2.12906,10.0194
DBI,412.371,61.6366,92.3906,180.87,534.099,300.908,21.2225,138.503,210.795,191.773,701.686
DEFB1,3.16262,3.2168400000000004,0.186356,0.8506879999999999,0.0,0.0,50.9421,15.2837,1.58477,0.0,0.0
DHCR24,38.1374,9.57038,7.1537,41.4729,14.7549,43.5835,62.9418,24.5306,7.01083,10.783,109.75200000000001
DUSP5,2.6614299999999997,3.33009,7.56295,2.6576400000000002,4.691269999999999,1.31806,4.8256,3.1821200000000003,4.161490000000001,4.1079300000000005,9.23302
FABP7,2.25652,7.262560000000001,41.4076,159.575,15.2167,1.60248,0.0,7.265910000000001,8.852910000000001,3.7808900000000003,289.357
FASN,124.609,4.8363,8.639389999999999,309.301,8.69055,68.8874,10.8743,8.138639999999999,2.40165,12.8,122.384
FGFR4,2.32432,0.0,0.749579,7.30337,2.7408099999999997,9.378739999999999,6.602360000000001,0.174625,2.10462,0.136404,8.91163
FGL2,2.48121,13.4369,3.5620300000000005,6.500380000000001,6.571739999999999,9.87236,7.19821,3.3796800000000005,4.40214,8.078710000000001,2.79398
