gene_short_name,V515-06187-A1,TNT-14,TNT-274,TNT-281,TNT-27,TNT-166,TNT-18,TNT-1,17-00097-1_S9_cufflinks,TNT-83,TNT-152
ABCA8,1.07397,1.6867900000000002,1.8778700000000002,39.0365,1.9100700000000002,8.041939999999999,10.5629,47.3435,2.1075,5.2367099999999995,28.3027
ADRA2A,0.196819,0.10451700000000001,0.0,0.0,0.0,0.17244400000000001,0.337047,0.120636,0.13051500000000002,0.048419699999999996,0.562541
AKAP12,3.7524300000000004,2.1604400000000004,2.2822400000000003,10.6971,4.470330000000001,11.4176,10.1055,4.00906,1.87044,10.1537,19.0715
ALDH3B2,34.613,5.56607,4.415109999999999,4.0044699999999995,0.0,11.936,1.5908799999999998,8.46557,8.43554,11.9552,134.872
APOD,101.54799999999999,10.9277,1713.18,0.10930699999999999,12.3754,59.2515,126.366,6.4374,0.669381,45.576,3238.15
ART3,19.2103,31.6725,9.25212,34.497,277.39099999999996,20.1966,3.08163,0.194101,4.5019599999999995,1.52685,0.0
ASPN,31.1651,9.50099,14.8356,7.35584,32.3565,58.4273,127.87700000000001,38.4711,10.6442,19.273,89.7133
AZGP1,64.9749,31.8473,9.61207,48.4283,141.167,279.16200000000003,0.397821,13.4994,33.7457,89.7751,678.875
BLVRB,6.57613,7.24225,0.0,0.0,1.6655,3.27208,0.272242,23.8841,3.99175,6.63001,9.51428
C7,0.29143,0.419171,0.905123,18.9547,2.97795,1.81001,11.972999999999999,0.277686,2.0205599999999997,1.0988,41.1971
CCL5,1.03708,6.555389999999999,1.5013299999999998,6.88903,1.16553,2.824,84.2759,5.85725,0.0,8.35195,12.9609
CD36,36.5005,19.3488,6.41063,17.1781,9.68515,87.4212,68.0838,12.6625,29.5541,764.051,35.2708
CD52,5.15236,20.7734,13.366,13.2159,3.93531,16.3847,238.27900000000002,28.6878,10.8883,28.8448,82.2545
CDC20,19.1111,23.4345,3.08772,44.7677,11.3276,15.1124,11.1176,10.419,35.847,6.66027,4.505269999999999
CHI3L1,52.4824,14.9398,6.41977,10.2393,21.1168,33.8687,18.0344,5.10433,14.2367,3.39355,0.786117
COL2A1,124.822,0.8622049999999999,0.114744,6.1441099999999995,110.55799999999999,26.8688,0.0,0.0,0.21441,0.13314700000000002,0.0
COL5A1,145.37,30.3356,20.4873,57.647,27.9453,226.456,103.64200000000001,136.494,99.7165,51.9884,108.13799999999999
COL5A2,202.313,32.3981,25.2911,29.8201,66.3652,340.56199999999995,167.425,181.264,49.6067,109.75200000000001,322.448
CRAT,3.09639,12.9929,1.1721,0.0595784,2.29762,7.4177800000000005,4.5315900000000005,8.602030000000001,8.16269,9.24005,31.2169
CROT,17.2031,3.9923599999999997,2.95221,6.07646,33.2998,5.9184,3.8836800000000005,8.033710000000001,4.92995,16.4538,26.5717
CXCL10,2.29941,29.3048,325.168,63.3418,17.1828,11.8491,196.435,18.7691,14.6049,54.7547,11.4495
CXCL11,0.642556,6.51251,35.8203,0.8563930000000001,0.12356199999999999,4.78148,15.9079,4.29667,2.5685700000000002,29.7078,0.0
CXCL13,0.0413495,7.50828,3.7417,61.5422,23.0044,2.4597900000000004,26.3849,16.4184,3.01473,20.3493,15.7339
CYP4F8,0.048019099999999995,0.0,0.285248,1.1115700000000002,0.00678974,0.0,0.0623461,0.0,0.234377,9.35929,15.6348
DBI,412.371,145.792,228.334,104.124,152.017,270.719,120.508,88.0907,170.882,121.336,565.778
DEFB1,3.16262,2.8024400000000003,0.0,0.755909,0.0,0.57757,0.0,0.0,0.0,0.0,0.0
DHCR24,38.1374,86.3851,13.0241,11.9895,3.8895800000000005,90.6298,13.6373,85.4416,44.06100000000001,75.9645,94.5633
DUSP5,2.6614299999999997,6.16071,0.0136769,1.57865,0.0,7.79961,3.3018699999999996,4.9567,3.6152800000000003,14.2512,2.4487099999999997
FABP7,2.25652,1.2532,0.8470850000000001,59.3406,66.6622,4.6843,14.5807,0.0,0.060764,0.405342,235.75900000000001
FASN,124.609,69.7638,2.94285,21.6485,1.39044,46.1734,13.9948,71.0935,57.3003,155.987,218.648
FGFR4,2.32432,0.547024,1.53433,10.5211,1.45713,0.964925,0.0,2.2993900000000003,2.04738,16.3501,15.2911
FGL2,2.48121,3.2164200000000003,3.1543200000000002,6.78257,11.4318,5.57745,9.61383,4.36658,2.54605,5.12706,11.0158
FOXA1,1.38574,0.205656,2.99895,1.55029,0.606611,2.5463400000000003,0.0,61.0078,0.09799169999999999,121.24600000000001,26.0362
FOXC1,9.10755,32.1182,122.176,8.70012,24.7188,26.0138,7.67033,0.48579700000000003,65.4708,0.746015,0.79214
GABRP,8.66089,841.158,0.0,175.713,709.436,599.52,218.567,0.056124400000000005,7.864789999999999,1.4016,18.8446
GALNT7,12.4003,7.97859,56.3736,8.255519999999999,17.0417,11.9974,10.3138,42.6968,7.85755,25.489,26.0401
GBP1,41.394,144.463,289.868,535.638,69.6213,528.756,228.894,324.355,84.0119,140.442,80.4756
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.134001,0.0,0.707112,0.42294,0.275027,1.02698
GPR87,0.9514879999999999,0.9581959999999999,0.0,0.519255,5.22374,0.296476,0.8862110000000001,7.8752,0.0,0.16356099999999998,0.0
GZMB,1.4986,2.58473,17.3612,6.77791,0.0,0.587438,12.0025,15.83,1.86027,1.84185,0.0
HGD,4.21735,0.5958399999999999,3.81734,8.127139999999999,1.32979,8.578439999999999,0.25535599999999997,15.9397,0.17512,1.96698,92.87100000000001
HTRA1,91.2943,16.6235,10.6053,9.95982,21.1824,135.49200000000002,77.4917,36.8865,44.1674,89.2542,142.922
IDO1,0.29142399999999996,5.88304,10.4194,24.7108,2.01125,6.50028,23.029,6.85727,4.31044,13.1393,0.843558
IGFBP4,13.3498,2.86242,0.24955100000000002,0.5106609999999999,0.22715300000000002,8.68595,3.41105,16.5499,7.9226399999999995,1.48589,7.366410000000001
IGHM,55.218999999999994,144.626,5.69487,213.67,44.0223,34.2624,607.3240000000001,62.2751,0.0,842.693,329.702
IGJ,20.0186,39.4167,71.1838,378.825,68.2601,14.8734,234.80900000000003,22.5761,23.1658,829.929,568.173
IGKC,182.34599999999998,9184.18,137.195,2270.71,396.311,116.01799999999999,1594.26,396.902,5865.29,11160.5,12039.2
IL23A,0.049007300000000004,0.0,0.0,0.147824,0.133329,0.351562,0.0,0.07124019999999999,0.0,0.265761,0.0
IL33,0.8833290000000001,0.45888599999999996,0.48917299999999997,1.07443,4.7099,0.900668,6.744910000000001,0.8787709999999999,0.470318,0.47543199999999997,9.99245
INPP4B,37.1722,12.2175,1.8866599999999998,3.00811,17.0103,18.4035,19.7162,63.8126,25.3966,16.3814,40.6346
ITM2A,5.13433,4.7240400000000005,3.16641,68.0098,13.3371,7.833489999999999,45.3222,5.07621,5.86859,15.1301,61.5291
