gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-322,TNT-157,17-00139-2_S9Aligned_cufflinks,TNT-80,17-00140-2_S2_cufflinks,TNT-27,TNT-67,TNT-41,TNT-57
ABCA8,1.07397,55.5194,2.96949,16.5316,3.6460000000000004,22.0769,4.1809,1.9100700000000002,38.3062,13.0061,6.46901
ADRA2A,0.196819,4.317880000000001,0.47120200000000007,0.053574699999999996,0.21834,0.013179399999999999,0.9741280000000001,0.0,0.801187,1.04865,0.408656
AKAP12,3.7524300000000004,25.364,10.0738,5.01157,2.68102,2.49283,1.05279,4.470330000000001,27.6458,7.11901,6.26016
ALDH3B2,34.613,14.4216,2.3968599999999998,44.3463,27.7129,58.4224,25.7805,0.0,33.9557,1.4853,0.10081699999999999
APOD,101.54799999999999,136.705,43.1584,388.876,8.01472,819.493,4.29317,12.3754,850.293,56.6557,51.8919
ART3,19.2103,0.0,30.7849,11.9946,1.5872,0.0,9.720880000000001,277.39099999999996,0.535039,59.7037,29.1496
ASPN,31.1651,44.1739,71.8074,10.4886,9.948369999999999,14.3354,10.1457,32.3565,175.454,247.642,78.5235
AZGP1,64.9749,178.998,78.8806,13.2232,1.50857,29.0099,60.7934,141.167,391.01300000000003,16.7207,118.51799999999999
BLVRB,6.57613,5.03918,1.60934,1.7414,1.37106,4.11966,3.62414,1.6655,3.14037,12.3493,4.3314699999999995
C7,0.29143,19.783,6.31146,12.9084,0.645289,0.597286,0.0,2.97795,52.2921,0.657578,2.87842
CCL5,1.03708,2.22877,1.6988599999999998,14.6772,2.11983,17.3256,0.0,1.16553,15.48,16.4867,3.70974
CD36,36.5005,182.748,28.7743,33.1401,14.3767,29.4388,44.8475,9.68515,175.37400000000002,79.5482,21.4543
CD52,5.15236,0.0,13.838,93.59899999999999,2.72221,157.474,6.33001,3.93531,39.5948,49.562,16.7951
CDC20,19.1111,0.0,6.0292,21.6145,34.2285,10.062999999999999,9.59021,11.3276,0.48260699999999995,9.8534,26.4927
CHI3L1,52.4824,5.63374,35.8325,42.6231,127.334,2.5819799999999997,31.4808,21.1168,4.42293,62.4796,15.99
COL2A1,124.822,0.0,53.7069,0.165699,0.569296,0.0,0.022249099999999997,110.55799999999999,0.0,31.3989,0.548056
COL5A1,145.37,160.153,112.95200000000001,18.2057,28.6234,21.4176,87.0433,27.9453,143.662,194.514,87.4963
COL5A2,202.313,136.536,161.19899999999998,26.7943,24.2914,28.2956,50.7685,66.3652,330.43,290.284,121.088
CRAT,3.09639,20.776999999999997,4.34071,1.38838,1.5318200000000002,1.06871,6.3588,2.29762,8.76498,10.8437,8.625630000000001
CROT,17.2031,4.49909,12.2274,8.916360000000001,2.58029,29.4058,18.901,33.2998,12.809000000000001,4.9685,4.78488
CXCL10,2.29941,0.0,18.7623,91.8598,20.0542,89.9105,63.1842,17.1828,8.316880000000001,100.35799999999999,4.72286
CXCL11,0.642556,0.0,4.628769999999999,8.917819999999999,6.05504,17.3448,18.5376,0.12356199999999999,1.3431600000000001,17.9766,0.9768040000000001
CXCL13,0.0413495,0.0,3.45115,46.1831,0.924701,22.875,16.208,23.0044,2.82177,9.70889,2.6762200000000003
CYP4F8,0.048019099999999995,5.58269,0.319508,0.0,0.0,8.743139999999999,0.467581,0.00678974,0.0558274,0.33720500000000003,0.859841
DBI,412.371,14.5811,322.902,134.685,77.3433,260.025,52.3533,152.017,146.65200000000002,121.199,123.693
DEFB1,3.16262,0.0,0.0,0.135413,0.254765,0.0,7.87098,0.0,0.5832109999999999,1.04105,0.23947399999999996
DHCR24,38.1374,26.3007,13.3313,74.3837,41.1448,50.5079,18.332,3.8895800000000005,58.5741,16.0402,26.688000000000002
DUSP5,2.6614299999999997,17.2635,3.6230800000000003,6.9571,3.5133400000000004,12.2729,7.344860000000001,0.0,10.2672,6.1327300000000005,2.64648
FABP7,2.25652,1.4797200000000001,9.84249,0.054773199999999994,0.100483,0.0,5.74169,66.6622,0.504147,2.74168,33.7576
FASN,124.609,188.59599999999998,4.11901,41.2107,96.6952,30.1502,107.34299999999999,1.39044,33.9861,9.581660000000001,20.7734
FGFR4,2.32432,0.0,1.26775,4.540719999999999,0.655992,13.3853,0.622948,1.45713,2.0723599999999998,2.54454,0.19916
FGL2,2.48121,5.21316,4.80815,10.3349,1.62525,12.4533,3.84026,11.4318,8.229280000000001,5.03298,3.20866
FOXA1,1.38574,70.9237,3.72445,1.01931,0.595121,145.191,0.725695,0.606611,41.2711,0.137919,1.82645
FOXC1,9.10755,12.1608,53.1081,28.4132,26.9418,1.18777,17.2027,24.7188,9.42451,29.7138,53.8272
GABRP,8.66089,79.957,9.75716,503.14,383.281,58.7474,275.553,709.436,101.90700000000001,693.341,573.122
GALNT7,12.4003,20.9316,8.96135,12.2184,25.8265,54.0238,14.8314,17.0417,43.7686,14.8009,11.9499
GBP1,41.394,93.6234,72.4958,527.597,102.725,176.493,94.1626,69.6213,116.33,198.987,99.51100000000001
