gene_short_name,V515-06187-A1,TNT-214,TNT-195,17-00258-5_S5Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-24,TNT-56,17-00280-7_S4Aligned_cufflinks,TNT-98,TNT-194,TNT-208
ABCA8,1.07397,6.30619,30.7235,6.53624,14.9899,4.7176,53.5647,1.9610400000000001,46.1161,13.5865,16.3134
ADRA2A,0.196819,0.5343899999999999,0.22465,0.656837,0.9286280000000001,0.167515,0.818513,0.330945,0.44963000000000003,0.308895,0.492345
AKAP12,3.7524300000000004,6.27307,21.7435,3.78971,11.8446,3.76727,7.0299,1.98968,5.98117,10.3491,22.9325
ALDH3B2,34.613,5.43093,1.14113,0.884181,2.39375,0.891775,2.74039,75.8959,8.66927,2.39483,7.122139999999999
APOD,101.54799999999999,78.8272,604.388,70.1232,50.4508,95.7435,3331.85,25.2137,165.22799999999998,20.1919,55.8797
ART3,19.2103,92.4518,9.550980000000001,93.7437,0.291602,20.4122,4.69583,0.025776499999999997,0.23561300000000002,91.6903,0.39968000000000004
ASPN,31.1651,5.46924,55.6316,3.7960000000000003,27.6337,29.0862,27.5234,12.2085,28.8722,138.753,21.4995
AZGP1,64.9749,603.7869999999999,268.497,121.947,3.87216,54.919,112.811,140.03,5.12935,56.8318,170.612
BLVRB,6.57613,2.09444,4.4294,2.68466,4.4324900000000005,5.6340699999999995,1.36521,4.51035,6.782489999999999,2.5283599999999997,2.03717
C7,0.29143,19.8767,32.9843,10.2181,5.99394,3.5287800000000002,9.02806,1.8111099999999998,25.5063,2.26536,35.7726
CCL5,1.03708,9.4678,35.4418,0.0,0.0,34.721,15.388,0.0,25.8249,4.1447400000000005,3.7465599999999997
CD36,36.5005,20.8269,82.4024,28.5228,149.636,13.4455,1102.89,13.3628,44.3127,52.8562,21.7614
CD52,5.15236,80.1085,161.817,18.8695,2.70915,55.9095,120.281,23.5318,94.6313,30.274,78.3063
CDC20,19.1111,33.0613,6.47849,23.2123,14.3517,27.8803,15.8234,8.15715,1.1533799999999998,12.6889,5.1962
CHI3L1,52.4824,1.5293,23.4869,33.0192,45.5875,31.8305,2.97668,3.3229800000000003,4.2127300000000005,14.9525,22.6745
COL2A1,124.822,0.0,2.00073,1.45759,114.78299999999999,111.17399999999999,0.0649235,0.019504300000000002,0.0772557,11.6999,0.281686
COL5A1,145.37,23.8546,144.053,34.1131,174.977,80.0339,56.8638,44.028,42.4369,142.66299999999998,161.51
COL5A2,202.313,19.3943,131.694,47.3189,163.721,150.156,67.1142,82.8314,46.0351,192.696,119.762
CRAT,3.09639,0.567394,8.42276,7.21592,4.3305,8.24192,1.48946,24.1691,25.9658,6.37593,5.62084
CROT,17.2031,12.2198,21.0095,10.1169,4.56994,3.4378800000000003,24.9742,15.8075,8.24655,6.02665,21.1445
CXCL10,2.29941,45.9677,96.1112,16.6569,2.0649,216.143,383.87300000000005,50.6872,197.953,67.1186,21.9312
