gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,17-00131-5_S8Aligned_cufflinks,TNT-133,TNT-259,TNT-50,TNT-100,17-00127-8_S3Aligned_cufflinks,17-00270-5_S14Aligned_cufflinks,TNT-4,17-00110-9_S15Aligned_cufflinks
ABCA8,1.07397,43.1719,3.02603,75.7969,7.3788,6.27059,10.2128,5.2732,2.10963,37.7185,0.943892
ADRA2A,0.196819,3.57135,0.42561099999999996,0.598187,0.062241399999999995,0.613286,0.218344,0.0,0.785147,4.021059999999999,0.184313
AKAP12,3.7524300000000004,19.8129,0.384289,6.895230000000001,10.4078,15.7193,6.21779,1.2662,3.9364199999999996,17.7207,0.618114
ALDH3B2,34.613,111.376,15.5005,15.4526,2.39888,19.4221,3.95048,3.25937,173.954,42.5699,21.1902
APOD,101.54799999999999,1551.18,1.2395399999999999,152.924,16.1725,34.8661,169.25099999999998,81.4037,1702.36,2583.61,0.8471620000000001
ART3,19.2103,1.09477,0.635686,16.1857,2.83927,0.6718649999999999,165.481,34.0727,0.0,0.0,1.7045400000000002
ASPN,31.1651,74.2365,2.46604,99.3177,59.7246,72.6274,26.1134,0.0,97.1702,315.638,8.79653
AZGP1,64.9749,545.611,5.0511099999999995,81.6664,0.0,94.0011,6.8005,195.738,433.668,298.58,71.6802
BLVRB,6.57613,20.7679,2.44601,3.9630300000000003,1.7791299999999999,4.2330000000000005,1.16798,0.0,17.5144,7.36637,3.21779
C7,0.29143,53.4988,0.593221,10.3059,1.07913,5.63905,3.11435,0.0,0.913499,8.536660000000001,0.145938
CCL5,1.03708,8.84458,5.70474,11.4843,24.4902,2.46692,19.74,0.0,0.0,13.302999999999999,0.0
CD36,36.5005,333.499,9.64332,123.501,36.2403,17.4704,37.6889,0.0,5.78937,100.477,4.6544
CD52,5.15236,25.8897,3.68263,56.1498,178.9,26.2153,134.336,0.0,25.8947,48.9762,4.91219
CDC20,19.1111,2.3126700000000002,8.15222,9.27248,10.0606,6.633089999999999,8.904589999999999,19.4809,2.98538,2.9675599999999998,36.4559
CHI3L1,52.4824,15.912,168.771,0.874603,17.9288,23.1543,24.0775,3.8606199999999995,16.8958,5.7134,0.8237700000000001
COL2A1,124.822,2.00287,0.035063699999999996,0.0,0.0,0.7584,0.112568,9.34079,0.0,0.149369,20.099
COL5A1,145.37,124.007,11.9765,68.0468,40.4405,129.285,29.7421,74.985,159.398,225.483,58.6796
COL5A2,202.313,327.722,14.2269,83.052,44.153999999999996,232.429,89.4079,26.139,332.476,308.353,36.052
CRAT,3.09639,17.4382,1.26799,2.03308,4.1209,9.18802,2.41362,0.737631,35.1876,14.7289,7.7762199999999995
CROT,17.2031,30.4582,5.52752,6.0225,13.6541,5.88813,6.30357,21.1361,61.1756,47.6286,4.61565
CXCL10,2.29941,25.2463,58.1687,6.53556,384.48400000000004,15.6837,240.75900000000001,14.1618,47.1377,39.4233,4.36531
CXCL11,0.642556,9.27016,8.21909,0.0,110.538,1.4391100000000001,44.6731,0.0,17.4057,8.87846,0.758763
CXCL13,0.0413495,14.9373,9.9852,4.97297,627.493,5.55664,63.115,0.0,13.6215,46.0943,0.6656380000000001
CYP4F8,0.048019099999999995,1.0552,0.0,0.0,0.18496500000000002,0.31056500000000004,0.0,0.0,2.87166,27.8697,0.0
DBI,412.371,474.352,19.1439,172.40099999999998,102.259,139.829,96.7272,94.0731,458.19199999999995,273.298,126.947
DEFB1,3.16262,3.06845,2.9607,0.41695600000000005,1.4857,10.9841,3.17559,0.0,2.34702,1.9527599999999998,0.0
DHCR24,38.1374,118.10799999999999,7.69733,64.1324,27.5106,61.7799,11.8349,9.27006,130.19799999999998,25.3035,56.8192
DUSP5,2.6614299999999997,8.58584,1.1767,0.0,0.760338,4.47715,5.35534,2.0363,3.94306,9.615960000000001,1.6976
FABP7,2.25652,220.93,0.609712,0.0,9.448089999999999,0.0,0.5850310000000001,4.2431,202.65,1.97922,0.0770102
FASN,124.609,620.299,141.922,36.0783,1.18795,57.4616,11.798,36.2518,778.4830000000001,69.4728,174.738
FGFR4,2.32432,0.310467,0.555021,0.416916,0.335385,1.32382,0.757059,0.755862,0.55462,1.93565,3.48613
FGL2,2.48121,17.2755,9.03785,10.1991,6.70472,5.51389,11.0687,0.059887300000000004,10.955,18.1586,1.53472
FOXA1,1.38574,86.8978,0.399233,101.26700000000001,0.319283,1.90232,1.26925,5.49379,98.2355,44.0487,94.6264
FOXC1,9.10755,7.0417,71.1802,0.0,3.57756,39.9886,41.8014,26.7646,1.00065,6.6412,158.749
GABRP,8.66089,19.9296,192.75900000000001,0.0,740.4110000000001,23.6083,358.421,223.362,1.14783,3.7613199999999996,4.8082199999999995
GALNT7,12.4003,28.8384,13.0624,89.2718,9.15928,11.5386,29.8137,27.8541,43.2333,29.7102,60.2869
GBP1,41.394,153.619,226.399,79.0541,218.737,71.5431,388.829,162.607,151.737,117.684,51.5421
GCHFR,0.42253100000000005,0.39271999999999996,0.589551,0.8878870000000001,0.0,0.20549,0.31399699999999997,0.857477,2.0417099999999997,0.344589,0.7533340000000001
GPR87,0.9514879999999999,2.26563,1.2016200000000001,0.0,7.69994,4.06842,1.30861,3.83835,1.74747,0.0,0.0
GZMB,1.4986,4.72534,5.461040000000001,0.114792,32.7245,2.96307,8.787889999999999,0.0,6.61711,1.33328,2.38321
HGD,4.21735,23.7782,0.948775,0.0,5.68914,2.01073,0.6387010000000001,27.7859,27.7762,6.88391,3.19875
HTRA1,91.2943,221.53099999999998,5.30595,57.5539,40.9797,121.51299999999999,46.1997,2.7259,156.50799999999998,291.691,9.9117
IDO1,0.29142399999999996,9.55688,17.0065,0.0,56.6019,8.63063,26.7969,0.0,19.0683,1.58873,3.8729
IGFBP4,13.3498,57.7482,2.89407,10.6492,0.43888299999999997,3.0842400000000003,1.63244,8.38525,22.6642,7.64763,21.2055
IGHM,55.218999999999994,336.897,145.031,144.781,136.843,119.376,2633.01,117.986,377.42400000000004,43.9422,70.363
IGJ,20.0186,446.48900000000003,34.6306,651.057,120.395,101.14,1101.02,38.8323,149.07399999999998,218.31,33.6758
IGKC,182.34599999999998,2529.53,2381.84,3728.87,1516.83,1160.89,13908.6,1588.56,8345.27,980.865,1866.18
IL23A,0.049007300000000004,0.0,0.157318,0.243693,0.0,0.391571,0.11145799999999999,0.0,0.0,0.0,0.15148
IL33,0.8833290000000001,7.259510000000001,1.05634,3.54569,0.602038,0.9289459999999999,4.16297,0.0,1.6797900000000001,5.825130000000001,0.338005
INPP4B,37.1722,30.2415,6.39065,9.4802,13.6166,17.8934,16.4583,4.561730000000001,53.968999999999994,26.069000000000003,11.4627
