gene_short_name,V515-06187-A1,TNT-41,TNT-69,TNT-182,TNT-122,17-00122-1_S1_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-321,TNT-288,TNT-58,TNT-24
ABCA8,1.07397,13.0061,6.334280000000001,5.738980000000001,88.0911,15.2547,0.809124,1.1144,10.8786,0.0,4.7176
ADRA2A,0.196819,1.04865,0.150311,0.0891861,0.408986,1.06565,0.07267710000000001,0.0,0.283499,0.0,0.167515
AKAP12,3.7524300000000004,7.11901,8.43398,13.2235,15.4194,3.36502,0.951425,4.92338,16.0737,6.38661,3.76727
ALDH3B2,34.613,1.4853,2.33555,0.223333,23.2977,19.7483,19.1452,0.0,0.561817,3.93287,0.891775
APOD,101.54799999999999,56.6557,334.26099999999997,108.309,1264.04,39.0799,10.9531,23.309,110.571,100.74600000000001,95.7435
ART3,19.2103,59.7037,11.878,39.255,0.293089,0.0,0.422378,13.6808,3.3811199999999997,0.0,20.4122
ASPN,31.1651,247.642,32.2778,102.374,81.4283,22.2786,3.69349,16.2505,117.07,46.5225,29.0862
AZGP1,64.9749,16.7207,41.8629,87.2981,235.84599999999998,21.2686,85.8713,0.95899,19.9515,3.7303599999999997,54.919
BLVRB,6.57613,12.3493,0.226859,1.3189899999999999,2.1386700000000003,2.08356,3.8142199999999997,0.204078,3.17771,0.152304,5.6340699999999995
C7,0.29143,0.657578,2.44299,4.2449,112.07600000000001,16.0706,0.026338599999999997,0.683814,2.26989,0.0578067,3.5287800000000002
CCL5,1.03708,16.4867,2.95312,9.13623,4.87955,0.0,1.59721,11.290999999999999,1.4270200000000002,0.08316989999999999,34.721
CD36,36.5005,79.5482,24.2,31.6866,122.99799999999999,6.4267199999999995,30.0312,20.8781,21.039,8.52927,13.4455
CD52,5.15236,49.562,15.9388,63.4951,124.007,12.6459,2.29825,130.963,1.79485,0.0,55.9095
CDC20,19.1111,9.8534,31.1055,8.12888,0.59246,28.4023,48.5456,21.4337,35.8456,10.7521,27.8803
CHI3L1,52.4824,62.4796,13.2155,54.8576,13.0996,3.2886599999999997,0.326855,1.82655,14.8201,0.872301,31.8305
COL2A1,124.822,31.3989,143.94299999999998,7.765639999999999,0.8434200000000001,5.51192,0.014987299999999999,0.701661,59.1868,2.1362,111.17399999999999
COL5A1,145.37,194.514,40.5398,91.7031,117.70299999999999,105.51700000000001,70.9135,9.650889999999999,299.16700000000003,9.41421,80.0339
