gene_short_name,V515-06187-A1,17-00119-5_S5_cufflinks,TNT-105,TNT-167,TNT-245,17-00100-2_S17Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-195,17-00163-6_S7Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-210
ABCA8,1.07397,4.389390000000001,31.9528,2.02615,8.9799,2.66909,5.2732,30.7235,0.7701479999999999,94.4592,9.09564
ADRA2A,0.196819,1.83867,0.0701431,0.0,0.139203,0.798061,0.0,0.22465,0.0657186,1.63707,0.335962
AKAP12,3.7524300000000004,12.7491,9.491489999999999,7.73556,5.12106,2.76503,1.2662,21.7435,1.2357,66.8964,6.16654
ALDH3B2,34.613,2.7095700000000003,0.0,172.847,4.80485,8.7501,3.25937,1.14113,2.97506,1.05881,8.86323
APOD,101.54799999999999,24.8244,114.32,7071.89,6.02412,62.3337,81.4037,604.388,57.5143,86.1078,9.57364
ART3,19.2103,0.22605,17.1801,0.0,5.12479,1.8053599999999999,34.0727,9.550980000000001,80.791,0.0,1.0016399999999999
ASPN,31.1651,12.4372,168.207,45.1213,12.6273,28.774,0.0,55.6316,20.2771,162.196,7.55605
AZGP1,64.9749,8.47719,9.073,166.08900000000003,0.815736,6.16124,195.738,268.497,59.9678,24.7804,22.0424
BLVRB,6.57613,2.12154,0.431008,25.1259,2.28742,1.9429400000000001,0.0,4.4294,8.241610000000001,8.9017,2.0960099999999997
C7,0.29143,415.24,5.95524,0.157557,11.4507,1.22548,0.0,32.9843,1.01661,5.02005,64.0085
CCL5,1.03708,0.0,6.4528300000000005,1.86065,4.07395,10.7786,0.0,35.4418,0.0,22.5121,4.16558
CD36,36.5005,39.1275,49.5897,25.8007,9.4337,9.62158,0.0,82.4024,19.9552,142.11700000000002,32.1363
CD52,5.15236,114.693,19.3671,26.8185,207.293,8.39226,0.0,161.817,4.53303,25.0099,785.451
CDC20,19.1111,2.32812,3.94257,4.66745,4.63374,16.0755,19.4809,6.47849,33.2568,0.0,11.3893
CHI3L1,52.4824,1.54651,5.77056,1.77787,1.14299,6.07407,3.8606199999999995,23.4869,183.889,0.551848,6.51311
