gene_short_name,V515-06187-A1,TNT-186,17-00243-6_S9Aligned_cufflinks,17-00122-1_S1_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-269,TNT-111,17-00143-5_S2Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-272,17-00110-9_S15Aligned_cufflinks
ABCA8,1.07397,7.3715399999999995,39.5772,15.2547,10.1006,9.26357,14.8562,0.809124,2.66909,4.83654,0.943892
ADRA2A,0.196819,0.8646780000000001,2.18221,1.06565,0.666199,0.0965076,1.0391700000000001,0.07267710000000001,0.798061,0.0985654,0.184313
AKAP12,3.7524300000000004,15.2398,18.6305,3.36502,3.59153,11.6325,15.7074,0.951425,2.76503,5.09248,0.618114
ALDH3B2,34.613,4.60629,6.116709999999999,19.7483,57.0737,1.61673,575.453,19.1452,8.7501,9.05696,21.1902
APOD,101.54799999999999,97.3845,222.14700000000002,39.0799,2264.75,17.7364,10225.5,10.9531,62.3337,49.2309,0.8471620000000001
ART3,19.2103,63.2559,0.6155229999999999,0.0,2.61983,33.2699,0.17538499999999999,0.422378,1.8053599999999999,2.09522,1.7045400000000002
ASPN,31.1651,390.19,114.85700000000001,22.2786,17.5097,31.201,130.499,3.69349,28.774,20.8546,8.79653
AZGP1,64.9749,1.162,63.7556,21.2686,375.78,58.5012,1218.82,85.8713,6.16124,12.4713,71.6802
BLVRB,6.57613,0.0,4.7669999999999995,2.08356,9.26335,0.8968360000000001,7.4401,3.8142199999999997,1.9429400000000001,2.17826,3.21779
C7,0.29143,9.532119999999999,24.3373,16.0706,11.5843,6.178380000000001,2.59044,0.026338599999999997,1.22548,4.18377,0.145938
CCL5,1.03708,13.7499,11.5664,0.0,0.0,3.93235,1.97053,1.59721,10.7786,2.47439,0.0
CD36,36.5005,39.8265,228.418,6.4267199999999995,40.6657,33.2638,94.8575,30.0312,9.62158,32.304,4.6544
CD52,5.15236,29.1361,53.8862,12.6459,19.3989,24.7288,24.4018,2.29825,8.39226,23.3953,4.91219
CDC20,19.1111,11.82,0.705943,28.4023,2.81438,10.3008,3.7378199999999997,48.5456,16.0755,9.27132,36.4559
CHI3L1,52.4824,4.8263300000000005,20.1565,3.2886599999999997,2.7861,22.9312,7.57694,0.326855,6.07407,32.4326,0.8237700000000001
COL2A1,124.822,8.11158,0.413376,5.51192,0.157048,3.86954,0.0,0.014987299999999999,1.0013,0.0828534,20.099
COL5A1,145.37,194.264,204.403,105.51700000000001,57.8154,91.8004,219.15400000000002,70.9135,75.7083,51.0628,58.6796
COL5A2,202.313,232.826,352.65,45.6436,105.309,109.73200000000001,458.394,19.6112,115.303,69.0274,36.052
CRAT,3.09639,4.23051,9.947460000000001,3.73345,30.4788,4.34124,70.4712,16.3546,1.6138700000000001,1.55397,7.7762199999999995
CROT,17.2031,17.5123,15.6503,34.0231,37.0803,6.66257,61.6759,21.1097,12.8803,7.78673,4.61565
CXCL10,2.29941,6.97502,15.3334,12.7818,17.8862,41.6064,3.96971,5.9346,33.681,24.671999999999997,4.36531
CXCL11,0.642556,4.2247,8.71699,1.42336,3.95835,5.55652,0.353852,1.10673,13.7347,3.9501199999999996,0.758763
CXCL13,0.0413495,2.33203,5.5519099999999995,12.3406,5.9954,13.0681,23.2391,4.2982,12.9616,5.80509,0.6656380000000001
CYP4F8,0.048019099999999995,0.358575,4.40353,0.0,0.20556999999999997,0.585101,10.0194,3.67657,0.0,0.0274281,0.0
DBI,412.371,100.988,68.6185,19.3784,141.197,128.767,701.686,114.67399999999999,82.3534,138.503,126.947
DEFB1,3.16262,0.0,0.460946,1.33079,0.207869,1.8986299999999998,0.0,12.7599,2.1062,15.2837,0.0
DHCR24,38.1374,3.76716,27.6291,65.7614,108.111,26.682,109.75200000000001,140.125,60.8572,24.5306,56.8192
DUSP5,2.6614299999999997,1.65471,12.0934,3.4757800000000003,1.75253,9.342319999999999,9.23302,5.98185,2.8738,3.1821200000000003,1.6976
FABP7,2.25652,6.08378,1.58738,0.0,7.675910000000001,1.82876,289.357,0.0,10.515999999999998,7.265910000000001,0.0770102
FASN,124.609,21.0554,68.9283,97.7484,636.474,3.1549400000000003,122.384,264.185,77.1645,8.138639999999999,174.738
FGFR4,2.32432,0.5648810000000001,0.41132799999999997,3.56694,12.591,0.270629,8.91163,37.3663,1.22252,0.174625,3.48613
FGL2,2.48121,3.35606,8.60775,3.0994599999999997,5.83078,7.5293600000000005,2.79398,0.907804,8.12208,3.3796800000000005,1.53472
FOXA1,1.38574,0.0,36.4209,23.318,154.41299999999998,1.54293,201.456,143.36,0.46939899999999996,1.46699,94.6264
FOXC1,9.10755,30.2613,10.9936,52.0178,3.4336599999999997,19.7763,3.5824599999999998,3.12932,88.3177,33.4799,158.749
GABRP,8.66089,336.445,12.1721,191.482,1.5920299999999998,834.3860000000001,9.12478,22.4545,227.37099999999998,664.5930000000001,4.8082199999999995
GALNT7,12.4003,17.261,25.96,29.3886,105.712,18.4089,49.7457,59.9791,18.5846,16.4421,60.2869
GBP1,41.394,31.443,243.862,82.2882,66.9108,201.665,45.8172,23.1936,194.71900000000002,155.75799999999998,51.5421
GCHFR,0.42253100000000005,0.0,0.737737,1.22014,0.55625,0.0,1.0427799999999998,0.606169,0.19724,0.377754,0.7533340000000001
GPR87,0.9514879999999999,0.0,0.46162299999999995,3.38113,0.048275,1.8530900000000001,0.30186199999999996,0.0,0.9885799999999999,2.1381900000000003,0.0
GZMB,1.4986,1.2492299999999998,5.20754,2.81597,2.1377900000000003,3.4740900000000003,2.45732,2.22425,8.62832,2.63024,2.38321
HGD,4.21735,0.0,3.72477,6.37271,138.276,2.32145,24.7993,12.1696,0.449058,0.707048,3.19875
HTRA1,91.2943,107.346,381.336,27.5882,49.4055,76.2697,201.75099999999998,10.2802,55.8889,34.512,9.9117
IDO1,0.29142399999999996,4.64251,3.1867799999999997,8.7964,3.06081,7.54905,1.66038,2.11836,48.9137,4.83116,3.8729
IGFBP4,13.3498,11.6178,42.5683,18.099,13.3171,0.457959,3.9110400000000003,2.56719,18.1202,1.16592,21.2055
IGHM,55.218999999999994,35.694,0.0,0.0,0.0,44.5514,595.725,19.4641,0.0,17.8612,70.363
IGJ,20.0186,13.7983,501.588,47.9516,328.423,195.93099999999998,212.21599999999998,4.32342,238.87599999999998,87.5275,33.6758
IGKC,182.34599999999998,604.516,8367.3,4727.08,6002.41,5166.69,1492.04,62.7069,6672.11,1785.49,1866.18
IL23A,0.049007300000000004,0.0,0.17344400000000001,1.13321,0.314108,0.0,0.0,0.0,0.209331,0.22579000000000002,0.15148
IL33,0.8833290000000001,9.130989999999999,5.03543,0.951573,3.5217400000000003,1.73481,0.690708,0.40103,0.665625,3.8106,0.338005
INPP4B,37.1722,38.1567,31.7449,14.2795,20.183,9.697569999999999,59.8419,21.6831,10.2353,7.693789999999999,11.4627
ITM2A,5.13433,20.666999999999998,51.0475,3.90784,17.6302,9.52181,9.242230000000001,2.56933,8.71832,2.5224900000000003,2.72788
JAM2,11.2143,9.36512,29.0208,8.03298,11.0531,9.30236,13.8203,0.444035,8.92198,2.1981,2.65935
KCNK5,7.320460000000001,4.7119800000000005,0.144255,0.46611800000000003,0.294427,0.729846,0.153093,0.149882,0.700376,1.87473,4.80851
KIAA1324,6.46799,23.6354,20.3606,9.57451,126.189,15.4293,125.869,89.5923,8.7735,5.59984,177.715
KMO,1.44589,0.0,4.74343,16.8733,34.7942,4.17707,14.655,33.754,6.65857,6.06652,1.4564700000000002
KRT14,118.37100000000001,115.40700000000001,242.393,6.909330000000001,5.01213,280.186,6.890339999999999,0.980966,1582.72,4.912640000000001,2.6992700000000003
KRT16,91.0343,80.1762,22.3233,51.7403,0.6585489999999999,65.8219,1.9038599999999999,9.40847,577.869,126.281,12.7079
KRT17,105.34700000000001,252.606,355.93,111.463,8.48678,423.059,4.03414,60.619,905.3480000000001,447.583,23.1023
KRT6A,54.2242,11.3892,172.062,98.3427,4.24371,191.293,2.37252,2.72352,1570.27,215.078,22.5461
KRT6B,86.6584,14.0925,39.5844,39.5837,0.448112,93.8724,1.76653,1.0345600000000001,239.09799999999998,228.079,63.107
KYNU,14.7879,1.8988200000000002,20.7412,13.9844,44.1455,13.5045,172.138,71.5981,26.6823,17.0448,3.31682
LBP,0.573258,0.0,6.9576199999999995,0.0,6.03514,0.9664790000000001,32.7845,0.830781,0.8672129999999999,3.33742,0.0
LHFP,2.0952,0.928019,3.41442,0.971894,1.97984,0.730913,2.58615,0.411592,1.0104,0.78988,0.905259
MFAP4,1.60954,8.511239999999999,29.2715,0.646041,4.70685,0.951592,10.3604,0.410963,1.15642,3.6858400000000002,1.0410700000000002
MIA,21.0747,6.00948,3.57539,2.24355,0.644031,5.15897,0.0,0.0,2.57247,16.5155,139.753
