gene_short_name,V515-06187-A1,TNT-41,TNT-154,17-00125-8_S13Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,TNT-288,TNT-123,17-00124-3_S12Aligned_cufflinks,TNT-49,TNT-44,17-00139-2_S9Aligned_cufflinks
ABCA8,1.07397,13.0061,0.0856442,55.5194,11.9716,10.8786,4.65218,19.1922,46.919,57.5774,3.6460000000000004
ADRA2A,0.196819,1.04865,0.0192695,4.317880000000001,0.345093,0.283499,0.11800999999999999,0.730596,0.128019,0.6270140000000001,0.21834
AKAP12,3.7524300000000004,7.11901,2.75083,25.364,3.78327,16.0737,3.7973199999999996,8.16971,3.20903,29.6051,2.68102
ALDH3B2,34.613,1.4853,2.17118,14.4216,2.57587,0.561817,5.94829,0.523783,9.3486,0.0,27.7129
APOD,101.54799999999999,56.6557,28.4883,136.705,26.8391,110.571,24.5266,26.8377,473.105,551.695,8.01472
ART3,19.2103,59.7037,83.5134,0.0,6.02904,3.3811199999999997,4.06834,28.6469,31.5205,17.6012,1.5872
ASPN,31.1651,247.642,41.7317,44.1739,30.315,117.07,24.7914,11.0376,46.012,37.2942,9.948369999999999
AZGP1,64.9749,16.7207,496.663,178.998,38.5871,19.9515,99.2913,51.8361,53.7874,63.9359,1.50857
BLVRB,6.57613,12.3493,4.764390000000001,5.03918,2.90951,3.17771,2.18791,1.62151,0.257732,2.47625,1.37106
C7,0.29143,0.657578,0.06028340000000001,19.783,2.65029,2.26989,0.429463,17.412,3.14767,15.2903,0.645289
CCL5,1.03708,16.4867,28.65,2.22877,0.0,1.4270200000000002,2.78857,4.40667,50.3871,6.20512,2.11983
CD36,36.5005,79.5482,27.1698,182.748,25.0631,21.039,15.422,19.8167,71.9816,161.29,14.3767
CD52,5.15236,49.562,2.16431,0.0,7.459810000000001,1.79485,70.4409,23.7771,92.3369,76.5111,2.72221
CDC20,19.1111,9.8534,5.5199300000000004,0.0,13.8681,35.8456,22.9872,7.086989999999999,4.09511,6.29946,34.2285
CHI3L1,52.4824,62.4796,10.7803,5.63374,43.1058,14.8201,60.4696,4.73689,14.0802,19.8265,127.334
COL2A1,124.822,31.3989,0.08732410000000002,0.0,38.3583,59.1868,1.02857,0.0,26.9015,0.369471,0.569296
COL5A1,145.37,194.514,42.7856,160.153,117.96799999999999,299.16700000000003,9.17789,58.7164,37.8918,75.9328,28.6234
COL5A2,202.313,290.284,47.9239,136.536,94.7823,316.313,26.7663,38.1792,53.004,135.933,24.2914
CRAT,3.09639,10.8437,2.39557,20.776999999999997,9.62832,6.107480000000001,6.53709,14.2827,1.2801200000000001,7.360689999999999,1.5318200000000002
CROT,17.2031,4.9685,14.3596,4.49909,4.8099300000000005,10.527000000000001,2.65129,12.7956,0.6217159999999999,5.748069999999999,2.58029
CXCL10,2.29941,100.35799999999999,33.6507,0.0,17.2238,4.03918,47.5692,7.528910000000001,73.1395,56.0996,20.0542
CXCL11,0.642556,17.9766,4.87385,0.0,7.14727,1.12534,7.40885,1.4162299999999999,12.7646,1.58942,6.05504
CXCL13,0.0413495,9.70889,0.332221,0.0,4.41918,3.11947,18.4192,0.0,61.183,4.795640000000001,0.924701
CYP4F8,0.048019099999999995,0.33720500000000003,0.0,5.58269,0.0,0.703976,0.24915,0.0,0.0,3.5069199999999996,0.0
DBI,412.371,121.199,147.326,14.5811,68.0057,91.1501,347.116,21.4471,51.5853,108.177,77.3433
DEFB1,3.16262,1.04105,0.0,0.0,0.21700300000000003,0.348327,1.62327,0.0,0.0,0.977303,0.254765
DHCR24,38.1374,16.0402,11.695,26.3007,48.2115,23.7835,17.5614,3.58161,31.3659,7.285489999999999,41.1448
DUSP5,2.6614299999999997,6.1327300000000005,2.10403,17.2635,2.85197,3.3292699999999997,2.76943,6.5948199999999995,5.478680000000001,6.42948,3.5133400000000004
FABP7,2.25652,2.74168,0.357028,1.4797200000000001,1.79528,20.3719,19.9956,0.0,0.829984,1.8110099999999998,0.100483
FASN,124.609,9.581660000000001,52.6081,188.59599999999998,46.6293,18.5795,3.0175799999999997,77.9135,37.1964,6.2038400000000005,96.6952
FGFR4,2.32432,2.54454,0.327716,0.0,1.46328,3.6499900000000003,0.907833,0.0,0.0,0.634329,0.655992
FGL2,2.48121,5.03298,4.60628,5.21316,3.71159,2.4655,3.14344,9.62687,7.103689999999999,7.86297,1.62525
FOXA1,1.38574,0.137919,0.0,70.9237,0.913379,0.323396,1.76614,0.181899,23.1953,4.48069,0.595121
FOXC1,9.10755,29.7138,26.0512,12.1608,62.6473,73.7762,29.8336,1.6466900000000002,14.3622,20.1979,26.9418
GABRP,8.66089,693.341,827.9060000000001,79.957,38.9273,16.815,39.4466,269.497,498.221,162.789,383.281
