gene_short_name,V515-06187-A1,TNT-304,17-00132-8_S16Aligned_cufflinks,TNT-123,TNT-94,17-00123-8_S16Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,17-00111-2_S4_cufflinks,TNT-71,TNT-100
ABCA8,1.07397,3.65161,19.4248,4.65218,2.8494900000000003,6.17733,11.9716,13.7512,3.13612,12.9025,10.2128
ADRA2A,0.196819,0.0,3.61611,0.11800999999999999,0.0,0.984298,0.345093,0.8419840000000001,1.38168,0.12659700000000002,0.218344
AKAP12,3.7524300000000004,1.8245099999999999,5.52166,3.7973199999999996,20.2867,6.51828,3.78327,12.1297,6.91818,3.09258,6.21779
ALDH3B2,34.613,1.69334,6.775060000000001,5.94829,22.8759,8.4669,2.57587,1.86877,7.41563,24.6302,3.95048
APOD,101.54799999999999,171.87900000000002,40.374,24.5266,147.095,38.787,26.8391,91.0254,53.9198,769.0139999999999,169.25099999999998
ART3,19.2103,181.128,0.0,4.06834,22.2765,1.05535,6.02904,8.68211,0.0,47.9684,165.481
ASPN,31.1651,54.125,33.8587,24.7914,57.3841,60.2143,30.315,364.705,172.13400000000001,21.4233,26.1134
AZGP1,64.9749,300.948,12.8789,99.2913,70.096,11.2503,38.5871,14.9506,35.5573,39.1429,6.8005
BLVRB,6.57613,4.18302,10.2189,2.18791,1.2002899999999999,2.48037,2.90951,9.71763,5.90259,2.8226,1.16798
C7,0.29143,1.8841599999999998,12.4255,0.429463,0.887843,11.3646,2.65029,13.6514,2.30553,0.8062819999999999,3.11435
CCL5,1.03708,9.38296,0.0,2.78857,4.1359900000000005,10.7819,0.0,12.2628,20.6348,7.98503,19.74
CD36,36.5005,40.2595,32.1853,15.422,22.7489,14.5033,25.0631,257.01,34.8274,18.241,37.6889
CD52,5.15236,85.9483,20.3585,70.4409,0.0,18.0695,7.459810000000001,72.2506,43.6633,27.5781,134.336
CDC20,19.1111,16.8101,0.805591,22.9872,6.503340000000001,27.82,13.8681,5.4295,1.21622,7.511880000000001,8.904589999999999
CHI3L1,52.4824,5.51471,4.97049,60.4696,2.53769,3.6709,43.1058,65.1865,13.5814,304.561,24.0775
COL2A1,124.822,219.15099999999998,0.0,1.02857,6.00303,0.522,38.3583,0.056947300000000006,0.361854,0.165655,0.112568
COL5A1,145.37,19.8955,187.40400000000002,9.17789,28.5161,137.917,117.96799999999999,210.984,238.76,30.2796,29.7421
COL5A2,202.313,47.714,187.753,26.7663,26.9307,174.571,94.7823,460.01300000000003,418.121,70.6025,89.4079
CRAT,3.09639,1.28039,27.5127,6.53709,8.31426,4.87752,9.62832,5.89197,7.61619,6.561939999999999,2.41362
CROT,17.2031,4.937469999999999,9.844560000000001,2.65129,7.724880000000001,18.6583,4.8099300000000005,10.4782,9.11234,5.04884,6.30357
CXCL10,2.29941,191.918,5.4040300000000006,47.5692,20.6893,30.3093,17.2238,25.8238,26.4698,219.018,240.75900000000001
CXCL11,0.642556,27.7435,0.0,7.40885,4.12924,15.3951,7.14727,9.316130000000001,9.11358,11.3213,44.6731
CXCL13,0.0413495,38.1041,3.3446800000000003,18.4192,0.0,14.290999999999999,4.41918,19.3527,10.9874,29.1612,63.115
CYP4F8,0.048019099999999995,0.0,16.5797,0.24915,0.0,0.09912339999999999,0.0,0.0,0.0,0.0,0.0
DBI,412.371,151.89700000000002,22.3556,347.116,186.812,64.7748,68.0057,251.488,129.475,162.036,96.7272
DEFB1,3.16262,3.25182,0.0,1.62327,0.0,0.544689,0.21700300000000003,1.62226,2.63568,34.9808,3.17559
DHCR24,38.1374,9.19186,1.5266,17.5614,5.51588,53.6317,48.2115,20.2387,18.9708,41.8574,11.8349
DUSP5,2.6614299999999997,0.5457,8.864889999999999,2.76943,11.9441,8.27994,2.85197,6.05483,4.24291,3.61122,5.35534
FABP7,2.25652,18.7847,0.569974,19.9956,234.22099999999998,0.668057,1.79528,2.42951,0.111069,0.7407279999999999,0.5850310000000001
FASN,124.609,2.77579,129.708,3.0175799999999997,12.7001,147.439,46.6293,53.9528,49.9008,7.28892,11.798
FGFR4,2.32432,0.0,0.0,0.907833,0.0,7.51737,1.46328,0.225221,0.265341,0.162787,0.757059
FGL2,2.48121,4.1749,3.5266599999999997,3.14344,4.0132900000000005,8.57437,3.71159,18.1999,9.96545,4.60607,11.0687
FOXA1,1.38574,2.8839599999999996,6.5881,1.76614,52.9129,4.29772,0.913379,0.742325,5.35827,5.15771,1.26925
FOXC1,9.10755,23.4572,4.69982,29.8336,8.84632,131.829,62.6473,11.5344,15.3442,27.0297,41.8014
GABRP,8.66089,963.3739999999999,12.2303,39.4466,392.793,277.334,38.9273,61.8084,0.995849,664.1030000000001,358.421
GALNT7,12.4003,22.0505,14.665999999999999,3.9176599999999997,59.2443,26.1286,22.3963,18.4078,22.0053,30.12,29.8137
GBP1,41.394,130.41299999999998,191.46099999999998,239.40099999999998,17.1528,185.822,330.43199999999996,162.069,191.718,69.4365,388.829
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.7959890000000001,0.469542,2.50636,1.08635,0.0,0.31399699999999997
GPR87,0.9514879999999999,11.4268,0.0,0.511436,3.5010000000000003,0.40366199999999997,0.20525100000000002,0.176977,0.635927,1.21789,1.30861
GZMB,1.4986,2.90341,8.95933,1.45646,0.0,8.73698,3.3492,7.94791,11.3656,4.58183,8.787889999999999
HGD,4.21735,0.424599,2.49273,12.8727,0.0,0.826148,4.26171,1.72268,2.98406,4.08314,0.6387010000000001
HTRA1,91.2943,30.6134,105.08,12.3716,4.2443800000000005,151.22299999999998,68.2334,267.781,194.174,21.8461,46.1997
IDO1,0.29142399999999996,6.730410000000001,5.1959,5.1589599999999995,0.0,13.8538,22.6298,8.13453,9.7812,4.2683,26.7969
IGFBP4,13.3498,0.532935,34.9053,0.23827399999999999,1.46345,18.2695,20.0795,19.7173,48.2344,2.86954,1.63244
IGHM,55.218999999999994,58.2375,0.0,46.5165,5.60384,0.0,0.0,419.759,511.35900000000004,232.99900000000002,2633.01
IGJ,20.0186,358.417,113.281,86.7227,0.571862,136.656,94.8326,267.344,628.3290000000001,506.164,1101.02
IGKC,182.34599999999998,2858.74,8891.08,5601.96,84.4972,4362.61,5541.41,3901.46,11731.0,2492.68,13908.6
