gene_short_name,V515-06187-A1,TNT-275,TNT-62,TNT-41,TNT-293,17-00101-5_S19Aligned_cufflinks,TNT-14,TNT-2,TNT-111,TNT-311,TNT-289
ABCA8,1.07397,4.6609,6.7904800000000005,13.0061,8.951360000000001,0.969992,1.6867900000000002,11.3424,14.8562,34.8692,7.5326
ADRA2A,0.196819,0.629714,0.33839400000000003,1.04865,0.0,0.11788299999999999,0.10451700000000001,0.725975,1.0391700000000001,0.0496502,0.0190859
AKAP12,3.7524300000000004,4.96091,11.6889,7.11901,2.2178400000000003,3.1793,2.1604400000000004,4.33016,15.7074,15.4658,16.4518
ALDH3B2,34.613,4.76105,0.22072399999999998,1.4853,16.92,9.692,5.56607,59.8633,575.453,0.5624600000000001,0.340181
APOD,101.54799999999999,27.9631,305.796,56.6557,9.12083,100.42200000000001,10.9277,61.0149,10225.5,582.871,86.5343
ART3,19.2103,30.6309,30.5461,59.7037,0.088062,2.1157,31.6725,1.16911,0.17538499999999999,379.806,11.7816
ASPN,31.1651,30.936,53.1139,247.642,10.0876,23.3006,9.50099,8.070269999999999,130.499,46.0267,99.79700000000001
AZGP1,64.9749,0.675944,169.28900000000002,16.7207,42.7428,21.4744,31.8473,166.081,1218.82,580.643,22.8969
BLVRB,6.57613,0.581462,2.32839,12.3493,3.3330699999999998,1.61289,7.24225,3.12197,7.4401,0.5977600000000001,1.2233100000000001
C7,0.29143,4.90062,0.517314,0.657578,6.76911,0.0133464,0.419171,2.34158,2.59044,8.6817,2.7102
CCL5,1.03708,15.9024,6.883839999999999,16.4867,3.0321700000000003,1.7161099999999998,6.555389999999999,69.8738,1.97053,2.70085,1.12449
CD36,36.5005,28.1601,14.0796,79.5482,929.357,9.85445,19.3488,39.5145,94.8575,25.2541,18.9896
CD52,5.15236,41.958,22.6616,49.562,12.8056,2.0975200000000003,20.7734,205.11599999999999,24.4018,21.335,1.74964
CDC20,19.1111,12.0694,14.1862,9.8534,9.34047,18.1155,23.4345,7.6301,3.7378199999999997,8.48748,40.1167
CHI3L1,52.4824,67.2472,18.4108,62.4796,7.55722,5.95113,14.9398,84.8944,7.57694,0.922415,14.14
COL2A1,124.822,0.23309499999999997,68.7017,31.3989,0.109884,1.56677,0.8622049999999999,0.062383,0.0,0.0,47.6574
COL5A1,145.37,48.0836,60.9466,194.514,32.5814,99.6617,30.3356,43.5105,219.15400000000002,45.4507,387.034
COL5A2,202.313,82.2014,69.9364,290.284,33.3523,144.19,32.3981,58.4864,458.394,72.8625,272.664
CRAT,3.09639,2.18717,2.38769,10.8437,2.8111599999999997,1.68144,12.9929,3.44216,70.4712,0.434016,4.72182
CROT,17.2031,6.23139,6.43286,4.9685,6.16501,13.1921,3.9923599999999997,10.2353,61.6759,4.08553,11.3478
CXCL10,2.29941,69.4529,48.9493,100.35799999999999,140.839,3.2994,29.3048,100.163,3.96971,27.689,5.7301400000000005
CXCL11,0.642556,15.7259,6.47729,17.9766,34.2832,0.923691,6.51251,8.15934,0.353852,5.85182,0.569746
CXCL13,0.0413495,95.0912,19.8752,9.70889,11.5668,0.491278,7.50828,48.4832,23.2391,5.80727,1.2081899999999999
CYP4F8,0.048019099999999995,0.043461400000000004,0.46795200000000003,0.33720500000000003,73.73899999999999,0.0,0.0,0.73018,10.0194,0.149097,0.773279
DBI,412.371,83.2867,120.785,121.199,89.8314,144.903,145.792,140.363,701.686,155.366,82.4001
DEFB1,3.16262,0.0,0.0,1.04105,1.13114,7.1645199999999996,2.8024400000000003,21.423000000000002,0.0,5.24034,1.06093
DHCR24,38.1374,3.7026199999999996,18.6129,16.0402,25.4588,68.2719,86.3851,56.9426,109.75200000000001,2.58974,17.0317
DUSP5,2.6614299999999997,3.8547300000000004,3.2934900000000003,6.1327300000000005,14.419,1.50819,6.16071,13.1152,9.23302,1.8477,3.5225400000000002
FABP7,2.25652,2.26773,49.2833,2.74168,0.0,8.46856,1.2532,0.0,289.357,0.259635,13.5345
FASN,124.609,2.4485200000000003,9.07795,9.581660000000001,27.7993,52.0136,69.7638,30.5933,122.384,3.6021400000000003,7.68728
