gene_short_name,V515-06187-A1,TNT-204,TNT-231,17-00160-1_S2Aligned_cufflinks,TNT-217,17-00125-8_S13Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-67,TNT-265,TNT-240,17-00243-6_S9Aligned_cufflinks
ABCA8,1.07397,22.5552,3.8827800000000003,0.7198220000000001,13.4229,55.5194,2.66909,38.3062,2.63255,4.2240400000000005,39.5772
ADRA2A,0.196819,0.51488,1.04498,0.203424,1.51081,4.317880000000001,0.798061,0.801187,0.8604940000000001,0.0,2.18221
AKAP12,3.7524300000000004,5.24104,8.51694,1.14141,11.1246,25.364,2.76503,27.6458,4.09434,4.96255,18.6305
ALDH3B2,34.613,10.6186,10.2769,5.40626,0.0,14.4216,8.7501,33.9557,7.944780000000001,0.0,6.116709999999999
APOD,101.54799999999999,431.157,279.533,10.1478,29.5742,136.705,62.3337,850.293,3.24389,0.97078,222.14700000000002
ART3,19.2103,0.0,0.0,5.258319999999999,9.09987,0.0,1.8053599999999999,0.535039,29.0535,267.907,0.6155229999999999
ASPN,31.1651,25.8341,29.2722,21.9529,13.1715,44.1739,28.774,175.454,6.48189,11.6138,114.85700000000001
AZGP1,64.9749,91.8052,316.875,45.7678,0.26194,178.998,6.16124,391.01300000000003,109.885,1.1711799999999999,63.7556
BLVRB,6.57613,5.31772,2.59229,3.17095,0.6578510000000001,5.03918,1.9429400000000001,3.14037,2.82875,1.01991,4.7669999999999995
C7,0.29143,1.40697,3.3833699999999998,0.7452850000000001,94.6797,19.783,1.22548,52.2921,16.1298,0.303186,24.3373
CCL5,1.03708,10.1049,4.01815,0.0,21.6272,2.22877,10.7786,15.48,6.73407,56.2359,11.5664
CD36,36.5005,78.1711,21.4639,5.95287,26.1072,182.748,9.62158,175.37400000000002,69.7685,0.331216,228.418
CD52,5.15236,132.064,72.6561,12.1882,592.516,0.0,8.39226,39.5948,370.82300000000004,225.58700000000002,53.8862
CDC20,19.1111,2.72803,24.5621,12.6869,11.5408,0.0,16.0755,0.48260699999999995,22.7002,1.93134,0.705943
CHI3L1,52.4824,0.9157209999999999,0.0151373,40.6979,1.3713799999999998,5.63374,6.07407,4.42293,22.1167,12.467,20.1565
COL2A1,124.822,0.014582499999999998,0.111929,0.0209768,1.01694,0.0,1.0013,0.0,0.12088499999999999,12.0136,0.413376
COL5A1,145.37,23.136,87.8761,51.4022,14.6414,160.153,75.7083,143.662,6.09765,6.52259,204.403
COL5A2,202.313,44.7471,82.9914,114.544,14.9289,136.536,115.303,330.43,8.16721,13.8008,352.65
CRAT,3.09639,8.49002,4.96534,20.0761,2.88125,20.776999999999997,1.6138700000000001,8.76498,2.73679,4.80961,9.947460000000001
CROT,17.2031,12.995999999999999,10.7887,6.76398,7.566439999999999,4.49909,12.8803,12.809000000000001,5.86815,0.07272569999999999,15.6503
CXCL10,2.29941,65.778,39.3975,31.7238,41.7207,0.0,33.681,8.316880000000001,56.437,630.34,15.3334
CXCL11,0.642556,12.7703,14.1107,17.1679,15.1105,0.0,13.7347,1.3431600000000001,20.7628,44.9543,8.71699
CXCL13,0.0413495,12.2053,52.2161,5.12899,157.641,0.0,12.9616,2.82177,79.1886,91.6347,5.5519099999999995
CYP4F8,0.048019099999999995,0.254896,0.010545,0.0,0.0,5.58269,0.0,0.0558274,0.134844,0.04148230000000001,4.40353
DBI,412.371,305.276,105.985,180.298,54.1796,14.5811,82.3534,146.65200000000002,206.40099999999998,118.743,68.6185
DEFB1,3.16262,2.1574400000000002,6.56505,1.3347200000000001,0.0,0.0,2.1062,0.5832109999999999,5.6752,0.0,0.460946
DHCR24,38.1374,9.13265,52.1513,40.4215,1.9453900000000002,26.3007,60.8572,58.5741,38.6224,0.817277,27.6291
DUSP5,2.6614299999999997,3.80245,12.2249,0.8976430000000001,6.536919999999999,17.2635,2.8738,10.2672,3.7219599999999997,19.3721,12.0934
FABP7,2.25652,0.529954,0.166318,0.256128,1.1618700000000002,1.4797200000000001,10.515999999999998,0.504147,0.0,0.665736,1.58738
FASN,124.609,27.5321,11.447000000000001,52.2629,8.13079,188.59599999999998,77.1645,33.9861,22.6256,2.22264,68.9283
FGFR4,2.32432,7.755260000000001,0.0,0.592591,3.89774,0.0,1.22252,2.0723599999999998,0.794633,0.0,0.41132799999999997
FGL2,2.48121,7.284560000000001,11.6829,7.74095,24.3703,5.21316,8.12208,8.229280000000001,6.590339999999999,1.62754,8.60775
FOXA1,1.38574,121.10799999999999,107.32,1.38504,0.0,70.9237,0.46939899999999996,41.2711,3.09199,0.212673,36.4209
FOXC1,9.10755,5.1843699999999995,5.24262,48.0158,5.21185,12.1608,88.3177,9.42451,34.8431,75.5876,10.9936
GABRP,8.66089,11.243,40.2214,347.089,12.3893,79.957,227.37099999999998,101.90700000000001,447.85699999999997,316.714,12.1721
GALNT7,12.4003,31.3368,45.0253,24.7308,27.3677,20.9316,18.5846,43.7686,11.2769,14.0325,25.96
GBP1,41.394,194.60299999999998,82.1542,183.03400000000002,212.554,93.6234,194.71900000000002,116.33,268.497,470.39300000000003,243.862
GCHFR,0.42253100000000005,0.235974,0.0,0.0872098,0.383667,8.82467,0.19724,0.176906,0.19162,0.0,0.737737
GPR87,0.9514879999999999,5.54019,0.0,0.0774054,1.7766400000000002,0.0,0.9885799999999999,0.16933,0.251076,0.10629200000000001,0.46162299999999995
GZMB,1.4986,5.68281,4.58215,3.3163400000000003,16.9195,6.68157,8.62832,1.42534,7.258210000000001,54.2343,5.20754
HGD,4.21735,7.773969999999999,6.21582,0.248937,0.0,0.0,0.449058,22.0706,0.775345,0.041827699999999995,3.72477
HTRA1,91.2943,28.7803,30.4542,38.5339,10.9488,84.7862,55.8889,211.365,9.89311,6.5399400000000005,381.336
IDO1,0.29142399999999996,29.6198,86.3031,9.38429,21.7554,0.0,48.9137,1.9392099999999999,21.2085,3.4327,3.1867799999999997
IGFBP4,13.3498,1.63285,2.0754799999999998,3.68364,0.823572,60.3488,18.1202,4.4985599999999994,0.701976,0.0745325,42.5683
IGHM,55.218999999999994,241.665,483.259,261.798,902.7230000000001,31.0737,0.0,336.39300000000003,305.596,597.3530000000001,0.0
IGJ,20.0186,968.825,690.221,93.7332,400.73,110.391,238.87599999999998,2010.26,266.589,100.61200000000001,501.588
IGKC,182.34599999999998,3663.16,7960.46,3271.85,4419.39,689.578,6672.11,9916.74,2069.78,7653.8,8367.3
IL23A,0.049007300000000004,0.0,0.0,0.0419799,0.0,0.0,0.209331,0.110175,0.339316,0.0,0.17344400000000001
IL33,0.8833290000000001,2.37094,10.9333,0.23683600000000002,7.435289999999999,3.16025,0.665625,13.0023,8.029069999999999,0.268377,5.03543
INPP4B,37.1722,15.7299,81.5535,7.95597,64.1763,22.2753,10.2353,53.3911,25.6114,8.53091,31.7449
ITM2A,5.13433,35.1851,66.1656,8.61838,54.1887,8.81775,8.71832,35.0003,28.377,0.10563199999999999,51.0475
JAM2,11.2143,6.6045300000000005,1.47935,3.97655,6.64111,19.4021,8.92198,22.9359,3.6322699999999997,0.0881896,29.0208
KCNK5,7.320460000000001,0.248838,0.587631,4.97692,0.535433,1.11295,0.700376,0.48194899999999996,0.324207,0.10784200000000001,0.144255
KIAA1324,6.46799,35.5909,8.24147,0.90376,8.98162,28.0925,8.7735,77.9209,29.7423,10.908,20.3606
KMO,1.44589,17.6331,10.9062,3.05037,11.5546,10.8902,6.65857,40.0984,35.9784,2.61844,4.74343
KRT14,118.37100000000001,4.93714,2.55607,0.9092540000000001,0.375188,151.061,1582.72,9.53856,0.928637,0.409527,242.393
KRT16,91.0343,0.516638,1.0494700000000001,36.6867,0.0,34.7157,577.869,3.93344,8.10305,0.552605,22.3233
