gene_short_name,V515-06187-A1,17-00160-1_S2Aligned_cufflinks,TNT-13,TNT-2,TNT-53,17-00149-2_S3_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-132,17-00166-3_S11Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,17-00118-2_S5Aligned_cufflinks
ABCA8,1.07397,0.7198220000000001,26.684,11.3424,12.7482,32.3573,10.1006,13.1009,0.8668450000000001,11.9716,24.4092
ADRA2A,0.196819,0.203424,0.0,0.725975,0.09945930000000001,1.055,0.666199,0.0,0.32516300000000004,0.345093,3.19406
AKAP12,3.7524300000000004,1.14141,11.3162,4.33016,2.72579,14.0612,3.59153,10.4829,3.7136400000000003,3.78327,14.0568
ALDH3B2,34.613,5.40626,8.65127,59.8633,0.586071,3.87839,57.0737,14.3204,3.38865,2.57587,3.2972599999999996
APOD,101.54799999999999,10.1478,194.972,61.0149,108.63600000000001,446.564,2264.75,905.295,35.2126,26.8391,185.233
ART3,19.2103,5.258319999999999,1.79984,1.16911,384.85,12.8534,2.61983,0.0,98.6914,6.02904,0.0
ASPN,31.1651,21.9529,31.9125,8.070269999999999,30.5316,14.5927,17.5097,168.678,41.3579,30.315,16.7672
AZGP1,64.9749,45.7678,36.6707,166.081,239.112,40.5716,375.78,66.7659,376.11699999999996,38.5871,72.8132
BLVRB,6.57613,3.17095,0.0,3.12197,2.26478,9.78599,9.26335,5.60583,3.4410800000000004,2.90951,1.8396400000000002
C7,0.29143,0.7452850000000001,0.275013,2.34158,2.08852,91.1891,11.5843,39.2885,0.843649,2.65029,24.8705
CCL5,1.03708,0.0,4.13896,69.8738,29.3619,37.03,0.0,37.3394,4.18384,0.0,3.56215
CD36,36.5005,5.95287,57.7532,39.5145,35.2486,166.33900000000003,40.6657,220.64,4.51973,25.0631,119.60700000000001
CD52,5.15236,12.1882,17.8491,205.11599999999999,13.2733,25.8994,19.3989,145.50799999999998,5.31024,7.459810000000001,2.24641
CDC20,19.1111,12.6869,6.74247,7.6301,16.9774,5.02223,2.81438,1.11341,11.8555,13.8681,0.0
CHI3L1,52.4824,40.6979,7.768730000000001,84.8944,47.8151,18.9358,2.7861,0.735538,6.08895,43.1058,12.7697
COL2A1,124.822,0.0209768,1.8373700000000002,0.062383,31.4125,0.127527,0.157048,0.0,0.927259,38.3583,0.0
COL5A1,145.37,51.4022,150.34,43.5105,57.393,27.3903,57.8154,86.3879,124.721,117.96799999999999,52.95
COL5A2,202.313,114.544,118.141,58.4864,62.0196,92.603,105.309,115.257,174.918,94.7823,24.6562
CRAT,3.09639,20.0761,24.9574,3.44216,4.58664,24.4152,30.4788,49.512,5.89456,9.62832,10.0312
CROT,17.2031,6.76398,10.412,10.2353,3.7599699999999996,2.63143,37.0803,76.9528,7.40678,4.8099300000000005,11.6213
CXCL10,2.29941,31.7238,7.04369,100.163,1027.76,49.8271,17.8862,60.3684,28.1471,17.2238,3.6803
CXCL11,0.642556,17.1679,0.0,8.15934,117.484,13.9609,3.95835,0.8091119999999999,12.1489,7.14727,0.0
CXCL13,0.0413495,5.12899,37.576,48.4832,13.8145,13.0693,5.9954,55.4755,3.38269,4.41918,0.0
CYP4F8,0.048019099999999995,0.0,0.0,0.73018,0.446875,0.0,0.20556999999999997,6.695710000000001,0.0,0.0,0.0
DBI,412.371,180.298,154.939,140.363,341.228,98.0767,141.197,281.14,46.0439,68.0057,19.5872
DEFB1,3.16262,1.3347200000000001,1.60599,21.423000000000002,1.69422,1.7242400000000002,0.207869,5.28935,0.498385,0.21700300000000003,0.0
DHCR24,38.1374,40.4215,0.731201,56.9426,20.8399,13.2626,108.111,36.6759,26.1331,48.2115,14.4419
DUSP5,2.6614299999999997,0.8976430000000001,0.046718300000000004,13.1152,4.52794,5.49924,1.75253,10.068,2.81645,2.85197,11.1119
FABP7,2.25652,0.256128,23.0699,0.0,0.566084,1.9464400000000002,7.675910000000001,0.260094,0.40384200000000003,1.79528,0.428058
FASN,124.609,52.2629,2.66772,30.5933,10.4043,63.1845,636.474,209.081,45.6413,46.6293,23.8917
FGFR4,2.32432,0.592591,0.198193,7.583880000000001,0.23045100000000002,0.9911909999999999,12.591,12.2067,1.8959099999999998,1.46328,1.08178
FGL2,2.48121,7.74095,2.3628299999999998,13.7442,5.875319999999999,22.3538,5.83078,8.49231,5.5827599999999995,3.71159,3.5442400000000003
FOXA1,1.38574,1.38504,0.0,55.8235,0.2382,8.119439999999999,154.41299999999998,88.9966,3.05573,0.913379,90.0389
FOXC1,9.10755,48.0158,35.8813,2.45497,34.1132,8.852730000000001,3.4336599999999997,2.14003,70.048,62.6473,15.4442
GABRP,8.66089,347.089,383.94699999999995,0.9442809999999999,837.778,9.4546,1.5920299999999998,21.6841,457.05400000000003,38.9273,123.86
GALNT7,12.4003,24.7308,7.36137,57.6309,12.0992,43.6994,105.712,29.4882,38.6016,22.3963,17.0883
GBP1,41.394,183.03400000000002,115.376,297.692,169.81099999999998,113.411,66.9108,119.359,191.847,330.43199999999996,50.1795
GCHFR,0.42253100000000005,0.0872098,0.0,0.886545,0.0,0.28915599999999997,0.55625,0.27118200000000003,0.525515,0.469542,0.0
GPR87,0.9514879999999999,0.0774054,8.19588,0.0,0.6578970000000001,0.07313430000000001,0.048275,7.79938,8.13279,0.20525100000000002,1.69062
GZMB,1.4986,3.3163400000000003,4.32756,29.9223,5.61985,21.1877,2.1377900000000003,31.8713,0.8774620000000001,3.3492,0.0
HGD,4.21735,0.248937,0.0,6.07336,0.533701,19.0091,138.276,10.573,2.14065,4.26171,0.460552
HTRA1,91.2943,38.5339,16.2643,34.4731,18.0935,142.372,49.4055,81.7669,76.5058,68.2334,47.1622
IDO1,0.29142399999999996,9.38429,3.5529300000000004,30.9316,14.6102,95.1002,3.06081,25.0906,10.7333,22.6298,0.0
IGFBP4,13.3498,3.68364,2.78036,3.4229199999999995,2.04998,90.76100000000001,13.3171,7.65827,9.77887,20.0795,70.1925
IGHM,55.218999999999994,261.798,57.5582,1396.31,45.6794,0.0,0.0,172.449,189.21,0.0,86.3239
IGJ,20.0186,93.7332,192.972,761.952,140.38299999999998,242.19299999999998,328.423,370.1,121.97,94.8326,279.78700000000003
IGKC,182.34599999999998,3271.85,298.13599999999997,30004.8,503.449,1951.67,6002.41,1759.1,2977.05,5541.41,1148.8
IL23A,0.049007300000000004,0.0419799,0.0,1.4892,0.253118,0.0,0.314108,0.0,0.123057,0.0,0.0
IL33,0.8833290000000001,0.23683600000000002,1.92829,1.94905,0.556894,8.54754,3.5217400000000003,7.50391,0.48503500000000005,0.15948800000000002,13.1878
INPP4B,37.1722,7.95597,6.210430000000001,40.8309,7.195010000000001,41.3692,20.183,53.3265,10.4929,11.7989,50.4525
ITM2A,5.13433,8.61838,44.1535,68.16,12.1728,21.2462,17.6302,144.04399999999998,6.25922,2.32602,22.506
JAM2,11.2143,3.97655,18.4318,7.89353,4.91331,35.404,11.0531,10.4549,2.39053,4.97098,36.0985
KCNK5,7.320460000000001,4.97692,0.0,0.187149,0.602485,0.997713,0.294427,0.0,3.7345099999999998,4.70967,1.64673
KIAA1324,6.46799,0.90376,24.4954,55.1968,10.5274,28.0876,126.189,26.2765,4.61868,13.901,18.2397
KMO,1.44589,3.05037,5.24219,15.1833,14.9961,20.8749,34.7942,42.1064,3.72039,5.3916,3.6864800000000004
KRT14,118.37100000000001,0.9092540000000001,123.369,0.0,0.707408,40.7542,5.01213,18.8049,456.65,1441.07,394.19
KRT16,91.0343,36.6867,32.6146,0.579715,18.87,9.977030000000001,0.6585489999999999,2.54488,133.63299999999998,192.165,67.3251
KRT17,105.34700000000001,137.314,44.3352,21.4388,16.6569,166.27900000000002,8.48678,15.6965,144.903,698.796,1029.97
KRT6A,54.2242,10.3745,112.715,5.09093,17.2934,3.9393800000000003,4.24371,0.053393600000000006,26.9924,601.4630000000001,42.1492
KRT6B,86.6584,105.963,13.9964,0.33282399999999995,35.8075,25.5333,0.448112,0.8383780000000001,13.1079,218.145,58.21
KYNU,14.7879,6.34854,22.9316,20.1823,16.0255,19.287,44.1455,145.011,6.43355,26.0806,4.379630000000001
LBP,0.573258,0.24971,0.0,0.37056999999999995,2.55733,0.35496300000000003,6.03514,5.49965,0.12130099999999999,0.497167,0.6302840000000001
LHFP,2.0952,0.46170900000000004,0.0,1.1423,0.0936955,4.33856,1.97984,3.7053300000000005,0.9247780000000001,0.65137,6.1212800000000005
MFAP4,1.60954,1.0224799999999998,8.21735,4.55944,1.21515,40.5223,4.70685,19.215,2.0764099999999996,2.17095,30.8398
MIA,21.0747,0.5800109999999999,1.6186399999999999,0.45022299999999993,8.06811,5.89406,0.644031,0.0,15.2975,75.0684,10.3012
MID1,36.2366,11.5278,4.532030000000001,14.940999999999999,10.9874,36.4808,3.51415,22.0039,34.6828,23.1131,13.2023
MYBL1,4.603619999999999,10.6239,97.8265,4.27869,145.50799999999998,13.8568,2.22804,9.64146,64.6053,9.72171,1.04872
NEK2,17.1321,26.3562,13.8283,7.57769,78.344,2.19977,6.4397,3.18495,26.2258,6.373819999999999,0.0
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0499616,0.11674100000000001,0.230461,0.0,0.0,0.0817462,0.10363599999999999
OGN,1.27872,1.35366,13.7195,6.09545,18.1887,29.3232,6.22191,80.9535,1.1390200000000001,1.9651299999999998,18.294
PI3,0.0,1.8968599999999998,0.0,0.0,4.59305,10.7888,0.0,0.0,0.255808,1.01494,12.3687
PLEKHB1,14.583,5.0627699999999995,0.0,1.03345,0.313393,6.68156,0.809535,0.0,6.752510000000001,5.15455,2.82605
PMAIP1,1.6239299999999999,2.45811,0.0,0.335407,3.4954300000000003,0.8192229999999999,0.21333600000000003,0.0,3.3964199999999996,7.46023,1.26956
PSMB9,0.0,0.0,2.88786,30.6622,6.66335,0.0,0.0,16.4014,0.0,0.0,7.70055
PTGDS,1.49063,1.8430900000000001,0.0,33.7755,0.588428,59.3874,2.3752400000000002,6.727469999999999,1.6732900000000002,6.09591,15.6347
RARRES3,10.7933,6.713660000000001,28.1044,58.6398,7.36159,27.1692,26.589000000000002,37.6985,26.6514,19.8285,1.02773
RTP4,0.772275,3.2141900000000003,7.55152,2.85869,2.7307099999999997,5.84245,1.25284,3.84331,5.59083,2.55629,0.0
S100A1,196.638,13.8277,2.6609,0.0,28.8386,4.15144,19.0594,0.0,129.17700000000002,31.4616,3.69956
S100A7,6.579160000000001,16.7462,3.57573,0.0,226.52700000000002,10.9799,90.7809,37.4403,4.80324,9.91671,37.0075
S100A8,3.4999599999999997,7.4687399999999995,0.0,8.04674,44.2431,13.3072,24.2471,74.959,5.70424,9.22964,37.781
