gene_short_name,V515-06187-A1,17-00113-4_S11_cufflinks,TNT-117,TNT-211,TNT-277,17-00280-7_S4Aligned_cufflinks,TNT-94,TNT-187,TNT-220,17-00125-8_S13Aligned_cufflinks,TNT-313
ABCA8,1.07397,15.3024,14.5549,61.2901,126.537,1.9610400000000001,2.8494900000000003,12.5347,29.3376,55.5194,11.8392
ADRA2A,0.196819,1.17333,1.06228,0.395498,0.268735,0.330945,0.0,0.06890460000000001,1.45258,4.317880000000001,0.166689
AKAP12,3.7524300000000004,3.4871199999999996,1.6917400000000002,10.4024,21.3352,1.98968,20.2867,10.9667,15.2167,25.364,5.92393
ALDH3B2,34.613,0.0,20.3454,1.13534,3.3049800000000005,75.8959,22.8759,7.429460000000001,0.906112,14.4216,0.129083
APOD,101.54799999999999,364.67199999999997,63.9205,44.836000000000006,274.556,25.2137,147.095,32.7622,121.15,136.705,68.6262
ART3,19.2103,34.7165,17.0419,8.18542,0.0,0.025776499999999997,22.2765,3.3322,53.4512,0.0,5.75635
ASPN,31.1651,24.2658,23.7047,6.6100699999999994,80.4627,12.2085,57.3841,55.6868,24.9223,44.1739,30.4671
AZGP1,64.9749,1.9705,11.4011,115.596,12.0988,140.03,70.096,85.9447,129.656,178.998,86.0315
BLVRB,6.57613,1.3641299999999998,1.5270299999999999,2.0169,0.734987,4.51035,1.2002899999999999,2.38092,1.24432,5.03918,2.56904
C7,0.29143,1.0167,0.964774,68.3765,322.762,1.8111099999999998,0.887843,4.16421,368.54,19.783,2.9121599999999996
CCL5,1.03708,18.6956,24.8368,5.11297,13.4918,0.0,4.1359900000000005,2.9988599999999996,16.9124,2.22877,6.95546
CD36,36.5005,17.7305,19.3201,9.93661,51.4948,13.3628,22.7489,36.7609,25.9295,182.748,7.603460000000001
CD52,5.15236,10.3919,108.542,147.344,437.41,23.5318,0.0,9.19472,233.482,0.0,146.87
CDC20,19.1111,13.2209,11.3241,1.34979,0.0293837,8.15715,6.503340000000001,15.332,0.0,0.0,4.3525599999999995
CHI3L1,52.4824,14.252,49.0583,1.69353,0.246048,3.3229800000000003,2.53769,9.607999999999999,3.21441,5.63374,122.696
COL2A1,124.822,40.7805,0.0492249,0.726554,0.0,0.019504300000000002,6.00303,0.771233,0.333077,0.0,0.48526499999999995
COL5A1,145.37,68.1556,36.8377,11.6013,39.8868,44.028,28.5161,147.105,10.2585,160.153,57.3617
COL5A2,202.313,101.402,37.1575,8.718119999999999,67.0038,82.8314,26.9307,314.26599999999996,17.6737,136.536,79.4514
CRAT,3.09639,2.69333,2.27399,2.71205,1.53874,24.1691,8.31426,6.443,4.51501,20.776999999999997,0.906711
