gene_short_name,V515-06187-A1,TNT-304,TNT-132,TNT-35,17-00280-7_S4Aligned_cufflinks,17-00243-6_S9Aligned_cufflinks,TNT-167,TNT-14,TNT-283,TNT-83,TNT-57
ABCA8,1.07397,3.65161,13.1009,16.6291,1.9610400000000001,39.5772,2.02615,1.6867900000000002,5.2258,5.2367099999999995,6.46901
ADRA2A,0.196819,0.0,0.0,0.9818889999999999,0.330945,2.18221,0.0,0.10451700000000001,0.0,0.048419699999999996,0.408656
AKAP12,3.7524300000000004,1.8245099999999999,10.4829,12.7669,1.98968,18.6305,7.73556,2.1604400000000004,3.43169,10.1537,6.26016
ALDH3B2,34.613,1.69334,14.3204,73.376,75.8959,6.116709999999999,172.847,5.56607,2.4243200000000003,11.9552,0.10081699999999999
APOD,101.54799999999999,171.87900000000002,905.295,4574.95,25.2137,222.14700000000002,7071.89,10.9277,134.119,45.576,51.8919
ART3,19.2103,181.128,0.0,0.887626,0.025776499999999997,0.6155229999999999,0.0,31.6725,1.3833,1.52685,29.1496
ASPN,31.1651,54.125,168.678,16.949,12.2085,114.85700000000001,45.1213,9.50099,148.766,19.273,78.5235
AZGP1,64.9749,300.948,66.7659,367.6,140.03,63.7556,166.08900000000003,31.8473,6.21353,89.7751,118.51799999999999
BLVRB,6.57613,4.18302,5.60583,4.5501,4.51035,4.7669999999999995,25.1259,7.24225,3.29221,6.63001,4.3314699999999995
C7,0.29143,1.8841599999999998,39.2885,24.8307,1.8111099999999998,24.3373,0.157557,0.419171,1.21194,1.0988,2.87842
CCL5,1.03708,9.38296,37.3394,20.5653,0.0,11.5664,1.86065,6.555389999999999,13.0437,8.35195,3.70974
CD36,36.5005,40.2595,220.64,17.7795,13.3628,228.418,25.8007,19.3488,37.5269,764.051,21.4543
CD52,5.15236,85.9483,145.50799999999998,127.084,23.5318,53.8862,26.8185,20.7734,9.26877,28.8448,16.7951
CDC20,19.1111,16.8101,1.11341,6.233619999999999,8.15715,0.705943,4.66745,23.4345,9.884360000000001,6.66027,26.4927
CHI3L1,52.4824,5.51471,0.735538,8.07722,3.3229800000000003,20.1565,1.77787,14.9398,1.1316899999999999,3.39355,15.99
COL2A1,124.822,219.15099999999998,0.0,0.182251,0.019504300000000002,0.413376,1.9458900000000001,0.8622049999999999,1.11024,0.13314700000000002,0.548056
COL5A1,145.37,19.8955,86.3879,63.0796,44.028,204.403,147.642,30.3356,30.5437,51.9884,87.4963
COL5A2,202.313,47.714,115.257,92.2053,82.8314,352.65,115.101,32.3981,90.4159,109.75200000000001,121.088
CRAT,3.09639,1.28039,49.512,21.7538,24.1691,9.947460000000001,22.9121,12.9929,1.0920100000000001,9.24005,8.625630000000001
CROT,17.2031,4.937469999999999,76.9528,11.1741,15.8075,15.6503,39.1676,3.9923599999999997,7.69125,16.4538,4.78488
CXCL10,2.29941,191.918,60.3684,75.8828,50.6872,15.3334,8.31703,29.3048,57.2712,54.7547,4.72286
CXCL11,0.642556,27.7435,0.8091119999999999,14.3433,10.4707,8.71699,0.0,6.51251,9.65099,29.7078,0.9768040000000001
CXCL13,0.0413495,38.1041,55.4755,54.2101,11.7207,5.5519099999999995,1116.82,7.50828,30.5927,20.3493,2.6762200000000003
