gene_short_name,V515-06187-A1,TNT-231,17-00165-0_S10Aligned_cufflinks,TNT-113,TNT-318,17-00270-5_S14Aligned_cufflinks,TNT-275,TNT-245,TNT-4,TNT-123,TNT-16
ABCA8,1.07397,3.8827800000000003,16.9844,6.8020000000000005,1.6026799999999999,2.10963,4.6609,8.9799,37.7185,4.65218,16.1221
ADRA2A,0.196819,1.04498,0.861454,1.08531,0.37137,0.785147,0.629714,0.139203,4.021059999999999,0.11800999999999999,1.7823
AKAP12,3.7524300000000004,8.51694,6.211130000000001,12.1145,7.96738,3.9364199999999996,4.96091,5.12106,17.7207,3.7973199999999996,14.6167
ALDH3B2,34.613,10.2769,1.1644700000000001,4.95691,1.0129299999999999,173.954,4.76105,4.80485,42.5699,5.94829,303.041
APOD,101.54799999999999,279.533,126.973,207.709,29.2845,1702.36,27.9631,6.02412,2583.61,24.5266,3948.76
ART3,19.2103,0.0,44.8952,4.94533,123.448,0.0,30.6309,5.12479,0.0,4.06834,0.0
ASPN,31.1651,29.2722,13.6802,14.3444,98.3062,97.1702,30.936,12.6273,315.638,24.7914,169.588
AZGP1,64.9749,316.875,200.774,17.8315,1.34766,433.668,0.675944,0.815736,298.58,99.2913,362.406
BLVRB,6.57613,2.59229,4.50545,3.42228,2.3151200000000003,17.5144,0.581462,2.28742,7.36637,2.18791,6.560339999999999
C7,0.29143,3.3833699999999998,14.7516,1.1787,0.16028199999999998,0.913499,4.90062,11.4507,8.536660000000001,0.429463,16.1138
CCL5,1.03708,4.01815,12.1232,31.8243,17.1213,0.0,15.9024,4.07395,13.302999999999999,2.78857,2.45249
CD36,36.5005,21.4639,83.1513,31.2782,44.9068,5.78937,28.1601,9.4337,100.477,15.422,33.7502
CD52,5.15236,72.6561,40.0504,157.061,94.2685,25.8947,41.958,207.293,48.9762,70.4409,9.981489999999999
CDC20,19.1111,24.5621,9.73773,50.0459,13.9145,2.98538,12.0694,4.63374,2.9675599999999998,22.9872,4.69409
CHI3L1,52.4824,0.0151373,37.6528,12.6521,68.8217,16.8958,67.2472,1.14299,5.7134,60.4696,2.78629
COL2A1,124.822,0.111929,1.3761700000000001,0.0,3.97345,0.0,0.23309499999999997,0.0,0.149369,1.02857,0.0761304
COL5A1,145.37,87.8761,43.5904,13.4753,137.63,159.398,48.0836,19.2176,225.483,9.17789,148.389
COL5A2,202.313,82.9914,65.8261,46.0854,225.74099999999999,332.476,82.2014,12.1055,308.353,26.7663,246.925
CRAT,3.09639,4.96534,5.4019,19.5146,4.9586,35.1876,2.18717,6.39344,14.7289,6.53709,23.7683
CROT,17.2031,10.7887,8.936739999999999,14.5467,14.1979,61.1756,6.23139,14.0462,47.6286,2.65129,70.0792
CXCL10,2.29941,39.3975,19.6909,290.819,130.123,47.1377,69.4529,69.0365,39.4233,47.5692,2.78132
CXCL11,0.642556,14.1107,7.802810000000001,36.1052,13.0947,17.4057,15.7259,12.5715,8.87846,7.40885,0.439709
CXCL13,0.0413495,52.2161,17.615,155.442,28.7339,13.6215,95.0912,43.5915,46.0943,18.4192,0.740487
CYP4F8,0.048019099999999995,0.010545,0.362664,0.0,0.0,2.87166,0.043461400000000004,10.0754,27.8697,0.24915,1.66215
DBI,412.371,105.985,113.507,147.908,116.994,458.19199999999995,83.2867,37.6406,273.298,347.116,229.267
DEFB1,3.16262,6.56505,0.49630100000000005,0.0,0.610028,2.34702,0.0,10.5864,1.9527599999999998,1.62327,7.23493
DHCR24,38.1374,52.1513,28.1741,9.0368,11.4754,130.19799999999998,3.7026199999999996,29.3965,25.3035,17.5614,160.55
DUSP5,2.6614299999999997,12.2249,3.21569,6.14911,3.1831,3.94306,3.8547300000000004,5.5220400000000005,9.615960000000001,2.76943,19.7283
FABP7,2.25652,0.166318,1.89392,0.048168800000000005,0.788269,202.65,2.26773,0.0,1.97922,19.9956,4.11583
FASN,124.609,11.447000000000001,103.23200000000001,2.73138,9.75475,778.4830000000001,2.4485200000000003,1.73233,69.4728,3.0175799999999997,955.9889999999999
FGFR4,2.32432,0.0,2.18025,0.0,0.0277075,0.55462,0.464383,0.0,1.93565,0.907833,13.4786
FGL2,2.48121,11.6829,11.3333,14.189,7.74637,10.955,6.60571,11.3854,18.1586,3.14344,3.3399400000000004
FOXA1,1.38574,107.32,2.3287299999999997,0.184148,0.7537020000000001,98.2355,2.06513,18.2225,44.0487,1.76614,106.896
FOXC1,9.10755,5.24262,49.3215,38.9412,32.566,1.00065,35.8189,10.5082,6.6412,29.8336,4.09098
GABRP,8.66089,40.2214,213.666,427.715,262.378,1.14783,2.98012,591.755,3.7613199999999996,39.4466,2.34216
GALNT7,12.4003,45.0253,30.3282,32.677,19.94,43.2333,25.0354,38.4835,29.7102,3.9176599999999997,103.531
GBP1,41.394,82.1542,174.017,282.29,656.55,151.737,129.284,138.955,117.684,239.40099999999998,76.4035
GCHFR,0.42253100000000005,0.0,0.13203900000000002,0.0,0.2555,2.0417099999999997,0.0,0.0,0.344589,0.0,1.26429
GPR87,0.9514879999999999,0.0,0.09515549999999999,0.0,0.37691199999999997,1.74747,1.75632,2.33446,0.0,0.511436,0.6164390000000001
