gene_short_name,V515-06187-A1,17-00156-7_S13Aligned_cufflinks,TNT-311,TNT-132,TNT-300,17-00283-0_S6Aligned_cufflinks,TNT-14,TNT-76,TNT-183,TNT-166,TNT-239
ABCA8,1.07397,0.0,34.8692,13.1009,2.02342,13.7512,1.6867900000000002,1.7120799999999998,3.81267,8.041939999999999,6.3693599999999995
ADRA2A,0.196819,0.0,0.0496502,0.0,0.019426099999999998,0.8419840000000001,0.10451700000000001,0.216004,0.0692467,0.17244400000000001,0.621933
AKAP12,3.7524300000000004,1.81444,15.4658,10.4829,1.30359,12.1297,2.1604400000000004,4.07696,8.8469,11.4176,7.243539999999999
ALDH3B2,34.613,0.0,0.5624600000000001,14.3204,11.2568,1.86877,5.56607,1.20211,38.4582,11.936,6.832489999999999
APOD,101.54799999999999,147.881,582.871,905.295,4.160830000000001,91.0254,10.9277,226.99099999999999,180.386,59.2515,13.232000000000001
ART3,19.2103,0.0,379.806,0.0,547.518,8.68211,31.6725,61.9652,0.0,20.1966,0.155376
ASPN,31.1651,0.943362,46.0267,168.678,11.5862,364.705,9.50099,61.5295,31.8742,58.4273,7.229310000000001
AZGP1,64.9749,99.7284,580.643,66.7659,175.447,14.9506,31.8473,279.97,358.98699999999997,279.16200000000003,20.3111
BLVRB,6.57613,0.0,0.5977600000000001,5.60583,0.0,9.71763,7.24225,2.58846,6.526619999999999,3.27208,1.9114400000000002
C7,0.29143,0.0,8.6817,39.2885,0.34566199999999997,13.6514,0.419171,0.703238,4.1618900000000005,1.81001,63.4141
CCL5,1.03708,0.0,2.70085,37.3394,3.9392199999999997,12.2628,6.555389999999999,10.1325,5.8518300000000005,2.824,6.15495
CD36,36.5005,0.0,25.2541,220.64,11.0441,257.01,19.3488,9.871830000000001,18.5522,87.4212,25.2455
CD52,5.15236,0.0,21.335,145.50799999999998,21.7633,72.2506,20.7734,16.4339,27.578000000000003,16.3847,884.803
CDC20,19.1111,0.0,8.48748,1.11341,26.3353,5.4295,23.4345,20.9927,14.1964,15.1124,8.33313
CHI3L1,52.4824,0.0,0.922415,0.735538,65.2282,65.1865,14.9398,11.3194,7.0212699999999995,33.8687,5.80837
COL2A1,124.822,19.4398,0.0,0.0,0.035179699999999994,0.056947300000000006,0.8622049999999999,8.18038,0.157197,26.8688,0.441904
COL5A1,145.37,17.3758,45.4507,86.3879,35.0878,210.984,30.3356,128.055,128.517,226.456,4.27042
COL5A2,202.313,4.19188,72.8625,115.257,51.2796,460.01300000000003,32.3981,199.463,149.547,340.56199999999995,7.0651600000000006
CRAT,3.09639,0.0,0.434016,49.512,1.56885,5.89197,12.9929,7.599480000000001,7.317130000000001,7.4177800000000005,1.24437
CROT,17.2031,0.0,4.08553,76.9528,8.746210000000001,10.4782,3.9923599999999997,11.5114,25.6105,5.9184,13.1914
CXCL10,2.29941,0.0,27.689,60.3684,153.815,25.8238,29.3048,59.3069,40.563,11.8491,30.7011
