gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,17-00110-9_S15Aligned_cufflinks,TNT-33,17-00097-1_S9_cufflinks,17-00108-5_S18Aligned_cufflinks,17-00174-6_S15Aligned_cufflinks,TNT-293,TNT-259,17-00271-8_S16Aligned_cufflinks,TNT-325
ABCA8,1.07397,3.6460000000000004,0.943892,42.1504,2.1075,1.8851099999999998,1.7572400000000001,8.951360000000001,7.3788,43.1719,1.18126
ADRA2A,0.196819,0.21834,0.184313,0.7035100000000001,0.13051500000000002,0.266755,0.124234,0.0,0.062241399999999995,3.57135,0.271846
AKAP12,3.7524300000000004,2.68102,0.618114,6.5784,1.87044,0.90279,3.4236699999999995,2.2178400000000003,10.4078,19.8129,2.1819599999999997
ALDH3B2,34.613,27.7129,21.1902,19.4297,8.43554,8.51023,14.6796,16.92,2.39888,111.376,34.041
APOD,101.54799999999999,8.01472,0.8471620000000001,462.319,0.669381,6.72613,20.8128,9.12083,16.1725,1551.18,61.196999999999996
ART3,19.2103,1.5872,1.7045400000000002,29.9479,4.5019599999999995,25.969,9.87219,0.088062,2.83927,1.09477,0.0
ASPN,31.1651,9.948369999999999,8.79653,23.2841,10.6442,8.63035,4.02062,10.0876,59.7246,74.2365,42.7013
AZGP1,64.9749,1.50857,71.6802,146.048,33.7457,7.377619999999999,130.35299999999998,42.7428,0.0,545.611,1.1505
BLVRB,6.57613,1.37106,3.21779,3.32387,3.99175,1.19013,6.01812,3.3330699999999998,1.7791299999999999,20.7679,1.8893099999999998
C7,0.29143,0.645289,0.145938,16.7384,2.0205599999999997,4.13771,4.77522,6.76911,1.07913,53.4988,0.823103
CCL5,1.03708,2.11983,0.0,55.5323,0.0,9.512189999999999,3.0319599999999998,3.0321700000000003,24.4902,8.84458,47.0465
CD36,36.5005,14.3767,4.6544,32.6821,29.5541,6.66782,93.6689,929.357,36.2403,333.499,13.2001
CD52,5.15236,2.72221,4.91219,360.04699999999997,10.8883,22.789,12.6645,12.8056,178.9,25.8897,320.42400000000004
CDC20,19.1111,34.2285,36.4559,5.45902,35.847,11.8678,11.3567,9.34047,10.0606,2.3126700000000002,10.4861
CHI3L1,52.4824,127.334,0.8237700000000001,5.50906,14.2367,5.20908,205.727,7.55722,17.9288,15.912,9.58912
COL2A1,124.822,0.569296,20.099,0.0,0.21441,1.39677,0.0402543,0.109884,0.0,2.00287,0.0
COL5A1,145.37,28.6234,58.6796,32.1906,99.7165,27.9288,116.103,32.5814,40.4405,124.007,32.1635
COL5A2,202.313,24.2914,36.052,45.924,49.6067,21.5128,95.3652,33.3523,44.153999999999996,327.722,39.9525
CRAT,3.09639,1.5318200000000002,7.7762199999999995,3.40098,8.16269,4.16699,5.54589,2.8111599999999997,4.1209,17.4382,9.221860000000001
CROT,17.2031,2.58029,4.61565,8.39303,4.92995,1.35921,18.127,6.16501,13.6541,30.4582,7.78834
CXCL10,2.29941,20.0542,4.36531,101.54799999999999,14.6049,15.9386,3.53341,140.839,384.48400000000004,25.2463,85.8427
CXCL11,0.642556,6.05504,0.758763,19.4311,2.5685700000000002,3.99119,0.9549559999999999,34.2832,110.538,9.27016,3.5587400000000002
CXCL13,0.0413495,0.924701,0.6656380000000001,85.5384,3.01473,7.95022,1.16539,11.5668,627.493,14.9373,47.4504
CYP4F8,0.048019099999999995,0.0,0.0,0.00161719,0.234377,0.24557600000000002,1.4973,73.73899999999999,0.18496500000000002,1.0552,0.0
DBI,412.371,77.3433,126.947,238.327,170.882,107.854,69.2038,89.8314,102.259,474.352,21.2225
DEFB1,3.16262,0.254765,0.0,1.17739,0.0,0.328307,7.12312,1.13114,1.4857,3.06845,50.9421
DHCR24,38.1374,41.1448,56.8192,3.82499,44.06100000000001,13.0362,82.1604,25.4588,27.5106,118.10799999999999,62.9418
DUSP5,2.6614299999999997,3.5133400000000004,1.6976,5.034,3.6152800000000003,3.8480300000000005,2.09469,14.419,0.760338,8.58584,4.8256
FABP7,2.25652,0.100483,0.0770102,0.341104,0.060764,10.5533,0.0,0.0,9.448089999999999,220.93,0.0
FASN,124.609,96.6952,174.738,8.31724,57.3003,47.9147,92.0659,27.7993,1.18795,620.299,10.8743
FGFR4,2.32432,0.655992,3.48613,1.9194,2.04738,0.38490599999999997,0.5663100000000001,7.47289,0.335385,0.310467,6.602360000000001
FGL2,2.48121,1.62525,1.53472,16.6367,2.54605,4.67698,2.7137700000000002,5.11273,6.70472,17.2755,7.19821
FOXA1,1.38574,0.595121,94.6264,36.9889,0.09799169999999999,0.291452,3.41172,141.468,0.319283,86.8978,23.6446
FOXC1,9.10755,26.9418,158.749,21.2141,65.4708,41.1188,29.4622,1.44127,3.57756,7.0417,13.7862
GABRP,8.66089,383.281,4.8082199999999995,8.236239999999999,7.864789999999999,72.6743,1.23011,0.8925059999999999,740.4110000000001,19.9296,271.08299999999997
GALNT7,12.4003,25.8265,60.2869,18.1979,7.85755,7.659210000000001,11.8491,27.0483,9.15928,28.8384,22.686
GBP1,41.394,102.725,51.5421,179.69400000000002,84.0119,36.9994,135.247,105.46700000000001,218.737,153.619,194.968
GCHFR,0.42253100000000005,0.312517,0.7533340000000001,0.130833,0.42294,0.32195999999999997,1.3619,0.0,0.0,0.39271999999999996,0.0
GPR87,0.9514879999999999,0.0,0.0,0.702407,0.0,0.289317,4.33496,0.345952,7.69994,2.26563,42.6912
GZMB,1.4986,2.88385,2.38321,15.5177,1.86027,3.03103,1.8939700000000002,1.97432,32.7245,4.72534,14.0912
HGD,4.21735,0.178331,3.19875,0.0,0.17512,1.29588,9.092410000000001,9.78665,5.68914,23.7782,0.0
HTRA1,91.2943,12.2357,9.9117,42.0242,44.1674,10.4438,38.6136,17.1681,40.9797,221.53099999999998,11.640999999999998
IDO1,0.29142399999999996,5.62665,3.8729,27.4319,4.31044,2.49456,21.1778,5.33777,56.6019,9.55688,166.96
IGFBP4,13.3498,4.64699,21.2055,3.58334,7.9226399999999995,11.6234,18.0548,0.42808599999999997,0.43888299999999997,57.7482,4.30028
IGHM,55.218999999999994,0.0,70.363,640.558,0.0,213.12400000000002,13.6533,78.512,136.843,336.897,148.997
IGJ,20.0186,13.1953,33.6758,692.748,23.1658,86.6554,20.4514,192.232,120.395,446.48900000000003,45.9523
IGKC,182.34599999999998,146.428,1866.18,12164.7,5865.29,11833.8,533.576,728.295,1516.83,2529.53,1067.08
IL23A,0.049007300000000004,0.0988448,0.15148,0.0,0.0,0.187825,0.29478899999999997,0.37344299999999997,0.0,0.0,0.0
IL33,0.8833290000000001,0.441675,0.338005,5.796880000000001,0.470318,1.09261,2.28455,0.348064,0.602038,7.259510000000001,0.101108
INPP4B,37.1722,2.05355,11.4627,26.1551,25.3966,8.1298,19.0709,10.0589,13.6166,30.2415,48.1165
ITM2A,5.13433,6.84793,2.72788,68.1398,5.86859,6.958360000000001,5.51003,7.607880000000001,18.4724,67.9227,3.7050300000000003
JAM2,11.2143,1.87263,2.65935,19.6988,2.99247,2.33619,5.43396,1.93265,2.31682,20.8529,12.4208
KCNK5,7.320460000000001,1.85105,4.80851,0.629343,2.19827,5.83935,3.3860300000000003,0.533724,0.44924899999999995,0.399446,1.05113
KIAA1324,6.46799,1.06691,177.715,115.74700000000001,0.46954799999999997,12.8659,7.0919300000000005,37.4749,1.3498299999999999,28.2916,8.68953
KMO,1.44589,1.54732,1.4564700000000002,10.2393,5.2506,5.28187,1.93187,11.3961,8.82002,11.095999999999998,0.0
KRT14,118.37100000000001,25.7243,2.6992700000000003,5.64154,62.9592,38.0093,708.6610000000001,0.118683,0.5958289999999999,111.476,3.03677
KRT16,91.0343,102.08200000000001,12.7079,1.27116,26.2046,61.3773,2146.49,0.45031099999999996,32.6636,6.562539999999999,3.34785
KRT17,105.34700000000001,178.695,23.1023,11.2167,9.91211,31.6651,1735.05,0.10699000000000002,23.5076,169.488,0.47600699999999996
KRT6A,54.2242,99.8324,22.5461,0.20433099999999998,5.23452,12.3955,3704.04,1.64438,132.032,26.0383,34.6454
KRT6B,86.6584,23.0478,63.107,5.81661,3.50011,31.013,1377.33,0.044044,152.121,11.7636,124.62899999999999
KYNU,14.7879,3.3467599999999997,3.31682,18.9737,5.392,7.185969999999999,23.7252,31.2463,28.7073,91.1552,10.7773
LBP,0.573258,1.8779,0.0,0.0,0.652367,0.264648,17.4641,4.93654,0.126927,30.34,0.0
LHFP,2.0952,0.5028779999999999,0.905259,0.545114,0.932149,0.46065600000000007,1.14329,0.48818199999999995,0.675045,6.7217,1.67851
MFAP4,1.60954,0.451396,1.0410700000000002,9.67575,0.288673,1.9713900000000002,0.5912029999999999,0.652204,1.72318,41.3266,0.145341
MIA,21.0747,0.9413440000000001,139.753,0.555214,0.845535,52.6175,4.79669,0.51859,8.68449,0.9598,0.0
MID1,36.2366,7.90995,2.1082400000000003,34.3051,13.0013,27.7178,30.2772,21.0676,14.7907,14.4386,13.4752
MYBL1,4.603619999999999,74.6586,3.8023800000000003,12.7205,88.7484,48.0038,7.91887,23.7944,15.8264,1.7769099999999998,6.891660000000001
NEK2,17.1321,41.9777,11.0728,10.7269,23.2843,22.4467,6.29062,25.7407,7.067419999999999,2.752,31.5251
NTN3,0.023557599999999998,0.0,0.0371457,0.0,0.175515,0.09214630000000001,0.0,0.0,0.0,0.0437792,0.0
OGN,1.27872,2.70269,0.20845500000000003,24.6987,0.632217,0.8615780000000001,0.432418,19.9502,15.1809,87.9032,31.1962
PI3,0.0,1.9945599999999999,0.30924,0.252274,2.08188,1.40499,224.86,0.630875,84.1807,0.0,151.46200000000002
PLEKHB1,14.583,0.203369,3.4420300000000004,8.37067,0.949499,1.2345,0.316141,0.13943,4.05949,0.6133390000000001,0.0
