gene_short_name,V515-06187-A1,TNT-41,TNT-239,TNT-50,TNT-326,TNT-275,17-00270-5_S14Aligned_cufflinks,TNT-16,TNT-92,17-00252-2_S13Aligned_cufflinks,TNT-195
ABCA8,1.07397,13.0061,6.3693599999999995,6.27059,0.03846,4.6609,2.10963,16.1221,32.1067,10.1006,30.7235
ADRA2A,0.196819,1.04865,0.621933,0.613286,0.917432,0.629714,0.785147,1.7823,0.187864,0.666199,0.22465
AKAP12,3.7524300000000004,7.11901,7.243539999999999,15.7193,7.45648,4.96091,3.9364199999999996,14.6167,5.51587,3.59153,21.7435
ALDH3B2,34.613,1.4853,6.832489999999999,19.4221,4.993580000000001,4.76105,173.954,303.041,8.09628,57.0737,1.14113
APOD,101.54799999999999,56.6557,13.232000000000001,34.8661,12.6566,27.9631,1702.36,3948.76,227.12400000000002,2264.75,604.388
ART3,19.2103,59.7037,0.155376,0.6718649999999999,12.2091,30.6309,0.0,0.0,1.03436,2.61983,9.550980000000001
ASPN,31.1651,247.642,7.229310000000001,72.6274,15.8107,30.936,97.1702,169.588,108.54700000000001,17.5097,55.6316
AZGP1,64.9749,16.7207,20.3111,94.0011,30.6143,0.675944,433.668,362.406,23.496,375.78,268.497
BLVRB,6.57613,12.3493,1.9114400000000002,4.2330000000000005,0.0,0.581462,17.5144,6.560339999999999,2.3271,9.26335,4.4294
C7,0.29143,0.657578,63.4141,5.63905,6.06215,4.90062,0.913499,16.1138,5.15895,11.5843,32.9843
CCL5,1.03708,16.4867,6.15495,2.46692,15.9662,15.9024,0.0,2.45249,5.3861,0.0,35.4418
CD36,36.5005,79.5482,25.2455,17.4704,9.50935,28.1601,5.78937,33.7502,13.668,40.6657,82.4024
CD52,5.15236,49.562,884.803,26.2153,164.90900000000002,41.958,25.8947,9.981489999999999,51.077,19.3989,161.817
CDC20,19.1111,9.8534,8.33313,6.633089999999999,6.93203,12.0694,2.98538,4.69409,2.62069,2.81438,6.47849
CHI3L1,52.4824,62.4796,5.80837,23.1543,1.96055,67.2472,16.8958,2.78629,93.8031,2.7861,23.4869
COL2A1,124.822,31.3989,0.441904,0.7584,5.7244,0.23309499999999997,0.0,0.0761304,0.14571900000000002,0.157048,2.00073
COL5A1,145.37,194.514,4.27042,129.285,27.0058,48.0836,159.398,148.389,32.6411,57.8154,144.053
COL5A2,202.313,290.284,7.0651600000000006,232.429,23.1253,82.2014,332.476,246.925,57.8362,105.309,131.694
CRAT,3.09639,10.8437,1.24437,9.18802,0.143253,2.18717,35.1876,23.7683,5.01356,30.4788,8.42276
CROT,17.2031,4.9685,13.1914,5.88813,2.16177,6.23139,61.1756,70.0792,13.2484,37.0803,21.0095
CXCL10,2.29941,100.35799999999999,30.7011,15.6837,56.2198,69.4529,47.1377,2.78132,60.784,17.8862,96.1112
CXCL11,0.642556,17.9766,4.0889999999999995,1.4391100000000001,13.0665,15.7259,17.4057,0.439709,3.28281,3.95835,15.4312
CXCL13,0.0413495,9.70889,181.287,5.55664,85.4836,95.0912,13.6215,0.740487,10.8363,5.9954,37.6107
CYP4F8,0.048019099999999995,0.33720500000000003,0.0,0.31056500000000004,0.0,0.043461400000000004,2.87166,1.66215,0.0470314,0.20556999999999997,0.439154
DBI,412.371,121.199,81.9375,139.829,65.8549,83.2867,458.19199999999995,229.267,62.0434,141.197,141.929
DEFB1,3.16262,1.04105,5.28242,10.9841,0.0,0.0,2.34702,7.23493,6.211,0.207869,2.00535
DHCR24,38.1374,16.0402,9.51047,61.7799,11.0616,3.7026199999999996,130.19799999999998,160.55,18.6696,108.111,15.8205
DUSP5,2.6614299999999997,6.1327300000000005,2.56,4.47715,1.6522400000000002,3.8547300000000004,3.94306,19.7283,7.785639999999999,1.75253,4.06994
FABP7,2.25652,2.74168,4.89626,0.0,13.8638,2.26773,202.65,4.11583,15.3098,7.675910000000001,3.66641
FASN,124.609,9.581660000000001,4.16085,57.4616,7.60798,2.4485200000000003,778.4830000000001,955.9889999999999,3.44193,636.474,3.79399
FGFR4,2.32432,2.54454,0.31004699999999996,1.32382,0.0,0.464383,0.55462,13.4786,0.5438390000000001,12.591,1.3025
FGL2,2.48121,5.03298,12.4948,5.51389,5.61145,6.60571,10.955,3.3399400000000004,13.8813,5.83078,13.2934
FOXA1,1.38574,0.137919,0.0622759,1.90232,9.37556,2.06513,98.2355,106.896,4.61343,154.41299999999998,11.4149
FOXC1,9.10755,29.7138,21.1296,39.9886,19.3417,35.8189,1.00065,4.09098,15.6674,3.4336599999999997,27.8721
GABRP,8.66089,693.341,204.747,23.6083,493.65,2.98012,1.14783,2.34216,1884.93,1.5920299999999998,255.80599999999998
GALNT7,12.4003,14.8009,36.8265,11.5386,18.1204,25.0354,43.2333,103.531,28.7253,105.712,18.406
GBP1,41.394,198.987,123.15799999999999,71.5431,518.4630000000001,129.284,151.737,76.4035,144.004,66.9108,180.14700000000002
GCHFR,0.42253100000000005,1.48478,0.276966,0.20549,0.0,0.0,2.0417099999999997,1.26429,0.154028,0.55625,0.0
GPR87,0.9514879999999999,1.2325700000000002,2.76913,4.06842,0.820931,1.75632,1.74747,0.6164390000000001,1.65936,0.048275,0.499684
GZMB,1.4986,2.83215,17.8403,2.96307,4.26578,23.4412,6.61711,0.716539,12.6172,2.1377900000000003,14.8104
HGD,4.21735,2.83641,0.9746299999999999,2.01073,0.946356,0.400065,27.7762,71.809,2.84976,138.276,0.884692
HTRA1,91.2943,105.02,14.7131,121.51299999999999,7.8475600000000005,40.4474,156.50799999999998,194.898,40.4089,49.4055,145.91299999999998
IDO1,0.29142399999999996,11.853,11.0866,8.63063,17.2985,21.4754,19.0683,1.57799,3.5528699999999995,3.06081,28.6191
IGFBP4,13.3498,6.11079,0.24547800000000003,3.0842400000000003,1.0725,0.682398,22.6642,5.33575,2.38984,13.3171,7.54149
IGHM,55.218999999999994,119.191,235.71400000000003,119.376,250.338,10.3864,377.42400000000004,9.79983,68.2459,0.0,1091.9
IGJ,20.0186,43.2346,255.014,101.14,141.02100000000002,52.2957,149.07399999999998,25.0265,224.46200000000002,328.423,373.709
IGKC,182.34599999999998,735.3989999999999,1565.35,1160.89,5790.14,3001.92,8345.27,214.34,1125.71,6002.41,10105.0
IL23A,0.049007300000000004,0.0998765,0.342107,0.391571,0.0,0.993935,0.0,0.0,0.239774,0.314108,0.0
IL33,0.8833290000000001,1.35198,21.9688,0.9289459999999999,1.2426,1.72384,1.6797900000000001,3.71591,3.0914,3.5217400000000003,7.684819999999999
INPP4B,37.1722,9.88193,27.6685,17.8934,14.8552,6.37368,53.968999999999994,24.1274,22.7429,20.183,45.4741
ITM2A,5.13433,5.75863,41.0562,4.171819999999999,2.49321,4.27775,6.668019999999999,19.3476,23.8877,17.6302,29.3389
JAM2,11.2143,6.846610000000001,8.91494,6.59347,4.36864,15.0548,14.5784,11.9239,7.05302,11.0531,18.4024
KCNK5,7.320460000000001,1.98658,0.285043,0.660506,0.357348,0.49949099999999996,0.164958,0.14138599999999998,0.133175,0.294427,0.025733199999999998
KIAA1324,6.46799,15.395,25.3584,4.37915,11.1553,4.49825,57.3075,96.8405,6.342630000000001,126.189,8.69715
KMO,1.44589,2.2197299999999998,24.7087,11.1279,8.459719999999999,5.56545,9.86449,43.0574,2.7613,34.7942,17.7686
KRT14,118.37100000000001,514.252,2.00679,1233.01,1.92268,0.48074300000000003,3.26517,10.3312,15.2829,5.01213,11.6825
KRT16,91.0343,95.7477,17.9436,553.128,0.0,14.767999999999999,1.7767,1.6001100000000001,74.7677,0.6585489999999999,5.14653
KRT17,105.34700000000001,410.975,34.4338,379.87199999999996,5.15554,45.0247,11.1817,14.8626,130.131,8.48678,44.1026
KRT6A,54.2242,262.42,82.8246,1349.87,4.61346,19.9684,10.0987,0.816802,2.8535,4.24371,7.37833
KRT6B,86.6584,98.6809,139.554,247.092,25.9574,32.3569,0.778724,1.4048399999999999,9.26859,0.448112,22.689
KYNU,14.7879,5.3043,23.0941,7.27038,8.77872,25.2469,173.37,76.4536,12.4711,44.1455,7.339639999999999
LBP,0.573258,1.2441,3.42086,0.41746300000000003,0.0,0.923182,45.7908,16.8719,0.143624,6.03514,0.0
LHFP,2.0952,1.33469,0.784121,2.67659,0.0422214,0.457348,1.6577,1.91694,0.553532,1.97984,0.234188
MFAP4,1.60954,6.62759,3.85388,5.69762,0.0,1.06111,3.46351,33.4724,4.86294,4.70685,10.6199
MIA,21.0747,43.488,38.436,3.17113,0.0,1.96921,0.9026719999999999,0.250469,21.7525,0.644031,0.558431
MID1,36.2366,22.2624,27.8837,33.7614,18.6038,33.4136,8.682839999999999,17.0436,22.1864,3.51415,16.7236
MYBL1,4.603619999999999,19.1092,10.6215,31.0013,8.07362,27.5883,2.82383,5.06878,59.4487,2.22804,57.5484
NEK2,17.1321,16.5811,24.1101,14.2564,30.0864,35.4596,4.76394,4.06294,6.27886,6.4397,22.1877
NTN3,0.023557599999999998,0.098189,0.0,0.0,0.0,0.0,0.0590009,0.0,0.0,0.230461,0.0
OGN,1.27872,17.5867,4.3811,7.41343,9.135110000000001,16.5318,4.2767599999999995,107.645,38.5116,6.22191,40.6724
PI3,0.0,0.405905,0.0,0.342042,26.7844,32.9457,0.256457,0.0,4.07739,0.0,0.19831500000000002
PLEKHB1,14.583,3.4508900000000002,1.5604799999999999,0.336417,0.0,1.08019,0.641142,0.257994,1.19539,0.809535,0.389207
PMAIP1,1.6239299999999999,3.41365,4.33091,1.5122200000000001,0.752031,18.0211,1.25437,0.652403,0.914623,0.21333600000000003,2.54785
PSMB9,0.0,19.2126,22.3266,3.5819099999999997,4.83253,8.420060000000001,0.0,2.22437,15.3154,0.0,22.4078
PTGDS,1.49063,1.31059,14.9539,1.76951,0.0,0.9673149999999999,5.13184,3.8985800000000004,1.74508,2.3752400000000002,17.0388
RARRES3,10.7933,9.089089999999999,115.305,6.06596,5.39538,17.9254,44.979,35.4638,21.3796,26.589000000000002,39.2069
RTP4,0.772275,6.97178,2.47434,2.39764,1.81004,1.2294100000000001,0.695095,0.47304300000000005,3.1673,1.25284,2.39704
S100A1,196.638,15.2162,6.14099,57.1312,3.6356699999999997,1.16736,0.862762,0.42808199999999996,8.06103,19.0594,8.99812
S100A7,6.579160000000001,0.0,7.22335,21.4672,0.0,90.0918,27.158,2.50147,9.78629,90.7809,10.7501
S100A8,3.4999599999999997,2.234,10.8895,4.7933699999999995,2.63903,122.693,34.8612,10.1171,17.065,24.2471,16.3063
SCRG1,23.221999999999998,5.2875,0.616513,0.9672209999999999,1.8769799999999999,5.177980000000001,0.0,4.35705,0.673348,0.0471849,5.83464
SEMA3C,89.189,23.3876,63.8822,140.37,27.273000000000003,17.9353,57.9119,79.0897,67.1468,158.167,37.1668
SERHL2,5.02658,3.43356,5.637169999999999,12.6058,0.0,0.578943,544.137,185.252,1.4759200000000001,399.14599999999996,1.57418
SFRP1,35.3095,38.3568,15.3376,16.7954,10.1147,3.5965800000000003,0.39879000000000003,1.82529,20.5385,0.42449799999999993,5.8487599999999995
SIDT1,0.9090090000000001,1.50153,14.1793,1.63791,3.11273,1.18936,15.0462,17.5978,3.7080900000000003,21.9994,4.88103
SOX10,3.84721,1.1078299999999999,0.45138,0.0526336,0.241657,0.0,0.075293,0.07225039999999999,0.205921,0.07534919999999999,1.4996399999999999
SPDEF,0.141878,0.0,0.381323,3.06071,0.0,0.0,7.91627,16.2187,0.113258,26.3392,1.43333
SPRR1B,0.09447810000000001,0.0,1.77931,0.10400699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,40.6695,75.5368,168.345,19.0873,34.6502,85.9094,298.634,34.9804,45.0153,44.4492
SRPX,12.4869,9.47686,1.4964,3.51456,2.1743900000000003,3.03912,4.128819999999999,10.7163,6.28365,2.65072,13.5443
TCF7L1,11.751,44.3834,6.582000000000001,8.4502,27.8505,10.4131,1.68946,6.46698,11.4878,5.74571,6.93266
TFAP2B,1.18026,0.41227600000000003,1.99583,6.84501,9.64635,0.6146199999999999,18.7696,34.228,1.46155,22.5216,4.9751
THBS4,8.67223,16.1641,5.87345,6.72779,1.19803,14.4432,25.4608,10.0685,20.4333,15.5802,19.324
TNFAIP8,5.97248,13.7256,134.384,16.5976,29.3606,33.8904,23.6526,28.6406,27.0821,11.3768,63.4308
TNFSF10,24.8142,115.984,70.8998,21.0228,37.3773,12.908,29.2146,158.82,52.0291,41.5292,44.5186
TRIM68,7.67148,4.9053,2.42572,2.0903099999999997,0.822314,0.257472,12.3542,5.53874,2.9636,5.67096,2.8009
TSC22D3,7.24202,15.5388,7.86074,16.4595,1.96725,22.2448,18.2165,35.7546,13.8093,17.9219,30.3757
UBD,0.0,9.98192,46.9344,1.46836,2.44506,14.192,0.0,2.0899999999999995e-27,81.9667,0.0,22.4284
UGT2B28,0.0,0.0847062,0.36485100000000004,0.036528,0.0,0.261173,1018.86,4.88119,0.0313859,1.4067,0.0
XBP1,26.3139,23.1296,40.5142,53.3026,99.6604,54.7944,143.30200000000002,282.606,44.0054,392.314,124.742
ZCCHC24,0.75321,0.70298,0.334794,2.49551,0.015883,0.0777878,1.29529,2.6722099999999998,0.674429,1.66041,1.40477
