gene_short_name,V515-06187-A1,TNT-58,TNT-267,17-00160-1_S2Aligned_cufflinks,TNT-16,TNT-283,TNT-69,17-00163-6_S7Aligned_cufflinks,TNT-8,TNT-100,17-00110-9_S15Aligned_cufflinks
ABCA8,1.07397,0.0,14.0161,0.7198220000000001,16.1221,5.2258,6.334280000000001,0.7701479999999999,21.1353,10.2128,0.943892
ADRA2A,0.196819,0.0,0.0,0.203424,1.7823,0.0,0.150311,0.0657186,0.39815700000000004,0.218344,0.184313
AKAP12,3.7524300000000004,6.38661,34.7771,1.14141,14.6167,3.43169,8.43398,1.2357,2.99765,6.21779,0.618114
ALDH3B2,34.613,3.93287,0.0,5.40626,303.041,2.4243200000000003,2.33555,2.97506,2.43056,3.95048,21.1902
APOD,101.54799999999999,100.74600000000001,0.187089,10.1478,3948.76,134.119,334.26099999999997,57.5143,223.767,169.25099999999998,0.8471620000000001
ART3,19.2103,0.0,26.3716,5.258319999999999,0.0,1.3833,11.878,80.791,117.309,165.481,1.7045400000000002
ASPN,31.1651,46.5225,36.7956,21.9529,169.588,148.766,32.2778,20.2771,38.9421,26.1134,8.79653
AZGP1,64.9749,3.7303599999999997,5.04708,45.7678,362.406,6.21353,41.8629,59.9678,95.0087,6.8005,71.6802
BLVRB,6.57613,0.152304,0.0,3.17095,6.560339999999999,3.29221,0.226859,8.241610000000001,1.6915200000000001,1.16798,3.21779
C7,0.29143,0.0578067,0.880913,0.7452850000000001,16.1138,1.21194,2.44299,1.01661,0.131227,3.11435,0.145938
CCL5,1.03708,0.08316989999999999,31.6815,0.0,2.45249,13.0437,2.95312,0.0,55.7447,19.74,0.0
CD36,36.5005,8.52927,11.7456,5.95287,33.7502,37.5269,24.2,19.9552,30.3092,37.6889,4.6544
CD52,5.15236,0.0,198.71400000000003,12.1882,9.981489999999999,9.26877,15.9388,4.53303,50.9935,134.336,4.91219
CDC20,19.1111,10.7521,4.05045,12.6869,4.69409,9.884360000000001,31.1055,33.2568,8.34843,8.904589999999999,36.4559
CHI3L1,52.4824,0.872301,0.374262,40.6979,2.78629,1.1316899999999999,13.2155,183.889,265.642,24.0775,0.8237700000000001
COL2A1,124.822,2.1362,0.0,0.0209768,0.0761304,1.11024,143.94299999999998,8.5081,82.9299,0.112568,20.099
COL5A1,145.37,9.41421,17.0328,51.4022,148.389,30.5437,40.5398,40.8437,39.1658,29.7421,58.6796
COL5A2,202.313,34.2399,1.08796,114.544,246.925,90.4159,54.6831,41.0361,37.0824,89.4079,36.052
CRAT,3.09639,0.44309,5.195790000000001,20.0761,23.7683,1.0920100000000001,5.31904,9.7429,6.769639999999999,2.41362,7.7762199999999995
CROT,17.2031,13.287,6.6875100000000005,6.76398,70.0792,7.69125,4.64999,5.1833,4.73515,6.30357,4.61565
CXCL10,2.29941,0.0,14.0868,31.7238,2.78132,57.2712,83.8667,24.1237,179.872,240.75900000000001,4.36531
CXCL11,0.642556,0.0,0.0,17.1679,0.439709,9.65099,1.3225,1.88411,6.863389999999999,44.6731,0.758763
