gene_short_name,V515-06187-A1,17-00252-2_S13Aligned_cufflinks,TNT-304,TNT-113,TNT-157,TNT-105,TNT-277,TNT-158,TNT-133,17-00141-7_S14Aligned_cufflinks,TNT-177
ABCA8,1.07397,10.1006,3.65161,6.8020000000000005,16.5316,31.9528,126.537,8.55308,75.7969,10.5345,9.29659
ADRA2A,0.196819,0.666199,0.0,1.08531,0.053574699999999996,0.0701431,0.268735,0.0,0.598187,1.99187,0.268389
AKAP12,3.7524300000000004,3.59153,1.8245099999999999,12.1145,5.01157,9.491489999999999,21.3352,1.99925,6.895230000000001,12.7907,2.95332
ALDH3B2,34.613,57.0737,1.69334,4.95691,44.3463,0.0,3.3049800000000005,0.0,15.4526,3.54849,8.06703
APOD,101.54799999999999,2264.75,171.87900000000002,207.709,388.876,114.32,274.556,46.1631,152.924,24.0673,139.493
ART3,19.2103,2.61983,181.128,4.94533,11.9946,17.1801,0.0,7.3933800000000005,16.1857,0.899191,4.00471
ASPN,31.1651,17.5097,54.125,14.3444,10.4886,168.207,80.4627,132.45600000000002,99.3177,73.3324,37.577
AZGP1,64.9749,375.78,300.948,17.8315,13.2232,9.073,12.0988,26.0583,81.6664,44.7696,95.197
BLVRB,6.57613,9.26335,4.18302,3.42228,1.7414,0.431008,0.734987,8.05673,3.9630300000000003,3.11342,3.74146
C7,0.29143,11.5843,1.8841599999999998,1.1787,12.9084,5.95524,322.762,5.04266,10.3059,5.79552,0.643378
CCL5,1.03708,0.0,9.38296,31.8243,14.6772,6.4528300000000005,13.4918,14.6772,11.4843,2.20958,7.50898
CD36,36.5005,40.6657,40.2595,31.2782,33.1401,49.5897,51.4948,24.866,123.501,8.51482,57.821000000000005
CD52,5.15236,19.3989,85.9483,157.061,93.59899999999999,19.3671,437.41,56.19,56.1498,3.2807800000000005,35.5903
CDC20,19.1111,2.81438,16.8101,50.0459,21.6145,3.94257,0.0293837,21.2697,9.27248,3.57694,29.8034
CHI3L1,52.4824,2.7861,5.51471,12.6521,42.6231,5.77056,0.246048,37.3911,0.874603,49.6044,11.0398
COL2A1,124.822,0.157048,219.15099999999998,0.0,0.165699,4.955830000000001,0.0,69.285,0.0,6.22864,246.99099999999999
COL5A1,145.37,57.8154,19.8955,13.4753,18.2057,51.5344,39.8868,62.7231,68.0468,179.457,179.114
COL5A2,202.313,105.309,47.714,46.0854,26.7943,93.8971,67.0038,103.473,83.052,139.583,152.07399999999998
CRAT,3.09639,30.4788,1.28039,19.5146,1.38838,3.66532,1.53874,2.67745,2.03308,13.306,0.280142
CROT,17.2031,37.0803,4.937469999999999,14.5467,8.916360000000001,11.0311,9.29257,8.122910000000001,6.0225,11.8014,10.992
CXCL10,2.29941,17.8862,191.918,290.819,91.8598,20.2306,23.6985,63.0364,6.53556,1.77745,36.2774
CXCL11,0.642556,3.95835,27.7435,36.1052,8.917819999999999,4.0881099999999995,4.14639,9.6686,0.0,0.511637,1.8448200000000001
CXCL13,0.0413495,5.9954,38.1041,155.442,46.1831,5.1081900000000005,117.78399999999999,7.40388,4.97297,0.10165,0.0
CYP4F8,0.048019099999999995,0.20556999999999997,0.0,0.0,0.0,1.98386,0.0,0.19008599999999998,0.0,0.0,2.7660400000000003
DBI,412.371,141.197,151.89700000000002,147.908,134.685,33.3223,61.8252,694.721,172.40099999999998,41.5496,138.371
DEFB1,3.16262,0.207869,3.25182,0.0,0.135413,1.66839,0.0,0.0,0.41695600000000005,0.9289649999999999,0.0
DHCR24,38.1374,108.111,9.19186,9.0368,74.3837,4.70632,0.32005300000000003,17.0556,64.1324,8.791030000000001,18.1352
DUSP5,2.6614299999999997,1.75253,0.5457,6.14911,6.9571,2.66086,9.356530000000001,3.3713900000000003,0.0,9.1031,9.42159
