gene_short_name,V515-06187-A1,TNT-192,TNT-278,TNT-6,TNT-313,17-00270-5_S14Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-133,TNT-288,TNT-297
ABCA8,1.07397,119.155,6.094869999999999,9.6574,11.8392,2.10963,0.0,13.7512,75.7969,10.8786,17.0174
ADRA2A,0.196819,0.8013359999999999,0.0,1.3579299999999999,0.166689,0.785147,0.0,0.8419840000000001,0.598187,0.283499,0.223559
AKAP12,3.7524300000000004,35.9662,4.77909,11.312000000000001,5.92393,3.9364199999999996,0.0,12.1297,6.895230000000001,16.0737,31.1722
ALDH3B2,34.613,68.1928,1.8783400000000001,433.61300000000006,0.129083,173.954,159.809,1.86877,15.4526,0.561817,0.0910294
APOD,101.54799999999999,11869.7,86.3132,13601.3,68.6262,1702.36,103.494,91.0254,152.924,110.571,190.081
ART3,19.2103,0.0,0.0,0.0,5.75635,0.0,69.9625,8.68211,16.1857,3.3811199999999997,22.3735
ASPN,31.1651,142.614,11.8417,106.78,30.4671,97.1702,0.0,364.705,99.3177,117.07,14.1299
AZGP1,64.9749,771.028,134.856,1632.76,86.0315,433.668,8.79505,14.9506,81.6664,19.9515,130.727
BLVRB,6.57613,5.36615,0.0,17.4411,2.56904,17.5144,3.61882,9.71763,3.9630300000000003,3.17771,2.3692900000000003
C7,0.29143,4.10235,19.5287,3.8300199999999998,2.9121599999999996,0.913499,15.638,13.6514,10.3059,2.26989,12.4278
CCL5,1.03708,18.4049,8.68593,5.02728,6.95546,0.0,0.0,12.2628,11.4843,1.4270200000000002,2.5106599999999997
CD36,36.5005,134.586,36.6558,52.468,7.603460000000001,5.78937,0.0,257.01,123.501,21.039,12.2558
CD52,5.15236,123.244,147.046,20.3981,146.87,25.8947,95.8765,72.2506,56.1498,1.79485,9.062439999999999
CDC20,19.1111,4.20426,1.44794,6.40956,4.3525599999999995,2.98538,0.0,5.4295,9.27248,35.8456,42.1959
CHI3L1,52.4824,0.0,0.1863,0.854684,122.696,16.8958,21.7065,65.1865,0.874603,14.8201,75.8848
COL2A1,124.822,0.0,0.0171505,0.407516,0.48526499999999995,0.0,0.0,0.056947300000000006,0.0,59.1868,8.031789999999999
COL5A1,145.37,49.6839,27.0808,210.775,57.3617,159.398,18.0897,210.984,68.0468,299.16700000000003,58.3068
COL5A2,202.313,216.858,52.0394,301.151,79.4514,332.476,0.0,460.01300000000003,83.052,316.313,67.2474
CRAT,3.09639,12.229000000000001,0.810681,270.69,0.906711,35.1876,0.0,5.89197,2.03308,6.107480000000001,5.6469
CROT,17.2031,70.1636,24.511999999999997,71.4203,9.1463,61.1756,85.5425,10.4782,6.0225,10.527000000000001,7.720680000000001
CXCL10,2.29941,10.1642,105.664,6.60035,48.9679,47.1377,0.0,25.8238,6.53556,4.03918,13.1438
CXCL11,0.642556,25.8333,8.25464,0.934983,3.51615,17.4057,0.0,9.316130000000001,0.0,1.12534,3.98929
CXCL13,0.0413495,10.7731,50.2738,1.54946,64.2703,13.6215,0.0,19.3527,4.97297,3.11947,8.68471
CYP4F8,0.048019099999999995,0.0,3.90855,30.0292,0.150132,2.87166,0.0,0.0,0.0,0.703976,0.37554099999999996
DBI,412.371,542.624,90.4076,646.11,139.847,458.19199999999995,0.0,251.488,172.40099999999998,91.1501,174.365
DEFB1,3.16262,3.86087,0.0,0.0,0.9545950000000001,2.34702,0.0,1.62226,0.41695600000000005,0.348327,0.35243800000000003
DHCR24,38.1374,49.4777,7.5602,231.222,20.656,130.19799999999998,18.8087,20.2387,64.1324,23.7835,29.6213
DUSP5,2.6614299999999997,10.3889,1.86001,20.7856,7.489269999999999,3.94306,0.0,6.05483,0.0,3.3292699999999997,5.9017800000000005
FABP7,2.25652,13.1366,0.47545699999999996,461.68699999999995,0.0867112,202.65,0.0,2.42951,0.0,20.3719,5.60352
FASN,124.609,26.719,1.5303,619.2719999999999,2.98044,778.4830000000001,133.656,53.9528,36.0783,18.5795,8.586780000000001
FGFR4,2.32432,1.14408,0.381338,23.8482,0.253247,0.55462,0.0,0.225221,0.416916,3.6499900000000003,0.8219799999999999
FGL2,2.48121,8.68063,6.265630000000001,2.74346,5.9402099999999995,10.955,0.0,18.1999,10.1991,2.4655,3.83394
FOXA1,1.38574,55.0153,70.669,193.55200000000002,1.1556,98.2355,20.6189,0.742325,101.26700000000001,0.323396,0.9985
FOXC1,9.10755,3.6437199999999996,0.656008,3.31141,47.1304,1.00065,3.16898,11.5344,0.0,73.7762,61.5935
GABRP,8.66089,53.2833,17.6287,0.739897,236.085,1.14783,52.1578,61.8084,0.0,16.815,116.867
GALNT7,12.4003,58.9319,177.51,166.072,16.6628,43.2333,12.9507,18.4078,89.2718,5.88805,16.3671
