gene_short_name,V515-06187-A1,TNT-113,TNT-94,TNT-277,TNT-202,TNT-92,17-00105-7_S10_cufflinks,17-00271-8_S16Aligned_cufflinks,TNT-239,TNT-214,TNT-252
ABCA8,1.07397,6.8020000000000005,2.8494900000000003,126.537,0.419579,32.1067,15.2433,43.1719,6.3693599999999995,6.30619,8.54573
ADRA2A,0.196819,1.08531,0.0,0.268735,0.10423800000000001,0.187864,1.61281,3.57135,0.621933,0.5343899999999999,0.30338699999999996
AKAP12,3.7524300000000004,12.1145,20.2867,21.3352,2.88543,5.51587,20.4997,19.8129,7.243539999999999,6.27307,3.3419300000000005
ALDH3B2,34.613,4.95691,22.8759,3.3049800000000005,9.39125,8.09628,2.3132599999999996,111.376,6.832489999999999,5.43093,0.0
APOD,101.54799999999999,207.709,147.095,274.556,11.7008,227.12400000000002,82.3389,1551.18,13.232000000000001,78.8272,7.803389999999999
ART3,19.2103,4.94533,22.2765,0.0,33.6664,1.03436,0.37242600000000003,1.09477,0.155376,92.4518,0.337303
ASPN,31.1651,14.3444,57.3841,80.4627,19.8095,108.54700000000001,41.4929,74.2365,7.229310000000001,5.46924,15.8789
AZGP1,64.9749,17.8315,70.096,12.0988,174.74099999999999,23.496,5.05436,545.611,20.3111,603.7869999999999,7.40158
BLVRB,6.57613,3.42228,1.2002899999999999,0.734987,0.838176,2.3271,2.24939,20.7679,1.9114400000000002,2.09444,0.871201
C7,0.29143,1.1787,0.887843,322.762,0.491271,5.15895,18.676,53.4988,63.4141,19.8767,24.0301
CCL5,1.03708,31.8243,4.1359900000000005,13.4918,2.81882,5.3861,5.25453,8.84458,6.15495,9.4678,2.64418
CD36,36.5005,31.2782,22.7489,51.4948,18.456,13.668,26.3072,333.499,25.2455,20.8269,13.2741
CD52,5.15236,157.061,0.0,437.41,22.4442,51.077,2.1478599999999997,25.8897,884.803,80.1085,437.32099999999997
CDC20,19.1111,50.0459,6.503340000000001,0.0293837,43.36600000000001,2.62069,2.38084,2.3126700000000002,8.33313,33.0613,7.2855
CHI3L1,52.4824,12.6521,2.53769,0.246048,23.2638,93.8031,4.30004,15.912,5.80837,1.5293,0.06820520000000001
COL2A1,124.822,0.0,6.00303,0.0,0.0214933,0.14571900000000002,0.613052,2.00287,0.441904,0.0,0.0
COL5A1,145.37,13.4753,28.5161,39.8868,31.7171,32.6411,145.623,124.007,4.27042,23.8546,2.7804599999999997
COL5A2,202.313,46.0854,26.9307,67.0038,55.4751,57.8362,236.74099999999999,327.722,7.0651600000000006,19.3943,6.948989999999999
CRAT,3.09639,19.5146,8.31426,1.53874,0.301212,5.01356,10.8298,17.4382,1.24437,0.567394,0.663326
CROT,17.2031,14.5467,7.724880000000001,9.29257,4.69295,13.2484,13.6305,30.4582,13.1914,12.2198,14.7668
CXCL10,2.29941,290.819,20.6893,23.6985,80.0122,60.784,3.5350699999999997,25.2463,30.7011,45.9677,12.4893
CXCL11,0.642556,36.1052,4.12924,4.14639,5.16683,3.28281,1.68925,9.27016,4.0889999999999995,17.160999999999998,2.66393
CXCL13,0.0413495,155.442,0.0,117.78399999999999,16.756,10.8363,1.16042,14.9373,181.287,24.9894,106.426
CYP4F8,0.048019099999999995,0.0,0.0,0.0,1.23981,0.0470314,0.0,1.0552,0.0,0.0,0.0
DBI,412.371,147.908,186.812,61.8252,81.6514,62.0434,24.5286,474.352,81.9375,624.36,55.1479
DEFB1,3.16262,0.0,0.0,0.0,3.2412400000000003,6.211,0.0,3.06845,5.28242,0.0,0.0
DHCR24,38.1374,9.0368,5.51588,0.32005300000000003,22.1326,18.6696,10.2971,118.10799999999999,9.51047,7.07305,2.528
DUSP5,2.6614299999999997,6.14911,11.9441,9.356530000000001,6.07051,7.785639999999999,7.9805600000000005,8.58584,2.56,0.619154,2.4734
FABP7,2.25652,0.048168800000000005,234.22099999999998,0.0,90.0951,15.3098,0.132922,220.93,4.89626,2.13492,0.0
FASN,124.609,2.73138,12.7001,0.5104609999999999,6.0106,3.44193,33.3583,620.299,4.16085,1.35786,1.5318
FGFR4,2.32432,0.0,0.0,0.138728,0.572056,0.5438390000000001,6.27721,0.310467,0.31004699999999996,0.29037199999999996,0.0
FGL2,2.48121,14.189,4.0132900000000005,13.9472,3.41656,13.8813,1.65977,17.2755,12.4948,7.35359,12.8518
FOXA1,1.38574,0.184148,52.9129,16.9152,0.420079,4.61343,2.09953,86.8978,0.0622759,5.57404,3.50368
FOXC1,9.10755,38.9412,8.84632,0.385336,61.0001,15.6674,8.20116,7.0417,21.1296,48.272,7.21536
GABRP,8.66089,427.715,392.793,0.15685,392.1,1884.93,25.1786,19.9296,204.747,124.557,1.02746
GALNT7,12.4003,32.677,59.2443,9.3507,29.0905,28.7253,11.0325,28.8384,36.8265,8.64044,18.9048
GBP1,41.394,282.29,17.1528,127.90299999999999,350.463,144.004,291.445,153.619,123.15799999999999,174.83599999999998,121.363
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.699921,0.154028,0.0,0.39271999999999996,0.276966,0.096755,0.227852
GPR87,0.9514879999999999,0.0,3.5010000000000003,0.5834239999999999,0.157315,1.65936,0.160558,2.26563,2.76913,1.90972,0.766842
GZMB,1.4986,37.6163,0.0,6.83507,4.89034,12.6172,1.21038,4.72534,17.8403,3.38941,8.417860000000001
HGD,4.21735,0.0,0.0,0.278291,6.727239999999999,2.84976,10.300999999999998,23.7782,0.9746299999999999,0.0,1.4508299999999998
HTRA1,91.2943,22.529,4.2443800000000005,92.2482,12.8885,40.4089,146.35299999999998,221.53099999999998,14.7131,15.8426,5.43078
IDO1,0.29142399999999996,39.3203,0.0,33.9794,7.40508,3.5528699999999995,1.67701,9.55688,11.0866,40.6568,15.7534
IGFBP4,13.3498,2.82959,1.46345,0.29838400000000004,0.876592,2.38984,52.3011,57.7482,0.24547800000000003,0.927897,0.0
IGHM,55.218999999999994,268.14799999999997,5.60384,60.5221,110.23,68.2459,0.0,336.897,235.71400000000003,111.369,106.34
IGJ,20.0186,155.94,0.571862,585.126,146.929,224.46200000000002,234.137,446.48900000000003,255.014,159.628,328.976
IGKC,182.34599999999998,5559.58,84.4972,2331.36,1651.13,1125.71,3004.06,2529.53,1565.35,2153.64,992.9010000000001
IL23A,0.049007300000000004,0.0,0.0,0.0,0.0,0.239774,0.0,0.0,0.342107,0.0,0.0
IL33,0.8833290000000001,1.15545,0.0,22.9963,21.1157,3.0914,2.46716,7.259510000000001,21.9688,2.23115,15.2296
INPP4B,37.1722,46.5469,29.8417,60.0802,4.15032,22.7429,30.0611,30.2415,27.6685,11.1627,58.8828
ITM2A,5.13433,24.0381,0.0,14.5216,12.912,23.8877,19.0463,67.9227,41.0562,11.7579,45.778
JAM2,11.2143,3.97831,0.0,10.6435,2.0304599999999997,7.05302,18.7018,20.8529,8.91494,3.4278,8.813880000000001
KCNK5,7.320460000000001,0.340533,0.327907,0.0,1.84855,0.133175,2.18497,0.399446,0.285043,0.29323499999999997,0.0
KIAA1324,6.46799,22.8026,18.6514,19.0453,30.8297,6.342630000000001,1.93052,28.2916,25.3584,49.3905,5.25825
KMO,1.44589,5.52365,31.2493,17.3116,4.14027,2.7613,0.752159,11.095999999999998,24.7087,7.213260000000001,21.5079
KRT14,118.37100000000001,78.6777,2.19612,0.0,5.13657,15.2829,75.4352,111.476,2.00679,2.48054,0.07398489999999999
KRT16,91.0343,50.6836,4.77604,0.509725,16.1524,74.7677,52.2307,6.562539999999999,17.9436,33.9761,0.145122
KRT17,105.34700000000001,29.8449,0.815724,0.0,9.91089,130.131,336.69300000000004,169.488,34.4338,15.0611,1.70607
KRT6A,54.2242,120.645,7.5121899999999995,3.69555,86.5851,2.8535,27.6181,26.0383,82.8246,16.797,0.0
KRT6B,86.6584,54.9532,2.87622,0.0634756,77.1575,9.26859,8.2555,11.7636,139.554,12.4539,0.0526903
KYNU,14.7879,10.4972,0.0,57.3483,4.772880000000001,12.4711,3.0838200000000002,91.1552,23.0941,13.6376,29.8573
