gene_short_name,V515-06187-A1,TNT-79,TNT-224,TNT-220,TNT-53,17-00152-9_S4Aligned_cufflinks,TNT-283,TNT-318,17-00283-0_S6Aligned_cufflinks,17-00132-8_S16Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks
ABCA8,1.07397,1.8716599999999999,11.0932,29.3376,12.7482,0.0,5.2258,1.6026799999999999,13.7512,19.4248,0.969992
ADRA2A,0.196819,0.0,0.5215270000000001,1.45258,0.09945930000000001,0.0,0.0,0.37137,0.8419840000000001,3.61611,0.11788299999999999
AKAP12,3.7524300000000004,1.6442400000000001,12.9614,15.2167,2.72579,0.0,3.43169,7.96738,12.1297,5.52166,3.1793
ALDH3B2,34.613,41.6244,4.94473,0.906112,0.586071,159.809,2.4243200000000003,1.0129299999999999,1.86877,6.775060000000001,9.692
APOD,101.54799999999999,9.53523,72.6231,121.15,108.63600000000001,103.494,134.119,29.2845,91.0254,40.374,100.42200000000001
ART3,19.2103,2.56881,2.7877400000000003,53.4512,384.85,69.9625,1.3833,123.448,8.68211,0.0,2.1157
ASPN,31.1651,18.7191,241.52200000000002,24.9223,30.5316,0.0,148.766,98.3062,364.705,33.8587,23.3006
AZGP1,64.9749,9.81098,3.9754199999999997,129.656,239.112,8.79505,6.21353,1.34766,14.9506,12.8789,21.4744
BLVRB,6.57613,1.2176799999999999,3.5285300000000004,1.24432,2.26478,3.61882,3.29221,2.3151200000000003,9.71763,10.2189,1.61289
C7,0.29143,0.483138,1.91188,368.54,2.08852,15.638,1.21194,0.16028199999999998,13.6514,12.4255,0.0133464
CCL5,1.03708,2.0161,3.2060000000000004,16.9124,29.3619,0.0,13.0437,17.1213,12.2628,0.0,1.7161099999999998
CD36,36.5005,15.2303,20.0619,25.9295,35.2486,0.0,37.5269,44.9068,257.01,32.1853,9.85445
CD52,5.15236,15.6613,21.1463,233.482,13.2733,95.8765,9.26877,94.2685,72.2506,20.3585,2.0975200000000003
CDC20,19.1111,16.0607,10.5139,0.0,16.9774,0.0,9.884360000000001,13.9145,5.4295,0.805591,18.1155
CHI3L1,52.4824,9.110610000000001,3.66954,3.21441,47.8151,21.7065,1.1316899999999999,68.8217,65.1865,4.97049,5.95113
COL2A1,124.822,0.270489,0.014313,0.333077,31.4125,0.0,1.11024,3.97345,0.056947300000000006,0.0,1.56677
COL5A1,145.37,15.6803,156.747,10.2585,57.393,18.0897,30.5437,137.63,210.984,187.40400000000002,99.6617
COL5A2,202.313,28.0294,292.85200000000003,17.6737,62.0196,0.0,90.4159,225.74099999999999,460.01300000000003,187.753,144.19
CRAT,3.09639,3.8841099999999997,4.7487900000000005,4.51501,4.58664,0.0,1.0920100000000001,4.9586,5.89197,27.5127,1.68144
CROT,17.2031,16.9931,20.3725,16.9421,3.7599699999999996,85.5425,7.69125,14.1979,10.4782,9.844560000000001,13.1921
CXCL10,2.29941,88.0438,35.6,18.2258,1027.76,0.0,57.2712,130.123,25.8238,5.4040300000000006,3.2994
CXCL11,0.642556,5.25959,6.50349,1.35964,117.484,0.0,9.65099,13.0947,9.316130000000001,0.0,0.923691
CXCL13,0.0413495,4.22829,3.2785800000000003,26.0305,13.8145,0.0,30.5927,28.7339,19.3527,3.3446800000000003,0.491278
CYP4F8,0.048019099999999995,0.0,0.064249,0.0,0.446875,0.0,0.368212,0.0,0.0,16.5797,0.0
DBI,412.371,202.238,71.4454,205.25799999999998,341.228,0.0,168.356,116.994,251.488,22.3556,144.903
DEFB1,3.16262,0.128772,75.0567,0.0,1.69422,0.0,0.8576389999999999,0.610028,1.62226,0.0,7.1645199999999996
DHCR24,38.1374,30.7697,35.0216,0.44259,20.8399,18.8087,46.4939,11.4754,20.2387,1.5266,68.2719
DUSP5,2.6614299999999997,1.16378,13.804,4.8123,4.52794,0.0,2.6326099999999997,3.1831,6.05483,8.864889999999999,1.50819
FABP7,2.25652,3.73264,0.0,2.41871,0.566084,0.0,0.521183,0.788269,2.42951,0.569974,8.46856
FASN,124.609,15.2351,2.27257,5.13523,10.4043,133.656,22.4823,9.75475,53.9528,129.708,52.0136
FGFR4,2.32432,0.43591199999999997,1.20116,0.0,0.23045100000000002,0.0,0.42262,0.0277075,0.225221,0.0,1.10201
FGL2,2.48121,2.55079,5.29089,13.1522,5.875319999999999,0.0,4.1031699999999995,7.74637,18.1999,3.5266599999999997,1.70668
FOXA1,1.38574,0.497145,35.7877,2.5503099999999996,0.2382,20.6189,135.889,0.7537020000000001,0.742325,6.5881,0.169467
FOXC1,9.10755,17.57,9.267430000000001,14.558,34.1132,3.16898,3.01998,32.566,11.5344,4.69982,116.096
GABRP,8.66089,888.057,0.360717,204.752,837.778,52.1578,1.8258599999999998,262.378,61.8084,12.2303,400.965
GALNT7,12.4003,18.839000000000002,97.6033,18.5998,12.0992,12.9507,80.39,19.94,18.4078,14.665999999999999,22.6302
GBP1,41.394,257.492,95.76700000000001,79.1625,169.81099999999998,0.0,95.4322,656.55,162.069,191.46099999999998,38.8152
GCHFR,0.42253100000000005,0.13666,0.12175799999999999,0.0,0.0,0.0,0.0,0.2555,2.50636,0.0,0.259813
GPR87,0.9514879999999999,0.265473,5.18365,8.70819,0.6578970000000001,0.0,1.1195700000000002,0.37691199999999997,0.176977,0.0,0.842406
GZMB,1.4986,2.91701,3.7382199999999997,29.3709,5.61985,0.0,0.77617,8.29775,7.94791,8.95933,2.0079700000000003
HGD,4.21735,0.746105,6.23131,1.22995,0.533701,0.0,6.59139,2.33301,1.72268,2.49273,0.573859
HTRA1,91.2943,13.3035,140.532,33.9299,18.0935,0.0,30.5015,120.001,267.781,105.08,101.75399999999999
IDO1,0.29142399999999996,6.60208,23.0307,41.4352,14.6102,0.0,3.09202,31.5634,8.13453,5.1959,1.78266
IGFBP4,13.3498,0.0413832,1.9677200000000001,2.1301200000000002,2.04998,0.0,0.49661000000000005,3.6292400000000002,19.7173,34.9053,10.0909
IGHM,55.218999999999994,28.8508,13.8008,59.7954,45.6794,36.7639,5.19747,50.3045,419.759,0.0,0.0
IGJ,20.0186,11.7896,39.1471,192.062,140.38299999999998,0.0,27.8626,30.7047,267.344,113.281,23.2122
IGKC,182.34599999999998,313.28700000000003,711.2360000000001,872.279,503.449,613.677,801.068,1016.39,3901.46,8891.08,420.755
IL23A,0.049007300000000004,0.144319,0.06553610000000001,0.0685048,0.253118,0.0,0.0,0.153345,0.0,0.0,0.0
