gene_short_name,V515-06187-A1,TNT-62,TNT-239,TNT-132,TNT-183,17-00269-8_S12Aligned_cufflinks,TNT-58,TNT-278,TNT-24,17-00160-1_S2Aligned_cufflinks,TNT-27
ABCA8,1.07397,6.7904800000000005,6.3693599999999995,13.1009,3.81267,10.5754,0.0,6.094869999999999,4.7176,0.7198220000000001,1.9100700000000002
ADRA2A,0.196819,0.33839400000000003,0.621933,0.0,0.0692467,0.23155900000000001,0.0,0.0,0.167515,0.203424,0.0
AKAP12,3.7524300000000004,11.6889,7.243539999999999,10.4829,8.8469,3.77041,6.38661,4.77909,3.76727,1.14141,4.470330000000001
ALDH3B2,34.613,0.22072399999999998,6.832489999999999,14.3204,38.4582,3.69538,3.93287,1.8783400000000001,0.891775,5.40626,0.0
APOD,101.54799999999999,305.796,13.232000000000001,905.295,180.386,55.1521,100.74600000000001,86.3132,95.7435,10.1478,12.3754
ART3,19.2103,30.5461,0.155376,0.0,0.0,42.777,0.0,0.0,20.4122,5.258319999999999,277.39099999999996
ASPN,31.1651,53.1139,7.229310000000001,168.678,31.8742,28.712,46.5225,11.8417,29.0862,21.9529,32.3565
AZGP1,64.9749,169.28900000000002,20.3111,66.7659,358.98699999999997,109.38799999999999,3.7303599999999997,134.856,54.919,45.7678,141.167
BLVRB,6.57613,2.32839,1.9114400000000002,5.60583,6.526619999999999,3.27189,0.152304,0.0,5.6340699999999995,3.17095,1.6655
C7,0.29143,0.517314,63.4141,39.2885,4.1618900000000005,9.23125,0.0578067,19.5287,3.5287800000000002,0.7452850000000001,2.97795
CCL5,1.03708,6.883839999999999,6.15495,37.3394,5.8518300000000005,16.1353,0.08316989999999999,8.68593,34.721,0.0,1.16553
CD36,36.5005,14.0796,25.2455,220.64,18.5522,88.0077,8.52927,36.6558,13.4455,5.95287,9.68515
CD52,5.15236,22.6616,884.803,145.50799999999998,27.578000000000003,16.4224,0.0,147.046,55.9095,12.1882,3.93531
CDC20,19.1111,14.1862,8.33313,1.11341,14.1964,24.4458,10.7521,1.44794,27.8803,12.6869,11.3276
CHI3L1,52.4824,18.4108,5.80837,0.735538,7.0212699999999995,49.4362,0.872301,0.1863,31.8305,40.6979,21.1168
COL2A1,124.822,68.7017,0.441904,0.0,0.157197,0.383356,2.1362,0.0171505,111.17399999999999,0.0209768,110.55799999999999
COL5A1,145.37,60.9466,4.27042,86.3879,128.517,46.8246,9.41421,27.0808,80.0339,51.4022,27.9453
COL5A2,202.313,69.9364,7.0651600000000006,115.257,149.547,95.8911,34.2399,52.0394,150.156,114.544,66.3652
CRAT,3.09639,2.38769,1.24437,49.512,7.317130000000001,5.729019999999999,0.44309,0.810681,8.24192,20.0761,2.29762
CROT,17.2031,6.43286,13.1914,76.9528,25.6105,5.47545,13.287,24.511999999999997,3.4378800000000003,6.76398,33.2998
CXCL10,2.29941,48.9493,30.7011,60.3684,40.563,109.851,0.0,105.664,216.143,31.7238,17.1828
CXCL11,0.642556,6.47729,4.0889999999999995,0.8091119999999999,9.919780000000001,38.6206,0.0,8.25464,61.4537,17.1679,0.12356199999999999
CXCL13,0.0413495,19.8752,181.287,55.4755,8.31043,10.1775,0.583879,50.2738,102.936,5.12899,23.0044
CYP4F8,0.048019099999999995,0.46795200000000003,0.0,6.695710000000001,0.134864,0.0,0.0,3.90855,0.444958,0.0,0.00678974
DBI,412.371,120.785,81.9375,281.14,253.44400000000002,139.231,221.39700000000002,90.4076,169.278,180.298,152.017
