gene_short_name,V515-06187-A1,17-00140-2_S2_cufflinks,TNT-214,TNT-283,TNT-311,17-00174-6_S15Aligned_cufflinks,TNT-152,17-00108-5_S18Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,TNT-328,TNT-281
ABCA8,1.07397,4.1809,6.30619,5.2258,34.8692,1.7572400000000001,28.3027,1.8851099999999998,43.1719,9.23817,39.0365
ADRA2A,0.196819,0.9741280000000001,0.5343899999999999,0.0,0.0496502,0.124234,0.562541,0.266755,3.57135,0.0,0.0
AKAP12,3.7524300000000004,1.05279,6.27307,3.43169,15.4658,3.4236699999999995,19.0715,0.90279,19.8129,9.39584,10.6971
ALDH3B2,34.613,25.7805,5.43093,2.4243200000000003,0.5624600000000001,14.6796,134.872,8.51023,111.376,14.562000000000001,4.0044699999999995
APOD,101.54799999999999,4.29317,78.8272,134.119,582.871,20.8128,3238.15,6.72613,1551.18,32.4682,0.10930699999999999
ART3,19.2103,9.720880000000001,92.4518,1.3833,379.806,9.87219,0.0,25.969,1.09477,13.5651,34.497
ASPN,31.1651,10.1457,5.46924,148.766,46.0267,4.02062,89.7133,8.63035,74.2365,15.9623,7.35584
AZGP1,64.9749,60.7934,603.7869999999999,6.21353,580.643,130.35299999999998,678.875,7.377619999999999,545.611,39.4368,48.4283
BLVRB,6.57613,3.62414,2.09444,3.29221,0.5977600000000001,6.01812,9.51428,1.19013,20.7679,1.26662,0.0
C7,0.29143,0.0,19.8767,1.21194,8.6817,4.77522,41.1971,4.13771,53.4988,0.0,18.9547
CCL5,1.03708,0.0,9.4678,13.0437,2.70085,3.0319599999999998,12.9609,9.512189999999999,8.84458,1.60917,6.88903
CD36,36.5005,44.8475,20.8269,37.5269,25.2541,93.6689,35.2708,6.66782,333.499,18.5983,17.1781
CD52,5.15236,6.33001,80.1085,9.26877,21.335,12.6645,82.2545,22.789,25.8897,0.0,13.2159
CDC20,19.1111,9.59021,33.0613,9.884360000000001,8.48748,11.3567,4.505269999999999,11.8678,2.3126700000000002,10.2348,44.7677
CHI3L1,52.4824,31.4808,1.5293,1.1316899999999999,0.922415,205.727,0.786117,5.20908,15.912,30.5357,10.2393
COL2A1,124.822,0.022249099999999997,0.0,1.11024,0.0,0.0402543,0.0,1.39677,2.00287,147.203,6.1441099999999995
COL5A1,145.37,87.0433,23.8546,30.5437,45.4507,116.103,108.13799999999999,27.9288,124.007,38.532,57.647
COL5A2,202.313,50.7685,19.3943,90.4159,72.8625,95.3652,322.448,21.5128,327.722,25.6229,29.8201
CRAT,3.09639,6.3588,0.567394,1.0920100000000001,0.434016,5.54589,31.2169,4.16699,17.4382,3.56428,0.0595784
CROT,17.2031,18.901,12.2198,7.69125,4.08553,18.127,26.5717,1.35921,30.4582,8.11488,6.07646
CXCL10,2.29941,63.1842,45.9677,57.2712,27.689,3.53341,11.4495,15.9386,25.2463,8.52238,63.3418
CXCL11,0.642556,18.5376,17.160999999999998,9.65099,5.85182,0.9549559999999999,0.0,3.99119,9.27016,0.0,0.8563930000000001
CXCL13,0.0413495,16.208,24.9894,30.5927,5.80727,1.16539,15.7339,7.95022,14.9373,0.0,61.5422
CYP4F8,0.048019099999999995,0.467581,0.0,0.368212,0.149097,1.4973,15.6348,0.24557600000000002,1.0552,0.0,1.1115700000000002
DBI,412.371,52.3533,624.36,168.356,155.366,69.2038,565.778,107.854,474.352,61.6366,104.124
DEFB1,3.16262,7.87098,0.0,0.8576389999999999,5.24034,7.12312,0.0,0.328307,3.06845,3.2168400000000004,0.755909
DHCR24,38.1374,18.332,7.07305,46.4939,2.58974,82.1604,94.5633,13.0362,118.10799999999999,9.57038,11.9895
DUSP5,2.6614299999999997,7.344860000000001,0.619154,2.6326099999999997,1.8477,2.09469,2.4487099999999997,3.8480300000000005,8.58584,3.33009,1.57865
FABP7,2.25652,5.74169,2.13492,0.521183,0.259635,0.0,235.75900000000001,10.5533,220.93,7.262560000000001,59.3406
FASN,124.609,107.34299999999999,1.35786,22.4823,3.6021400000000003,92.0659,218.648,47.9147,620.299,4.8363,21.6485
