gene_short_name,V515-06187-A1,17-00214-4_S8Aligned_cufflinks,TNT-8,TNT-138,17-00105-7_S10_cufflinks,TNT-104,TNT-35,TNT-269,17-00131-5_S8Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,TNT-322
ABCA8,1.07397,11.9716,21.1353,12.6791,15.2433,45.0011,16.6291,9.26357,3.02603,10.5754,2.96949
ADRA2A,0.196819,0.345093,0.39815700000000004,1.91297,1.61281,0.0269278,0.9818889999999999,0.0965076,0.42561099999999996,0.23155900000000001,0.47120200000000007
AKAP12,3.7524300000000004,3.78327,2.99765,7.20418,20.4997,14.8787,12.7669,11.6325,0.384289,3.77041,10.0738
ALDH3B2,34.613,2.57587,2.43056,12.4995,2.3132599999999996,134.5,73.376,1.61673,15.5005,3.69538,2.3968599999999998
APOD,101.54799999999999,26.8391,223.767,27.4739,82.3389,16699.3,4574.95,17.7364,1.2395399999999999,55.1521,43.1584
ART3,19.2103,6.02904,117.309,0.47330600000000006,0.37242600000000003,0.0,0.887626,33.2699,0.635686,42.777,30.7849
ASPN,31.1651,30.315,38.9421,46.9364,41.4929,93.4608,16.949,31.201,2.46604,28.712,71.8074
AZGP1,64.9749,38.5871,95.0087,30.0339,5.05436,438.903,367.6,58.5012,5.0511099999999995,109.38799999999999,78.8806
BLVRB,6.57613,2.90951,1.6915200000000001,9.23049,2.24939,5.2299,4.5501,0.8968360000000001,2.44601,3.27189,1.60934
C7,0.29143,2.65029,0.131227,0.29318,18.676,28.9865,24.8307,6.178380000000001,0.593221,9.23125,6.31146
CCL5,1.03708,0.0,55.7447,5.65268,5.25453,10.9451,20.5653,3.93235,5.70474,16.1353,1.6988599999999998
CD36,36.5005,25.0631,30.3092,30.2316,26.3072,126.93700000000001,17.7795,33.2638,9.64332,88.0077,28.7743
CD52,5.15236,7.459810000000001,50.9935,35.721,2.1478599999999997,29.5778,127.084,24.7288,3.68263,16.4224,13.838
