gene_short_name,V515-06187-A1,TNT-26,TNT-239,17-00124-3_S12Aligned_cufflinks,TNT-117,TNT-195,TNT-134,17-00280-7_S4Aligned_cufflinks,17-00113-4_S11_cufflinks,TNT-225,TNT-265
ABCA8,1.07397,4.23117,6.3693599999999995,19.1922,14.5549,30.7235,17.1376,1.9610400000000001,15.3024,19.7157,2.63255
ADRA2A,0.196819,0.999606,0.621933,0.730596,1.06228,0.22465,0.053118399999999996,0.330945,1.17333,0.313514,0.8604940000000001
AKAP12,3.7524300000000004,16.1452,7.243539999999999,8.16971,1.6917400000000002,21.7435,10.3489,1.98968,3.4871199999999996,11.700999999999999,4.09434
ALDH3B2,34.613,2.6644200000000002,6.832489999999999,0.523783,20.3454,1.14113,3.8153599999999996,75.8959,0.0,0.0,7.944780000000001
APOD,101.54799999999999,23.2556,13.232000000000001,26.8377,63.9205,604.388,108.917,25.2137,364.67199999999997,86.1188,3.24389
ART3,19.2103,11.4363,0.155376,28.6469,17.0419,9.550980000000001,35.8609,0.025776499999999997,34.7165,44.2138,29.0535
ASPN,31.1651,99.8197,7.229310000000001,11.0376,23.7047,55.6316,54.5702,12.2085,24.2658,112.76799999999999,6.48189
AZGP1,64.9749,8.42855,20.3111,51.8361,11.4011,268.497,113.833,140.03,1.9705,68.2212,109.885
BLVRB,6.57613,1.8821400000000001,1.9114400000000002,1.62151,1.5270299999999999,4.4294,0.356298,4.51035,1.3641299999999998,0.9385680000000001,2.82875
C7,0.29143,1.5576299999999998,63.4141,17.412,0.964774,32.9843,0.40929,1.8111099999999998,1.0167,7.47819,16.1298
CCL5,1.03708,0.328596,6.15495,4.40667,24.8368,35.4418,5.13551,0.0,18.6956,2.44293,6.73407
CD36,36.5005,27.8522,25.2455,19.8167,19.3201,82.4024,14.3846,13.3628,17.7305,47.8398,69.7685
CD52,5.15236,2.72588,884.803,23.7771,108.542,161.817,13.0453,23.5318,10.3919,54.5642,370.82300000000004
