gene_short_name,V515-06187-A1,TNT-265,TNT-53,17-00103-7_S3Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,TNT-224,TNT-289,TNT-4,17-00165-0_S10Aligned_cufflinks,TNT-259,TNT-240
ABCA8,1.07397,2.63255,12.7482,17.5334,0.0,11.0932,7.5326,37.7185,16.9844,7.3788,4.2240400000000005
ADRA2A,0.196819,0.8604940000000001,0.09945930000000001,1.10499,0.0,0.5215270000000001,0.0190859,4.021059999999999,0.861454,0.062241399999999995,0.0
AKAP12,3.7524300000000004,4.09434,2.72579,7.264939999999999,1.81444,12.9614,16.4518,17.7207,6.211130000000001,10.4078,4.96255
ALDH3B2,34.613,7.944780000000001,0.586071,4.13598,0.0,4.94473,0.340181,42.5699,1.1644700000000001,2.39888,0.0
APOD,101.54799999999999,3.24389,108.63600000000001,23.9471,147.881,72.6231,86.5343,2583.61,126.973,16.1725,0.97078
ART3,19.2103,29.0535,384.85,8.81953,0.0,2.7877400000000003,11.7816,0.0,44.8952,2.83927,267.907
ASPN,31.1651,6.48189,30.5316,75.8475,0.943362,241.52200000000002,99.79700000000001,315.638,13.6802,59.7246,11.6138
AZGP1,64.9749,109.885,239.112,2.74417,99.7284,3.9754199999999997,22.8969,298.58,200.774,0.0,1.1711799999999999
BLVRB,6.57613,2.82875,2.26478,4.59856,0.0,3.5285300000000004,1.2233100000000001,7.36637,4.50545,1.7791299999999999,1.01991
C7,0.29143,16.1298,2.08852,3.04093,0.0,1.91188,2.7102,8.536660000000001,14.7516,1.07913,0.303186
CCL5,1.03708,6.73407,29.3619,0.0,0.0,3.2060000000000004,1.12449,13.302999999999999,12.1232,24.4902,56.2359
CD36,36.5005,69.7685,35.2486,25.8122,0.0,20.0619,18.9896,100.477,83.1513,36.2403,0.331216
CD52,5.15236,370.82300000000004,13.2733,22.1463,0.0,21.1463,1.74964,48.9762,40.0504,178.9,225.58700000000002
CDC20,19.1111,22.7002,16.9774,10.9556,0.0,10.5139,40.1167,2.9675599999999998,9.73773,10.0606,1.93134
CHI3L1,52.4824,22.1167,47.8151,49.4244,0.0,3.66954,14.14,5.7134,37.6528,17.9288,12.467
COL2A1,124.822,0.12088499999999999,31.4125,0.114516,19.4398,0.014313,47.6574,0.149369,1.3761700000000001,0.0,12.0136
COL5A1,145.37,6.09765,57.393,134.716,17.3758,156.747,387.034,225.483,43.5904,40.4405,6.52259
COL5A2,202.313,8.16721,62.0196,139.918,4.19188,292.85200000000003,272.664,308.353,65.8261,44.153999999999996,13.8008
CRAT,3.09639,2.73679,4.58664,7.029260000000001,0.0,4.7487900000000005,4.72182,14.7289,5.4019,4.1209,4.80961
CROT,17.2031,5.86815,3.7599699999999996,9.5261,0.0,20.3725,11.3478,47.6286,8.936739999999999,13.6541,0.07272569999999999
CXCL10,2.29941,56.437,1027.76,34.2045,0.0,35.6,5.7301400000000005,39.4233,19.6909,384.48400000000004,630.34
CXCL11,0.642556,20.7628,117.484,3.2623,0.0,6.50349,0.569746,8.87846,7.802810000000001,110.538,44.9543
CXCL13,0.0413495,79.1886,13.8145,18.8237,0.0,3.2785800000000003,1.2081899999999999,46.0943,17.615,627.493,91.6347
CYP4F8,0.048019099999999995,0.134844,0.446875,0.0,0.0,0.064249,0.773279,27.8697,0.362664,0.18496500000000002,0.04148230000000001
DBI,412.371,206.40099999999998,341.228,71.6972,289.493,71.4454,82.4001,273.298,113.507,102.259,118.743
DEFB1,3.16262,5.6752,1.69422,0.0,0.0,75.0567,1.06093,1.9527599999999998,0.49630100000000005,1.4857,0.0
DHCR24,38.1374,38.6224,20.8399,43.1474,54.2997,35.0216,17.0317,25.3035,28.1741,27.5106,0.817277
DUSP5,2.6614299999999997,3.7219599999999997,4.52794,3.9232099999999996,0.0,13.804,3.5225400000000002,9.615960000000001,3.21569,0.760338,19.3721
FABP7,2.25652,0.0,0.566084,0.0,0.0,0.0,13.5345,1.97922,1.89392,9.448089999999999,0.665736
