gene_short_name,V515-06187-A1,TNT-326,TNT-157,17-00132-8_S16Aligned_cufflinks,TNT-267,TNT-53,17-00108-5_S18Aligned_cufflinks,TNT-225,TNT-139,TNT-158,TNT-269
ABCA8,1.07397,0.03846,16.5316,19.4248,14.0161,12.7482,1.8851099999999998,19.7157,4.2190199999999995,8.55308,9.26357
ADRA2A,0.196819,0.917432,0.053574699999999996,3.61611,0.0,0.09945930000000001,0.266755,0.313514,0.358636,0.0,0.0965076
AKAP12,3.7524300000000004,7.45648,5.01157,5.52166,34.7771,2.72579,0.90279,11.700999999999999,4.57451,1.99925,11.6325
ALDH3B2,34.613,4.993580000000001,44.3463,6.775060000000001,0.0,0.586071,8.51023,0.0,4.68061,0.0,1.61673
APOD,101.54799999999999,12.6566,388.876,40.374,0.187089,108.63600000000001,6.72613,86.1188,1392.61,46.1631,17.7364
ART3,19.2103,12.2091,11.9946,0.0,26.3716,384.85,25.969,44.2138,83.5008,7.3933800000000005,33.2699
ASPN,31.1651,15.8107,10.4886,33.8587,36.7956,30.5316,8.63035,112.76799999999999,37.7036,132.45600000000002,31.201
AZGP1,64.9749,30.6143,13.2232,12.8789,5.04708,239.112,7.377619999999999,68.2212,111.613,26.0583,58.5012
BLVRB,6.57613,0.0,1.7414,10.2189,0.0,2.26478,1.19013,0.9385680000000001,1.9139400000000002,8.05673,0.8968360000000001
C7,0.29143,6.06215,12.9084,12.4255,0.880913,2.08852,4.13771,7.47819,5.49728,5.04266,6.178380000000001
CCL5,1.03708,15.9662,14.6772,0.0,31.6815,29.3619,9.512189999999999,2.44293,4.08448,14.6772,3.93235
CD36,36.5005,9.50935,33.1401,32.1853,11.7456,35.2486,6.66782,47.8398,19.0127,24.866,33.2638
CD52,5.15236,164.90900000000002,93.59899999999999,20.3585,198.71400000000003,13.2733,22.789,54.5642,12.3884,56.19,24.7288
CDC20,19.1111,6.93203,21.6145,0.805591,4.05045,16.9774,11.8678,16.8549,39.6781,21.2697,10.3008
