gene_short_name,Sample1,Sample55,sample02_33,Sample33,sample02_42,Sample28,Sample29,Sample71,sample02_12,sample02_18,sample02_26,Sample13,Sample45,sample02_36,sample02_55,sample02_20,sample02_29,sample02_40,Sample62,sample02_10,X029.C,V515-06402-B4,hcc1806_S14Aligned_cufflinks
ABCA8,2.27,50.46,61.44,3.48,2.51,24.81,0.13,29.74,3.44,1.18,14.78,6.03,3.05,2.36,31.37,31.3,14.58,33.61,1.64,10.62,8.7826,3.42388,0.0206998
ADRA2A,0.29,3.49,0.17,0.09,0.42,1.27,0.95,0.51,1.04,0.1,0.17,0.11,0.31,0.16,0,4.25,1.02,1.2,1.45,0,0.0741099,0.342895,0
AKAP12,3.71,6.53,2.2,0.83,2.16,4.13,1.22,3.29,1.55,3.02,3.86,0.81,1.43,2.74,3.01,16.57,4.89,14.78,5.56,0.84,4.91316,5.33336,2.7363
ALDH3B2,31.87,0.09,7.17,31.6,40.77,67.37,258.54,30.57,45.35,63.12,53.27,25.9,59.84,9.41,0.14,8.34,55.37,44.15,21.24,69.5,0.0438093,45.3321,0.125204
APOD,17.36,488.68,1.72,36.42,38.31,300.67,122.55,30.72,2.25,84.24,175.87,5.43,25.18,288.75,27.95,70.36,260.57,396.81,159.92,0,28.0904,111.247,0.0490282
ART3,3.62,1.66,2.06,5.12,0.36,7.1,0,0.8,0.49,0.11,0,5.69,42.55,1.13,0,0.79,0.09,0.16,2.29,0,151.253,20.3179,0
ASPN,35.37,14.46,11.97,2.97,11.75,7.89,52.29,15.98,12.12,11.32,20.77,12.63,9.96,4.69,0.1,10.59,41.88,30.77,6.7,5.43,28.8892,35.247,0.00642107
AZGP1,9.31,0.52,152,140.31,128.84,112.41,3244.27,131.34,48.5,30.58,22.31,1.02,127.24,80.56,30.11,137.01,16.95,142.67,16.39,1.11,245.865,93.5411,0.169916
BLVRB,6.78,15.55,11,10.41,12.54,10.01,32.86,21.91,7.49,25.71,12.65,13.18,4.76,7.04,13.62,8.01,30.52,14.59,20.76,3.39,0.68877,9.35687,25.9655
C7,1.61,33.25,27.81,0.05,0.03,12.62,0.04,38.34,3.5,0.13,38.82,1.49,0.69,2.57,191.57,176.81,547.77,12.28,20.01,0,3.17851,3.8956,0.018023
CCL5,12.22,101.57,7.16,2.66,18.36,12.97,0.84,25.11,2.71,5.88,4.6,19.7,0.89,2.56,0.34,8.21,15.68,15.11,3.33,0.06,3.45352,3.17814,0.0993885
CD36,90.32,20.12,27.3,34.26,15.58,276.65,247.51,445.82,6.91,9.96,51.38,23.65,46.47,32.4,0.19,68.4,24.39,80.69,3.74,12.88,48.0765,58.014,0.388947
CD52,33.12,98.94,9.98,7.66,36.13,67.19,5.72,29.62,12.41,12.72,23.84,22.97,7.35,9.38,9.38,60.05,26.84,32.22,4.13,0,43.203,10.5561,0
CDC20,14.19,12.06,17.39,49,21.94,18.17,21.24,15.15,5.88,59.57,6.14,31.56,50.48,6.28,23.92,6.05,3.13,7.27,12.2,17.75,41.9411,24.9187,104.269
CHI3L1,14.94,8.19,76.99,119.34,6.31,139.06,3.98,20.44,2.95,8.99,1.34,6.33,227.76,120.97,23.43,3.25,10.64,13.69,261.22,15.35,10.6928,46.0118,0
COL2A1,0.85,8.01,0.04,0.07,0.11,0.48,0.07,0.39,0.63,1.55,0.13,0.11,0.25,180.59,0,0.22,126.19,0.21,0.18,9.57,9.53587,123.532,0.00410976
COL5A1,99.14,131.62,43.16,40.97,96.22,104.1,152.38,170.76,124.45,215.3,114.92,53.59,98.5,59.83,61.34,76.29,184.07,181.76,84.48,36.17,39.6273,122.857,5.95332
COL5A2,173.53,110.94,30.4,29.15,179.77,218.39,220.54,218.38,80.34,248.59,118.06,146.93,202.71,88.13,94.92,65.22,116.18,247.59,77.59,28.68,62.0157,176.612,71.6458
CRAT,6.88,12.72,42.04,2.36,17.39,8.73,196.24,22.52,45.05,20.08,10.74,8.63,2.86,2.33,52.65,25.57,11.68,19.42,24.18,30.42,2.82234,3.69094,0.135757
CROT,10.81,17.25,26.43,8.51,11.35,25.2,259.39,11.73,8.85,10.95,11.09,4.36,10.62,22.52,493.77,11.93,7.52,28.81,11.44,1.91,5.43038,13.2877,6.15782
CXCL10,21.04,58.04,75.23,6.69,59.14,7.97,1.97,68.33,14.8,20.31,12.06,11.57,1.15,7.52,0,13.92,3.94,12.68,4.46,2.79,190.086,5.23286,0.0444985
CXCL11,4.72,6.85,7.36,1.37,28.03,1.19,0.34,19.62,1.5,4.82,1.95,2.63,0.16,1.87,0,3.16,1.19,3.01,1.94,0,43.5792,1.4882,0.0309614
CXCL13,6.59,11.24,2.02,0.38,22.77,16.24,60.52,43.52,0,22.47,2.12,2.04,11.71,1.35,0,21.31,0.85,35.71,0.08,0,30.3459,0.428461,0
CYP4F8,0,0,0,0.04,0.1,0.87,321,22.49,0,0.22,0.5,0.05,0.17,0.11,0,0.04,0.01,5.16,0,2.18,0.00206297,0.302289,0
DBI,221.77,137.99,101.35,129.78,173.05,184.1,559.27,134.79,78.99,175.72,174.33,77.83,203.71,78.62,0.45,61.77,63.41,224.41,157.75,25.87,441.183,629.481,184.312
DEFB1,1.15,0.33,13.28,32.47,40.82,25.47,7.13,7.59,7.03,0.24,30.1,2.63,17.31,4.61,0,0.31,22.68,27.81,181.66,33.26,0.382094,3.47289,2.93639
DHCR24,58.37,10.52,61.38,47.29,51.27,74.13,92.33,123.8,29.75,168.32,168.63,8.53,137.87,13.49,21.51,28.72,76.97,56.42,81.48,14.44,14.1295,85.6714,67.6095
DUSP5,2.1,4.56,3.5,2.52,5.79,2.54,14.75,4.7,3.49,3.45,7.71,1.25,1.17,2.74,15.35,4.33,5.49,3.77,1.88,14.91,0.785694,3.53013,17.1267
FABP7,0,3.28,0.03,12.29,0,1.57,600.05,0.2,0,0,0,0.2,4.06,13.82,0,0,0.04,3.16,0.04,0,14.9449,4.68972,0.156773
FASN,146.96,71.45,84.44,110.11,262.24,83.98,1361.42,137,658.65,257.97,869.89,154.08,304.19,66.88,173.96,152.25,85.26,212.13,98.51,272.14,1.3937,165.224,210.638
FGFR4,2.77,1.04,9.78,1.94,9.29,0.45,24.95,5.84,3.93,2.95,3.53,4.44,0.79,1.22,0,2.88,3.05,4.43,1.84,1.1,0.469637,1.3379,12.207
FGL2,5.43,18.44,9.84,2.86,7.88,9.6,1,9.33,2.78,2.87,4.13,2.76,1.92,4.42,20.38,9.93,12.5,15.26,1.88,0.59,2.56167,3.31885,0.00360106
FOXA1,110.25,0.05,19.42,0.02,135,0.24,169.84,25.36,401.98,232.86,108.83,2.3,0.99,16.48,124.07,192.15,261.04,43.92,5.15,270.77,3.27185,0.550595,19.9594
FOXC1,5.2,9.09,60.03,29.79,22.17,16.25,0.9,6.33,1.44,6.34,5.57,114.55,15.86,20.98,55.75,6.36,1.88,3.25,29.44,2.54,13.5632,24.0804,46.9662
GABRP,84.39,237.3,5.86,895.2,384.12,75.47,6.8,7.81,1.67,0.06,43.51,261.16,464.39,94.29,59.3,1.5,4.57,4.34,1885.63,0,1187.73,66.4625,0.112699
GALNT7,45.46,11.55,24.95,32,110.93,17.5,82.61,43.59,62.53,72.26,74.57,20.54,28.64,68.44,83.52,93.71,36.51,74.2,17.25,7.96,48.3096,14.1322,49.1957
GBP1,110.3,182.11,375.71,71.17,234.24,65.26,17,243.21,51.41,195.58,46.58,62.86,19.71,55.71,5.42,76.87,57.75,68.22,68.45,47.06,431.473,60.9231,18.5982
GCHFR,0.82,2.19,1.12,0.34,1.71,1.22,0.77,2.65,0.95,0.67,1.35,0.27,1.13,0.09,0.14,1.62,0.98,1.39,1.12,0,0.221476,0.185846,0.421668
GPR87,0.8,0.47,0.39,6.74,1.85,14.78,0.17,2.4,1.07,0.94,6.52,0.22,3.55,8.56,0,1.19,0.09,5.98,1.41,0,0.376588,0.521942,9.82076
GZMB,5.36,16.47,6.98,2.37,14.04,5.56,0.16,15.44,0.6,3.37,2.53,10.35,1,2.32,0,3.17,1.75,5.19,1.56,0,10.0844,1.54918,0
HGD,2.22,1,209.07,0.8,1.95,2.64,10,110,11.79,34.47,322.33,0.06,18.96,2.62,0,3.46,69.05,23.31,0.68,102.93,0.492737,4.5088,0.475157
HTRA1,75.28,48.32,37.1,27.11,81.89,143.46,85.57,47.18,33.4,123.72,35.49,22.1,68.1,193.79,84.2,62.33,33.47,122.07,46.59,36.7,41.8427,100.1,43.0706
IDO1,7.9,11.58,9.07,0.33,19.09,1.98,0.23,4.63,2.21,4.15,1.28,2.03,0.38,1.06,0.07,4.25,0.45,5.06,6.48,0,39.9531,0.886905,1.29385
IGFBP4,8.89,31.95,20.3,5.02,15.83,39.8,6.19,28.76,48.26,12.6,12.61,3.8,9.43,20.78,23.72,22.57,22.33,46.26,8.12,15.76,0.214676,13.3948,6.60679
IGHM,143.4,48.36,14.72,483.38,1569.98,27.66,49.14,33.03,6.65,220.8,119.61,1.05,9.18,12.23,189.05,221.35,59,8.31,17.97,0,272.498,312.696,0
IGJ,102.78,104.97,9.79,40.02,313.12,46.17,146.51,20.83,4.55,20.3,44.36,3.2,10.28,3.87,346.65,192.82,63.13,27.09,10.81,0,440.798,194.989,0.0451672
IGKC,9673.77,974.16,309.66,801.25,11191.79,548.7,1322.23,251.57,129.29,902.56,1480.06,20.77,91.1,152.13,4542.53,9305.05,2450.97,430.23,1655.05,40.64,6045.77,1177.52,0.657919
IL23A,0.07,0.16,0.22,0.2,0.5,0.44,0.05,0.36,0.22,1.1,0.12,0.21,0.26,0.13,0,0.42,0.22,0.16,0.35,0,0.204571,0.0537755,0.290949
IL33,0.46,6.35,4.1,9.91,1.02,17.23,0.05,10.44,0.4,0.13,5.56,0.44,3.14,3.35,8.83,20.63,10.07,21.33,1.12,1.9,1.90768,1.02866,0
INPP4B,11.8,23.54,6.13,3.7,24.38,15.97,40.15,15.53,20.63,31.97,258.88,6.87,6.29,19.04,0.43,53.81,31.17,28.02,1.71,37.57,6.59152,26.3912,23.2564
ITM2A,7.28,37.62,7.45,3.2,10.68,30.64,2.73,17.46,2.91,14.93,4.69,15.2,7.43,8.93,8.65,26.44,14.82,34.95,1.5,0,9.68393,5.69212,0
JAM2,4.6,13.15,2.85,1.8,4.36,21.1,3.38,7.06,0.91,5.36,3.19,3.57,7.76,3.47,14.94,15.46,6.88,18.85,1.74,0,7.41388,7.91555,0
KCNK5,0.73,1.76,4.8,2.71,0.42,3.33,0.6,0.77,1.15,2.23,0.63,7.56,8.21,2.96,0,0.3,1.5,0.34,2.45,0.56,0.336275,6.8642,1.61524
KIAA1324,54.34,0.98,0.98,24.37,85.56,4.1,115.26,1.51,46.85,40.13,9.98,26.22,21.61,18.21,27.13,59.68,158.27,27.25,6.43,53.42,2.51016,10.9929,0.107979
KMO,10.14,13.19,26.22,2.5,23.75,2.57,22.8,52.55,8.73,9.17,34.34,8.99,1.1,2.31,127.86,11.07,14.48,14.98,31.08,30.74,7.37603,1.50067,0.0329429
KRT14,0.81,1.09,20.83,1872.45,173.22,3083.75,1.35,1.25,0.24,0.1,8.1,6.16,1834.45,1251.53,45.29,0.48,0,970.12,0.13,1.44,0.539182,101.685,3397.58
KRT16,14.46,1.16,39.33,1201.35,141.39,1391.55,0.2,4.16,0.62,0.84,10.06,32.26,1760.35,53.94,49.24,1.33,0.11,6.42,2.59,3.7,29.0365,194.981,128.497
KRT17,131.01,4.66,243.61,1555.44,542.77,1716.68,0.77,3.68,16.75,0.6,189.17,30.41,1632.57,2070.75,551.65,0.4,1.51,15.24,15.06,47.25,71.475,158.524,256.696
KRT6A,25.31,5.09,2.27,4996.73,547.12,4293.44,14.79,6.86,0.39,0.55,1.48,4.85,4240.13,269.48,616.49,0.02,0.87,473.12,3.45,0,47.6952,72.7269,2633.11
KRT6B,7.39,1.02,0.02,2446.39,266.5,2377.17,0.52,2.38,5.21,0.14,27.55,398.59,1745.05,229.1,0.07,0,0.32,14.09,94.47,0,199.134,147.157,73.9013
KYNU,30.71,28.6,27.17,19.76,17.26,17.53,17.38,147.47,11.05,5.03,157.65,7.11,13.26,10.01,0,10.97,12.47,22.11,103.28,32.94,20.5325,14.1825,69.276
LBP,0.26,0.2,266.86,9.84,0.64,2.4,0.07,200.05,0.94,26.47,38.63,0.6,2.9,1.33,0.08,0.35,112.68,3.23,16.16,75.27,2.03389,0.838524,0.00825921
LHFP,0.57,4.49,0.5,0.34,1.75,3.3,0.79,2.03,1.82,1.29,0.99,1.61,1.73,0.98,13.52,8.15,5.82,4.2,1.08,0,0.364779,3.04854,2.40049
MFAP4,1.48,5.21,7.91,1.26,7.05,42.52,2.33,10.24,2.38,2.01,6.6,1.54,6.38,1.96,0.48,35.62,22.88,41.85,3.13,0,0.630078,4.14713,0
MIA,0.44,54.67,2.29,62.64,0.62,8.73,1.2,0.48,0.77,0.72,0.48,57.64,54.62,156.83,0,0.5,1.87,0.59,2.77,0,1.35429,33.6154,0.0327027
MID1,11.29,17.79,21.05,55.39,141.19,19.42,128.05,8.07,2.07,11.19,45.04,59.32,21.09,24.48,100.46,12.21,10.33,18.07,9.46,0,62.1915,55.5418,41.6309
MYBL1,10.82,4.01,14.83,4.7,7.05,8.98,4.81,1.83,16.71,7.9,1.56,3.77,29.84,2.68,0,6.93,2.01,2.46,6.51,23.51,158.783,5.29695,2.74829
NEK2,13.02,14.72,10.71,31.28,17.38,12.62,12.33,13.56,8.96,74.61,10.3,37.85,34.06,5.47,79.36,20.34,7.79,7.92,18.74,61.53,78.6495,19.543,72.6873
NTN3,0.03,0.1,0.12,0.05,0.03,0.07,0.28,0.06,0.6,0.29,0.14,0.03,0.18,0.13,0,0.22,0.05,0.08,0.02,0.39,0,0,0
OGN,6.74,8.3,8.05,2.91,2.74,6.68,8.6,6.41,1.89,5.88,1.98,5.85,3.59,2.26,0.21,14.88,3.87,17.53,4.69,0.55,11.1784,4.23173,0
PI3,1.4,0.59,0.87,563.21,95.18,82.52,0.07,15.76,0,0.09,21.27,0.14,322.93,1.97,0,0,0,2.89,1.91,0,1.13952,0.229157,34.9939
PLEKHB1,0.82,30.29,1.26,14.53,1.03,5.21,0.36,0.63,12.15,8.68,8.51,17.39,45.02,12.58,0,3.31,2.36,0.07,29.66,0,0.12476,19.1471,0.209204
PMAIP1,0.43,1.3,3.41,1.75,0.82,1.34,0.32,1.63,4.2,3.64,4.27,0.45,0.85,1.28,0,0.26,4.08,1.43,2.7,0,2.86316,1.78601,3.13417
PSMB9,17.2,58.52,46.74,10.14,39.18,19.75,1.89,33.09,8.99,55.44,10.36,7.37,5.86,10.3,10.93,23.06,19.99,19.71,31.39,0,8.47282,0,0
PTGDS,7.89,13.83,1.99,3.51,3.63,52.86,0.08,21.85,0.82,2.15,5.99,1.09,7.19,0.35,71.41,66.36,16.18,27.83,0.81,0,0.240217,2.37485,0.574078
RARRES3,12.57,58.89,40,3.41,26.22,10.69,17.66,82,13.67,154.41,9.79,12.07,4.39,42.08,20.95,20.46,28.01,19.67,12.92,0,12.3705,7.96902,26.6136
RTP4,1.42,3.45,4.37,0.91,1.81,1.92,0.28,2.69,1.63,5.1,0.81,0.75,0.71,1.71,7.44,3.96,4.68,1.32,19.72,0,4.78293,2.60962,1.02825
S100A1,3.66,63.08,3.22,31.13,1.05,9.62,4.04,1.9,6.2,1.37,1.43,40.47,30.51,8.24,0,10.29,0.78,3.35,27.7,22.33,10.3671,398.902,0.0714519
